n,count,a,b,seconds
223,156266,51,17,3.19606
224,157654,49,2,3.23898
225,159078,37,18,3.28576
226,160486,32,8,3.29574
227,161906,281,95,3.37545
228,163355,254,25,3.42639
229,164772,207,87,3.46984
230,166216,168,107,3.50455
231,167659,165,91,3.56596
232,169120,79,8,3.64285
233,170586,134,134,3.67848
234,172048,57,0,3.74167
235,173525,284,145,3.82897
236,175010,163,0,3.82921
237,176493,211,16,3.86132
238,177979,119,13,3.92409
239,179476,47,0,3.9591
240,180992,59,59,4.02249
241,182512,31,0,4.07383
242,184028,12,4,4.11114
243,185536,49,0,4.17484
244,187068,93,0,4.24729
245,188605,67,61,4.27523
246,190148,61,0,4.35785
247,191694,144,37,4.56652
248,193245,76,64,4.60447
249,194824,129,0,4.77855
250,196378,48,34,4.76562
251,197948,87,0,4.7092
252,199538,39,0,4.70323
253,201108,114,38,4.81639
254,202746,7,4,4.90357
255,204304,166,152,5.01642
256,205912,81,48,5.02869
257,207544,18,18,5.11925
258,209148,125,94,5.09362
259,210784,258,55,5.16914
260,212398,67,67,5.14858
261,214037,208,82,5.24085
262,215688,57,57,5.32044
263,217324,65,65,5.3723
264,218988,129,122,5.43121
265,220640,217,188,5.5142
266,222337,351,223,5.61068
267,224003,321,165,5.69734
268,225672,284,256,5.75502
269,227358,81,81,5.93163
270,229050,13,0,6.02988
271,230761,387,10,6.35463
272,232450,239,226,6.37407
273,234166,247,202,6.79553
274,235912,33,0,6.5432
275,237612,219,75,6.42847
276,239348,32,32,6.40895
277,241080,200,100,6.34865
278,242824,33,0,6.50293
279,244585,164,65,6.43909
280,246324,165,13,6.55903
281,248092,18,14,6.65092
282,249859,358,142,6.64778
283,251646,176,40,6.78593
284,253420,234,198,6.84099
285,255208,6,6,7.1055
286,257008,28,12,6.98931
287,258796,29,21,7.10165
288,260619,323,81,7.19128
289,262416,121,86,7.26646
290,264234,109,91,7.34293
291,266069,298,213,7.41314
292,267890,143,3,7.63392
293,269734,103,97,7.75762
294,271583,182,146,7.84821
295,273428,140,140,7.88637
296,275290,62,53,7.84673
297,277139,56,35,7.91417
298,279018,135,0,8.01116
299,280908,49,49,8.17143
300,282799,450,277,8.45624
