alpha,X,m,direct_period,principal_X_period,continued_X_period,principal_abs_error,continued_abs_error
0.0,0.0,0.0,1.0,1.0,nan,0.0,nan
0.2,0.2500712934470729156388232680939523907542,0.1848194420227176581286060500218794552155,1.004055399012027647202936732189274190782,1.004055399012027647202936732189274190782,1.004055399012027647202936732189274190782,2.10843958864610464487e-81,4.216879177292209289739e-81
0.4,0.7508750769287792010835278592216853831073,0.3475972747077822415741174204792164536056,1.018250887744514653757271728934783682699,1.018250887744514653757271728934783682699,1.018250887744514653757271728934783682699,0.0,0.0
0.56,0.9892793902544420691727717113290460646276,0.4700448649845280116279907339117241311209,1.041041019931170558953924602912427030494,1.041041019931170558953924602912427030494,1.041041019931170558953924602912427030494,0.0,2.10843958864610464487e-81
0.5993196170442374642630454329411885226213,0.9999999999999887881719674569052411255295,0.4999999694333678218890324704182315406338,1.049041899822627324131277032916605219478,1.049041899822627324131277032916605219478,1.049041899822627324131277032916605219478,4.041878691434582604215e-77,2.10843958864610464487e-81
0.5993196570442374642630454329411885226213,1.0,0.5,1.049041908590767106129962284909425677242,1.049041908590767106129962284909425677242,1.049041908590767106129962284909425677242,6.354014894877077579802e-42,0.0
0.5993196970442374642630454329411885226213,0.9999999999999887881717851457148503268223,0.5000000305666324266270462546805060918177,1.049041917358908248751725554384216625897,1.049041888054304167323680192224032304906,1.049041917358908248751725554384216625897,2.930460408142804536216e-8,2.10843958864610464487e-81
0.6,0.9999967560662751295571866022374102819813,0.5005199309258665756015080704769887583717,1.049191239183012277537598520628831006291,1.04869282237052311998010513771458801589,1.049191239183012277537598520628831006291,0.0004984168124891575574934,2.10843958864610464487e-81
0.64,0.9883370381099837957495192774647503803513,0.53125,1.058713533762115142603559445890438114312,1.028874480316688910972719537879856622686,1.058713533762115142603559445890438114312,0.02983905344542623163084,2.10843958864610464487e-81
0.72,0.8976258200208490355216716923846978073361,0.5943888170211201632815973934786811303403,1.083281990918212684238462541228702924288,0.9929206885227874338412709163090766438598,1.083281990918212684238462541228702924288,0.09036130239542525039719,2.10843958864610464487e-81
0.8,0.7221593222063912070018318746183594545084,0.6621250387500398851637774076544131277613,1.119443303899081085703581246604664166485,0.9610217921357721343516235642955338488544,1.119443303899081085703581246604664166485,0.158421511763308951352,1.265063753187662786922e-80
0.88,0.4738407417920584927851905976686077313719,0.7401673857129982273499790580500437905665,1.179491421461308946500717100126468068488,0.9324060546841197208651673917798015946447,1.179491421461308946500717100126468068488,0.2470853667771892256355,4.216879177292209289739e-81
0.96,0.168573415666722749498356588008881538957,0.8484848484848484848484848484848484848485,1.321198278609577536387204904623658352836,0.9065021872445110688165193576630872131597,1.321198278609577536387204904623658352836,0.4146960913650664675707,4.216879177292209289739e-81
0.996,0.01724093987166582923311339239561886949988,0.9505361906883426154288344501234214214776,1.640319638933898765417335538609837965341,0.8956104554200635872399092505058504014522,1.640319638933898765417335538609837965341,0.7447091835138351781774,2.551211902261786620292e-79
