n  prev  prev2  +1-candidates  +2-candidates  union  convex  accepted  seconds
 1     0      0              1              0      1       1         1   0.0000
 2     1      0              1              0      1       1         1   0.0000
 3     1      1              2              2      2       2         1   0.0000
 4     1      1              4              5      5       5         2   0.0001
 5     2      1              5             11     11       9         2   0.0001
 6     2      2              9             22     22      17         2   0.0003
 7     2      2              7             29     29      23         1   0.0004
 8     1      2              6             37     37      30         2   0.0006
 9     2      1              8             28     28      23         2   0.0005
10     2      2             12             46     46      38         3   0.0009
11     3      2             16             64     64      50         3   0.0014
12     3      3             27             98     98      75         4   0.0031
13     4      3             22            165    165     112         4   0.0043
14     4      4             32            145    145      92         4   0.0040
15     4      4             35            213    213     124         4   0.0062
16     4      4             33            228    228     133         4   0.0078
17     4      4             31            232    232     136         4   0.0113
18     4      4             41            241    241     144         3   0.0117
19     3      4             29            279    279     170         3   0.0146
20     3      3             30            241    241     144         4   0.0137
21     4      3             44            241    241     146         5   0.0201
OEIS A147680 prefix verified through n=21 (depth 2).
