n,accepted_prev,accepted_prev2,plus1_candidates,plus2_candidates,candidate_union,lattice_convex,accepted,seconds
1,0,0,1,0,1,1,1,0
2,1,0,1,0,1,1,1,1.312e-05
3,1,1,2,0,2,2,1,1.0095e-05
4,1,1,4,0,4,4,2,1.6195e-05
5,2,1,5,0,5,5,2,3.5383e-05
6,2,2,9,0,9,9,2,4.9655e-05
7,2,2,7,0,7,7,1,6.665e-05
8,1,2,6,0,6,6,2,4.632e-05
9,2,1,8,0,8,8,2,7.6615e-05
10,2,2,12,0,12,12,3,0.000136175
11,3,2,16,0,16,16,3,0.000222614
12,3,3,27,0,27,25,4,0.000348855
13,4,3,22,0,22,20,4,0.000377728
14,4,4,32,0,32,28,4,0.000567723
15,4,4,35,0,35,31,4,0.000761285
16,4,4,33,0,33,29,4,0.000777499
17,4,4,31,0,31,27,4,0.000914094
18,4,4,41,0,41,37,3,0.00145152
19,3,4,29,0,29,25,3,0.00106815
20,3,3,30,0,30,26,4,0.00116062
21,4,3,44,0,44,37,5,0.00177661
