remainder_degree	shift	entry
0	0	1
0	1	1471225*n/(37531*n + 37531) - 720605/(37531*n + 37531)
0	2	2315917272625*n**2/(1408575961*n**2 + 4225727883*n + 2817151922) + 23564626575*n/(1408575961*n**2 + 4225727883*n + 2817151922) - 564676188340/(1408575961*n**2 + 4225727883*n + 2817151922)
0	3	3644590649805555625*n**3/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) + 5503969989628435500*n**2/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) - 829119434680782025*n/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) - 1334882473243722180/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746)
0	4	5735545712766374939190625*n**4/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) + 23000542509953386238481250*n**3/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) + 20355524270300612105954375*n**2/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) - 5362684384212423662616250*n/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) - 5253289692965431052955480/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504)
1	1	2131800*n/(37531*n + 37531) - 1411440/(37531*n + 37531)
1	2	3341971614000*n**2/(1408575961*n**2 + 4225727883*n + 2817151922) - 542631000600*n/(1408575961*n**2 + 4225727883*n + 2817151922) - 1104011593680/(1408575961*n**2 + 4225727883*n + 2817151922)
1	3	5259355800108165000*n**3/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) + 7035087456692298000*n**2/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) - 3012721238704181400*n/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) - 2609879110250017680/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746)
1	4	8276725270610971237500000*n**4/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) + 31763033336399341766250000*n**3/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) + 22945727305525729023750000*n**2/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) - 15961590909968639391750000*n/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) - 10270904867319695539500000/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504)
2	1	1396800*n/(37531*n + 37531) - 1045440/(37531*n + 37531)
2	2	2185202232000*n**2/(1408575961*n**2 + 4225727883*n + 2817151922) - 543330892800*n/(1408575961*n**2 + 4225727883*n + 2817151922) - 817074267840/(1408575961*n**2 + 4225727883*n + 2817151922)
2	3	3438951909750000000*n**3/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) + 4303367989200000000*n**2/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) - 2564778376575000000*n/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) - 1931570675145000000/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746)
2	4	5411928839370079050000000*n**4/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) + 20302095116489123610000000*n**3/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) + 12900233891062731105000000*n**2/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) - 13131778466707765623000000*n/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504) - 7601493218712885432000000/(1984086237907073521*n**4 + 19840862379070735210*n**3 + 69443018326747573235*n**2 + 99204311895353676050*n + 47618069709769764504)
3	1	345600*n/(37531*n + 37531) - 276480/(37531*n + 37531)
3	2	540000000000*n**2/(1408575961*n**2 + 4225727883*n + 2817151922) - 162000000000*n/(1408575961*n**2 + 4225727883*n + 2817151922) - 216000000000/(1408575961*n**2 + 4225727883*n + 2817151922)
3	3	849830022000000000*n**3/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) + 1019796026400000000*n**2/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) - 721443515400000000*n/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746) - 510627615840000000/(52865264392291*n**3 + 317191586353746*n**2 + 581517908315201*n + 317191586353746)
