0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	56	-1	0	0	0	0	0	0
-28	1	0	0	0	0	0	0	168	56	-1	0	0	0	0	0
-56	-28	1	0	0	0	0	0	280	168	56	-1	0	0	0	0
-70	-56	-28	1	0	0	0	0	280	280	168	56	-1	0	0	0
-56	-70	-56	-28	1	0	0	0	168	280	280	168	56	-1	0	0
-28	-56	-70	-56	-28	1	0	0	56	168	280	280	168	56	-1	0
-8	-28	-56	-70	-56	-28	1	0	8	56	168	280	280	168	56	-1
-1	-8	-28	-56	-70	-56	-28	1	0	8	56	168	280	280	168	56
0	-1	-8	-28	-56	-70	-56	-28	0	0	8	56	168	280	280	168
0	0	-1	-8	-28	-56	-70	-56	0	0	0	8	56	168	280	280
0	0	0	-1	-8	-28	-56	-70	0	0	0	0	8	56	168	280
0	0	0	0	-1	-8	-28	-56	0	0	0	0	0	8	56	168
0	0	0	0	0	-1	-8	-28	0	0	0	0	0	0	8	56
0	0	0	0	0	0	-1	-8	0	0	0	0	0	0	0	8
0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
