n	a_q(n)
0	1
1	1
2	28
3	1624
4	117670
5	9548392
6	830131372
7	75606953752
8	7120863312193
9	687855647891720
10	67773681818602760
11	6784785494275611368
12	688157392619134411064
13	70564373571765369217544
14	7303153014736645095972440
15	761895863506739065813459976
16	80036144991818359292163598796
17	8458849958560525146996280030088
18	898804058839647610738061037984276
19	95960309260309334287656861915676560
20	10289054220509855585026123904974044468
21	1107472082412578198175427989368257908312
22	119620585225379346311524576598872057688412
23	12961595112644248012263359909303795163154080
24	1408547793444039036881136260069652588612459000

recurrence_start_n	residual
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
0	0	(separate check)
