remainder_degree	shift	entry
0	0	1
0	1	29380215803968*n/(266453663671*n + 266453663671) - 14458810638392/(266453663671*n + 266453663671)
0	2	907506194090804077123408384*n**2/(70997554883698385196241*n**2 + 212992664651095155588723*n + 141995109767396770392482) + 7140325186400727031981248*n/(70997554883698385196241*n**2 + 212992664651095155588723*n + 141995109767396770392482) - 222846344490447738803217328/(70997554883698385196241*n**2 + 212992664651095155588723*n + 141995109767396770392482)
0	3	28029327914095339385109860584276301516800*n**3/(18917558610444333049685004747460711*n**3 + 113505351662665998298110028484764266*n**2 + 208093144714887663546535052222067821*n + 113505351662665998298110028484764266) + 42264528545590795199212594170875535805440*n**2/(18917558610444333049685004747460711*n**3 + 113505351662665998298110028484764266*n**2 + 208093144714887663546535052222067821*n + 113505351662665998298110028484764266) - 6537895815509592353895373700857371426112*n/(18917558610444333049685004747460711*n**3 + 113505351662665998298110028484764266*n**2 + 208093144714887663546535052222067821*n + 113505351662665998298110028484764266) - 10331261723592910151472652847085621175248/(18917558610444333049685004747460711*n**3 + 113505351662665998298110028484764266*n**2 + 208093144714887663546535052222067821*n + 113505351662665998298110028484764266)
0	4	865716684021655673083774239898206743900974627905372160*n**4/(5040652799463764426288677987471934580080530081*n**4 + 50406527994637644262886779874719345800805300810*n**3 + 176422847981231754920103729561517710302818552835*n**2 + 252032639973188221314433899373596729004026504050*n + 120975667187130346230928271699326429921932721944) + 3469678254341277545001992096637006779051066422822739968*n**3/(5040652799463764426288677987471934580080530081*n**4 + 50406527994637644262886779874719345800805300810*n**3 + 176422847981231754920103729561517710302818552835*n**2 + 252032639973188221314433899373596729004026504050*n + 120975667187130346230928271699326429921932721944) + 3061973379972350797508576415036893103791220990299084288*n**2/(5040652799463764426288677987471934580080530081*n**4 + 50406527994637644262886779874719345800805300810*n**3 + 176422847981231754920103729561517710302818552835*n**2 + 252032639973188221314433899373596729004026504050*n + 120975667187130346230928271699326429921932721944) - 823914730408851516979109561771159134169844392278830976*n/(5040652799463764426288677987471934580080530081*n**4 + 50406527994637644262886779874719345800805300810*n**3 + 176422847981231754920103729561517710302818552835*n**2 + 252032639973188221314433899373596729004026504050*n + 120975667187130346230928271699326429921932721944) - 797838124105142994072104879462573048297702515006795200/(5040652799463764426288677987471934580080530081*n**4 + 50406527994637644262886779874719345800805300810*n**3 + 176422847981231754920103729561517710302818552835*n**2 + 252032639973188221314433899373596729004026504050*n + 120975667187130346230928271699326429921932721944)
0	5	26738613901948395053341016076782612807788570227838541328157929373696*n**5/(1343100405710602495593897675229068008152492178298172387351*n**5 + 20146506085659037433908465128436020122287382674472585810265*n**4 + 114163534485401212125481302394470780692961835155344652924835*n**3 + 302197591284885561508626976926540301834310740117088787153975*n**2 + 368009511164705083792727963012764634233782856853699234134174*n + 161172048685272299471267721027488160978299061395780686482120) + 200749985512957557678913988705003627506386622778899364591381020114944*n**4/(1343100405710602495593897675229068008152492178298172387351*n**5 + 20146506085659037433908465128436020122287382674472585810265*n**4 + 114163534485401212125481302394470780692961835155344652924835*n**3 + 302197591284885561508626976926540301834310740117088787153975*n**2 + 368009511164705083792727963012764634233782856853699234134174*n + 161172048685272299471267721027488160978299061395780686482120) + 469662852930573051597323258076717706096900276627421268423061906542592*n**3/(1343100405710602495593897675229068008152492178298172387351*n**5 + 20146506085659037433908465128436020122287382674472585810265*n**4 + 114163534485401212125481302394470780692961835155344652924835*n**3 + 302197591284885561508626976926540301834310740117088787153975*n**2 + 368009511164705083792727963012764634233782856853699234134174*n + 161172048685272299471267721027488160978299061395780686482120) + 305576308043803072836916754500132839724710791971970630457869616615936*n**2/(1343100405710602495593897675229068008152492178298172387351*n**5 + 20146506085659037433908465128436020122287382674472585810265*n**4 + 114163534485401212125481302394470780692961835155344652924835*n**3 + 302197591284885561508626976926540301834310740117088787153975*n**2 + 368009511164705083792727963012764634233782856853699234134174*n + 161172048685272299471267721027488160978299061395780686482120) - 113711559904080045260696711369117534375027370690617766866374844271488*n/(1343100405710602495593897675229068008152492178298172387351*n**5 + 20146506085659037433908465128436020122287382674472585810265*n**4 + 114163534485401212125481302394470780692961835155344652924835*n**3 + 302197591284885561508626976926540301834310740117088787153975*n**2 + 368009511164705083792727963012764634233782856853699234134174*n + 161172048685272299471267721027488160978299061395780686482120) - 86252357066266690983728218974347271040725318538762100251070853963840/(1343100405710602495593897675229068008152492178298172387351*n**5 + 20146506085659037433908465128436020122287382674472585810265*n**4 + 114163534485401212125481302394470780692961835155344652924835*n**3 + 302197591284885561508626976926540301834310740117088787153975*n**2 + 368009511164705083792727963012764634233782856853699234134174*n + 161172048685272299471267721027488160978299061395780686482120)
0	6	825851559283936541659557031600196391688529366109411697626752242067113153474330624*n**6/(357874023779596525119749670555474874927050036956719390453202488625521*n**6 + 7515354499371527027514743081664972373468050776091107199517252261135941*n**5 + 62627954161429391895956192347208103112233756467425893329310435509466175*n**4 + 263037407478003445963016007858274033071381777163188751983103829139757935*n**3 + 581187414618064756794473464982091196881529260017712290096000841527846104*n**2 + 631289777947208270311238418859857679371316265191653004759449189935419044*n + 257669297121309498086219762799941909947476026608837961126305791810375120) + 9916716568125863096597274889854937023206972836722774247332642839996405725701341184*n**5/(357874023779596525119749670555474874927050036956719390453202488625521*n**6 + 7515354499371527027514743081664972373468050776091107199517252261135941*n**5 + 62627954161429391895956192347208103112233756467425893329310435509466175*n**4 + 263037407478003445963016007858274033071381777163188751983103829139757935*n**3 + 581187414618064756794473464982091196881529260017712290096000841527846104*n**2 + 631289777947208270311238418859857679371316265191653004759449189935419044*n + 257669297121309498086219762799941909947476026608837961126305791810375120) + 42408202321892678664147685133169029488684789920696112432690124578071701302724755456*n**4/(357874023779596525119749670555474874927050036956719390453202488625521*n**6 + 7515354499371527027514743081664972373468050776091107199517252261135941*n**5 + 62627954161429391895956192347208103112233756467425893329310435509466175*n**4 + 263037407478003445963016007858274033071381777163188751983103829139757935*n**3 + 581187414618064756794473464982091196881529260017712290096000841527846104*n**2 + 631289777947208270311238418859857679371316265191653004759449189935419044*n + 257669297121309498086219762799941909947476026608837961126305791810375120) + 74716978664799802438240700144827697510330325546714386165392852830426465447065874432*n**3/(357874023779596525119749670555474874927050036956719390453202488625521*n**6 + 7515354499371527027514743081664972373468050776091107199517252261135941*n**5 + 62627954161429391895956192347208103112233756467425893329310435509466175*n**4 + 263037407478003445963016007858274033071381777163188751983103829139757935*n**3 + 581187414618064756794473464982091196881529260017712290096000841527846104*n**2 + 631289777947208270311238418859857679371316265191653004759449189935419044*n + 257669297121309498086219762799941909947476026608837961126305791810375120) + 38960642132339667420682050340573751712723359270624536724151845299994322926177075200*n**2/(357874023779596525119749670555474874927050036956719390453202488625521*n**6 + 7515354499371527027514743081664972373468050776091107199517252261135941*n**5 + 62627954161429391895956192347208103112233756467425893329310435509466175*n**4 + 263037407478003445963016007858274033071381777163188751983103829139757935*n**3 + 581187414618064756794473464982091196881529260017712290096000841527846104*n**2 + 631289777947208270311238418859857679371316265191653004759449189935419044*n + 257669297121309498086219762799941909947476026608837961126305791810375120) - 18468876701553641788044218139899978795772366151099136845354560847273645746839099136*n/(357874023779596525119749670555474874927050036956719390453202488625521*n**6 + 7515354499371527027514743081664972373468050776091107199517252261135941*n**5 + 62627954161429391895956192347208103112233756467425893329310435509466175*n**4 + 263037407478003445963016007858274033071381777163188751983103829139757935*n**3 + 581187414618064756794473464982091196881529260017712290096000841527846104*n**2 + 631289777947208270311238418859857679371316265191653004759449189935419044*n + 257669297121309498086219762799941909947476026608837961126305791810375120) - 11988380129559948684900998598460307235064029939166152572469626119164958447024126080/(357874023779596525119749670555474874927050036956719390453202488625521*n**6 + 7515354499371527027514743081664972373468050776091107199517252261135941*n**5 + 62627954161429391895956192347208103112233756467425893329310435509466175*n**4 + 263037407478003445963016007858274033071381777163188751983103829139757935*n**3 + 581187414618064756794473464982091196881529260017712290096000841527846104*n**2 + 631289777947208270311238418859857679371316265191653004759449189935419044*n + 257669297121309498086219762799941909947476026608837961126305791810375120)
0	7	25507335588626417277985184106596584146925897438017471420915181840080200633762040030149340037120*n**7/(95356844768756068736338081717901554071502981207453828847341744169084775601147591*n**7 + 2669991653525169924617466288101243514002083473808707207725568836734373716832132548*n**6 + 30704904015539454133100862313164300411023959948800132888844041622445297743569524302*n**5 + 186899415746761894723222640167087045980145843166609504540789818571406160178249278360*n**4 + 645470482239709829276272475148475619510003679793254967467656266280534846044168043479*n**3 + 1252226085503304694645591689119483208066977149216283680423291784428421273194270165012*n**2 + 1246123247438104306246466051889537508606400958419006635377061912801599847555796719188*n + 480598497634530586431143931858223832520375025285567297390602390612187269029783858640) + 446579066267076815371017990491369969871102740439256623539493007428009331346909115399427109945344*n**6/(95356844768756068736338081717901554071502981207453828847341744169084775601147591*n**7 + 2669991653525169924617466288101243514002083473808707207725568836734373716832132548*n**6 + 30704904015539454133100862313164300411023959948800132888844041622445297743569524302*n**5 + 186899415746761894723222640167087045980145843166609504540789818571406160178249278360*n**4 + 645470482239709829276272475148475619510003679793254967467656266280534846044168043479*n**3 + 1252226085503304694645591689119483208066977149216283680423291784428421273194270165012*n**2 + 1246123247438104306246466051889537508606400958419006635377061912801599847555796719188*n + 480598497634530586431143931858223832520375025285567297390602390612187269029783858640) + 2994424909907989603295423109809339386819750173327904319571555215988483139918398855513977240682496*n**5/(95356844768756068736338081717901554071502981207453828847341744169084775601147591*n**7 + 2669991653525169924617466288101243514002083473808707207725568836734373716832132548*n**6 + 30704904015539454133100862313164300411023959948800132888844041622445297743569524302*n**5 + 186899415746761894723222640167087045980145843166609504540789818571406160178249278360*n**4 + 645470482239709829276272475148475619510003679793254967467656266280534846044168043479*n**3 + 1252226085503304694645591689119483208066977149216283680423291784428421273194270165012*n**2 + 1246123247438104306246466051889537508606400958419006635377061912801599847555796719188*n + 480598497634530586431143931858223832520375025285567297390602390612187269029783858640) + 9511845287876974833724536402604041764092614694612697181619747199403480196697121594128014220984320*n**4/(95356844768756068736338081717901554071502981207453828847341744169084775601147591*n**7 + 2669991653525169924617466288101243514002083473808707207725568836734373716832132548*n**6 + 30704904015539454133100862313164300411023959948800132888844041622445297743569524302*n**5 + 186899415746761894723222640167087045980145843166609504540789818571406160178249278360*n**4 + 645470482239709829276272475148475619510003679793254967467656266280534846044168043479*n**3 + 1252226085503304694645591689119483208066977149216283680423291784428421273194270165012*n**2 + 1246123247438104306246466051889537508606400958419006635377061912801599847555796719188*n + 480598497634530586431143931858223832520375025285567297390602390612187269029783858640) + 13896007826251386338356351957739311184273805576732577433596193386146294012384603967996501510328320*n**3/(95356844768756068736338081717901554071502981207453828847341744169084775601147591*n**7 + 2669991653525169924617466288101243514002083473808707207725568836734373716832132548*n**6 + 30704904015539454133100862313164300411023959948800132888844041622445297743569524302*n**5 + 186899415746761894723222640167087045980145843166609504540789818571406160178249278360*n**4 + 645470482239709829276272475148475619510003679793254967467656266280534846044168043479*n**3 + 1252226085503304694645591689119483208066977149216283680423291784428421273194270165012*n**2 + 1246123247438104306246466051889537508606400958419006635377061912801599847555796719188*n + 480598497634530586431143931858223832520375025285567297390602390612187269029783858640) + 6048098574025936578645434483263801872863647177033939333024957624901296289653833818872171717359616*n**2/(95356844768756068736338081717901554071502981207453828847341744169084775601147591*n**7 + 2669991653525169924617466288101243514002083473808707207725568836734373716832132548*n**6 + 30704904015539454133100862313164300411023959948800132888844041622445297743569524302*n**5 + 186899415746761894723222640167087045980145843166609504540789818571406160178249278360*n**4 + 645470482239709829276272475148475619510003679793254967467656266280534846044168043479*n**3 + 1252226085503304694645591689119483208066977149216283680423291784428421273194270165012*n**2 + 1246123247438104306246466051889537508606400958419006635377061912801599847555796719188*n + 480598497634530586431143931858223832520375025285567297390602390612187269029783858640) - 3507702957627180397764423586048630148426485908405178693295680775717779452089707697387530386038016*n/(95356844768756068736338081717901554071502981207453828847341744169084775601147591*n**7 + 2669991653525169924617466288101243514002083473808707207725568836734373716832132548*n**6 + 30704904015539454133100862313164300411023959948800132888844041622445297743569524302*n**5 + 186899415746761894723222640167087045980145843166609504540789818571406160178249278360*n**4 + 645470482239709829276272475148475619510003679793254967467656266280534846044168043479*n**3 + 1252226085503304694645591689119483208066977149216283680423291784428421273194270165012*n**2 + 1246123247438104306246466051889537508606400958419006635377061912801599847555796719188*n + 480598497634530586431143931858223832520375025285567297390602390612187269029783858640) - 2036550364684385010483587608030911787025294673471206701670393757700233274578410836935762750119040/(95356844768756068736338081717901554071502981207453828847341744169084775601147591*n**7 + 2669991653525169924617466288101243514002083473808707207725568836734373716832132548*n**6 + 30704904015539454133100862313164300411023959948800132888844041622445297743569524302*n**5 + 186899415746761894723222640167087045980145843166609504540789818571406160178249278360*n**4 + 645470482239709829276272475148475619510003679793254967467656266280534846044168043479*n**3 + 1252226085503304694645591689119483208066977149216283680423291784428421273194270165012*n**2 + 1246123247438104306246466051889537508606400958419006635377061912801599847555796719188*n + 480598497634530586431143931858223832520375025285567297390602390612187269029783858640)
1	1	86290269303168*n/(266453663671*n + 266453663671) - 57146814090576/(266453663671*n + 266453663671)
1	2	2661451660571211829426936320*n**2/(70997554883698385196241*n**2 + 212992664651095155588723*n + 141995109767396770392482) - 432259988180291028322334784*n/(70997554883698385196241*n**2 + 212992664651095155588723*n + 141995109767396770392482) - 880220475721250926307999856/(70997554883698385196241*n**2 + 212992664651095155588723*n + 141995109767396770392482)
