remainder_degree	shift	entry
0	0	1
0	1	198*n/(17*n + 17) - 96/(17*n + 17)
0	2	44604*n**2/(289*n**2 + 867*n + 578) + 648*n/(289*n**2 + 867*n + 578) - 10572/(289*n**2 + 867*n + 578)
1	1	180*n/(17*n + 17) - 120/(17*n + 17)
1	2	38880*n**2/(289*n**2 + 867*n + 578) - 6480*n/(289*n**2 + 867*n + 578) - 12960/(289*n**2 + 867*n + 578)
