n,accepted_prev,accepted_prev2,plus1_candidates,plus2_candidates,candidate_union,lattice_convex,accepted,seconds
1,0,0,1,0,1,1,1,0
2,1,0,1,0,1,1,1,1.3551e-05
3,1,1,2,2,2,2,1,1.6185e-05
4,1,1,4,5,5,5,2,3.9089e-05
5,2,1,5,11,11,9,2,7.1928e-05
6,2,2,9,22,22,17,2,0.00017278
7,2,2,7,29,29,23,1,0.000238229
8,1,2,6,37,37,30,2,0.000290517
9,2,1,8,28,28,23,2,0.000261854
10,2,2,12,46,46,38,3,0.00046581
11,3,2,16,64,64,50,3,0.000877744
12,3,3,27,98,98,75,4,0.00124321
13,4,3,22,165,165,112,4,0.00205117
14,4,4,32,145,145,92,4,0.00193118
15,4,4,35,213,213,124,4,0.00284044
16,4,4,33,228,228,133,4,0.00357021
17,4,4,31,232,232,136,4,0.00418043
18,4,4,41,241,241,144,3,0.00454844
19,3,4,29,279,279,170,3,0.00589059
20,3,3,30,241,241,144,4,0.00511045
21,4,3,44,241,241,146,5,0.00592082
22,5,4,56,367,367,201,6,0.00890501
23,6,5,58,463,463,232,6,0.0115092
24,6,6,84,513,513,281,7,0.0141591
25,7,6,66,701,701,345,7,0.0191123
26,7,7,96,595,595,350,7,0.0187442
27,7,7,73,815,815,386,6,0.0246545
28,6,7,93,690,690,367,7,0.0228266
29,7,6,81,843,843,464,7,0.0308118
30,7,7,99,780,780,396,8,0.0286512
31,8,7,102,960,960,448,8,0.0340955
32,8,8,116,987,987,429,8,0.0352362
33,8,8,112,1127,1127,540,8,0.0451598
34,8,8,118,1140,1140,611,7,0.0503176
35,7,8,101,1135,1135,561,7,0.0507406
36,7,7,107,1062,1062,534,6,0.0495366
37,6,7,97,1126,1126,551,7,0.0541708
38,7,6,103,1028,1028,488,7,0.0500652
39,7,7,114,1109,1109,559,7,0.0591808
40,7,7,104,1217,1217,582,7,0.0651554
41,7,7,118,1149,1149,507,8,0.0598348
42,8,7,135,1326,1326,578,9,0.0703122
43,9,8,158,1511,1511,592,11,0.0771644
44,11,9,192,1812,1812,652,12,0.0923339
45,12,11,200,2212,2212,825,12,0.118957
46,12,12,218,2332,2332,903,12,0.130185
47,12,12,206,2510,2510,966,11,0.145619
48,11,12,219,2440,2440,1097,12,0.164469
49,12,11,207,2575,2575,1215,12,0.182391
50,12,12,243,2506,2506,1148,12,0.18412
