config,mode=both,max_n=12,workers=1,num_cpu=14
n,count,check,promoted_transitions,max_completion_jump,over_bound_dropped,seconds_fast,seconds_complete
1,1,OK,0,0,0,0.000000000,0.000010783
2,1,OK,0,0,0,0.000027933,0.000007700
3,2,OK,0,0,0,0.000024056,0.000015008
4,5,OK,2,1,0,0.000039996,0.000047785
5,10,OK,17,2,0,0.000119109,0.000137784
6,25,OK,70,3,0,0.000221501,0.000458084
7,48,OK,203,4,0,0.000532341,0.001266765
8,107,OK,555,5,12,0.000829963,0.003572748
9,193,OK,1088,6,171,0.002066808,0.007525869
10,365,OK,1502,7,1205,0.003749418,0.012603384
11,621,OK,0,8,5224,0.005203842,0.009360353
12,1082,OK,0,0,0,0.009502645,0.000000038
