config,mode=both,max_n=14,workers=1,num_cpu=56
n,count,check,promoted_transitions,max_completion_jump,over_bound_dropped,seconds_fast,seconds_complete
1,1,OK,0,0,0,0.000000000,0.000177559
2,1,OK,0,0,0,0.000184938,0.000016368
3,2,OK,0,0,0,0.000023847,0.000029473
4,5,OK,2,1,0,0.000061958,0.000089696
5,10,OK,17,2,0,0.000173029,0.000267840
6,25,OK,70,3,0,0.000398797,0.000954786
7,48,OK,203,4,0,0.000926283,0.002488948
8,107,OK,567,5,0,0.001960043,0.007499355
9,193,OK,1246,6,13,0.003272366,0.019167156
10,365,OK,2553,7,154,0.007681475,0.050724280
11,621,OK,4206,8,1018,0.014127852,0.070988259
12,1082,OK,4908,9,5145,0.021757450,0.100338390
13,1715,OK,0,10,17402,0.039653741,0.067621019
14,2777,OK,0,0,0,0.067391382,0.000000088
