ordering,mean_success_page,mean_success_match,mean_records_scanned
hits-authority,1.3333333333333333,3.3333333333333335,12.11111111111111
indegree,1.4444444444444444,3.6666666666666665,12.222222222222221
pagerank,1.4444444444444444,3.6666666666666665,12.88888888888889
alphabetical,1.5555555555555556,4.444444444444445,13.333333333333334
id,1.7777777777777777,4.444444444444445,13.555555555555555
outdegree,1.8888888888888888,5.0,15.222222222222221
reverse-pagerank,1.8888888888888888,5.0,15.555555555555555
random-fixed,2.0,5.111111111111111,15.11111111111111
hits-hub,2.2222222222222223,5.444444444444445,16.88888888888889
