label_id,label
0,D0.0
1,D0.1
2,D0.2
3,D0.3
4,D0.4
5,D0.5
6,D1.0
7,D1.1
8,D1.2
9,D1.3
10,D1.4
11,D1.5
12,H.0
13,H.1
14,H.2
15,H.3
16,H.4
17,H.5
