remainder_degree	shift	entry
0	0	1
0	1	285994836*n/(4856069*n + 4856069) - 140312766/(4856069*n + 4856069)
0	2	86941044184441896*n**2/(23581406132761*n**2 + 70744218398283*n + 47162812265522) + 814976675853084*n/(23581406132761*n**2 + 70744218398283*n + 47162812265522) - 21256455565908960/(23581406132761*n**2 + 70744218398283*n + 47162812265522)
0	3	26425313119016944143199056*n**3/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) + 39885677743806363329905680*n**2/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 6067790267560547263696836*n/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 9701771472265220161395660/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054)
0	4	8031848801955527904923609515974816*n**4/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 32202684901988313350839271922334752*n**3/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 28469898738325861251022987787375064*n**2/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 7559454026245371453283057011817992*n/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 7373603807662490788267302957803520/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904)
0	5	2441242413876960042629701789863116239450176*n**5/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 18332202050134397713939248196325390484902880*n**4/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 42912759526406662361802246243674269939590480*n**3/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) + 27991842774063918979156343739122400762982920*n**2/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 10283437805766565688504303042716331166309816*n/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880) - 7844827887590262116726661290320129056750960/(2700376034709895778212145501911349*n**5 + 40505640520648436673182182528670235*n**4 + 229531962950341141148032367662464665*n**3 + 607584607809726550097732737930053525*n**2 + 739903033510511443230127867523709626*n + 324045124165187493385457460229361880)
1	1	555881760*n/(4856069*n + 4856069) - 367956120/(4856069*n + 4856069)
1	2	168522901521057720*n**2/(23581406132761*n**2 + 70744218398283*n + 47162812265522) - 27328101775991100*n/(23581406132761*n**2 + 70744218398283*n + 47162812265522) - 55676227483797480/(23581406132761*n**2 + 70744218398283*n + 47162812265522)
1	3	51221904859380210044150880*n**3/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) + 68526619892245946000535840*n**2/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 29340415914623208176425560*n/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054) - 25411563353183543565923880/(114512935297710576509*n**3 + 687077611786263459054*n**2 + 1259642288274816341599*n + 687077611786263459054)
1	4	15568655490466857214231019860974240*n**4/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 59749980413903513981308380506251680*n**3/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) + 43165607317690198939875716360022360*n**2/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 30020507686004957524070079164522280*n/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904) - 19313462551304911506688360673336160/(556082715198218101557483121*n**4 + 5560827151982181015574831210*n**3 + 19462895031937633554511909235*n**2 + 27804135759910905077874156050*n + 13345985164757234437379594904)
