token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,2,3,3/2,P1/P2,false,pair:P1:P2:SE
2,6,8,4,P1/P2,false,pair:P1:P2:SE
3,7,17/2,4,P0/P2,false,pair:P0:P2:N
4,9,19/2,9/2,P1/P2,false,pair:P1:P2:SE
5,13,29/2,7,P1/P2,false,pair:P1:P2:SE
6,17,39/2,19/2,P1/P2,false,pair:P1:P2:SE
7,18,41/2,10,P0/P1,true,pair:P0:P1:SE|wall:P2:E
8,20,45/2,21/2,P1/P2,false,pair:P1:P2:E
9,22,47/2,67/6,P0/P1,false,pair:P0:P1:SE
10,24,51/2,25/2,P1/P2,false,pair:P1:P2:E
11,27,287/10,137/10,P0/P1,false,pair:P0:P1:SE
12,29,421/14,195/14,P1/P2,false,pair:P1:P2:E
13,32,185/6,29/2,P1/P2,false,pair:P1:P2:E
14,34,65/2,15,P0/P1,false,pair:P0:P1:E
15,36,493/14,219/14,P0/P2,false,pair:P0:P2:E
16,42,573/14,251/14,P0/P2,false,pair:P0:P2:E
17,44,87/2,37/2,P0/P2,false,pair:P0:P2:SE
18,45,427/10,201/10,P0/P1,false,pair:P0:P1:N
19,47,87/2,201/10,P0/P2,false,pair:P0:P2:SE
20,50,653/14,283/14,P0/P2,false,pair:P0:P2:E
21,55,729/14,339/14,P1/P2,false,pair:P1:P2:S
22,59,563/10,249/10,P0/P2,false,pair:P0:P2:N
23,63,2015/34,885/34,P0/P2,false,pair:P0:P2:NE
24,64,603/10,1341/50,P1/P2,false,pair:P1:P2:S
25,70,3049/46,1427/46,P1/P2,false,pair:P1:P2:E
26,76,443/6,203/6,P1/P2,false,pair:P1:P2:SE
27,80,1693/22,775/22,P0/P2,false,pair:P0:P2:SW
28,82,2393/30,361/10,P0/P1,false,pair:P0:P1:W
29,89,861/10,401/10,P0/P2,false,pair:P0:P2:SW
30,93,177/2,85/2,P0/P1,false,pair:P0:P1:N
31,94,547/6,749/18,P1/P2,false,pair:P1:P2:SW
32,99,199/2,611/14,P1/P2,false,pair:P1:P2:W
33,102,1011/10,1451/30,P0/P2,false,pair:P0:P2:NW
34,108,12137/110,5619/110,P0/P1,false,pair:P0:P1:N
35,110,1991/18,4609/90,P0/P1,false,pair:P0:P1:N
36,111,8897/78,101/2,P1/P2,false,pair:P1:P2:N
37,113,445/4,107/2,P1/P2,false,pair:P1:P2:NE
38,117,14061/118,6471/118,P0/P2,false,pair:P0:P2:SE
39,121,16965/134,7855/134,P0/P2,false,pair:P0:P2:SE
40,124,9459/74,4441/74,P0/P1,false,pair:P0:P1:W
41,126,773/6,1819/30,P0/P2,false,pair:P0:P2:S
42,127,7675/58,3473/58,P1/P2,false,pair:P1:P2:E
43,130,3499/26,4739/78,P1/P2,false,pair:P1:P2:E
44,135,9239/66,1415/22,P0/P2,false,pair:P0:P2:E
45,136,5875/42,1165/18,P0/P1,false,pair:P0:P1:SW
46,139,17753/126,899/14,P0/P1,false,pair:P0:P1:SW
47,144,9049/62,4219/62,P1/P2,false,pair:P1:P2:SE
48,147,7471/50,697/10,P0/P2,false,pair:P0:P2:W
49,150,10869/70,4751/70,P0/P2,false,pair:P0:P2:N
50,154,13453/86,6263/86,P0/P1,false,pair:P0:P1:NE
51,158,20441/126,1357/18,P0/P2,false,pair:P0:P2:SE
52,160,15385/94,7179/94,P0/P1,false,pair:P0:P1:NE
53,165,4315/26,2177/26,P0/P2,false,pair:P0:P2:NE
54,168,16345/94,7659/94,P1/P2,false,pair:P1:P2:SW
55,169,10299/58,4657/58,P0/P2,false,pair:P0:P2:E
56,173,1075/6,1493/18,P0/P1,false,pair:P0:P1:NE
57,174,1781/10,503/6,P0/P2,false,pair:P0:P2:S
58,177,10471/58,4929/58,P0/P1,false,pair:P0:P1:NE
59,180,4741/26,2265/26,P0/P2,false,pair:P0:P2:S
60,182,32995/178,15501/178,P0/P1,false,pair:P0:P1:SE
61,184,10313/54,4663/54,P0/P2,false,pair:P0:P2:SW
62,190,34915/178,16461/178,P1/P2,false,pair:P1:P2:NW
63,194,22943/114,10877/114,P0/P2,false,pair:P0:P2:NW
64,198,2043/10,4989/50,P0/P1,false,pair:P0:P1:N
65,202,4713/22,2183/22,P0/P2,false,pair:P0:P2:N
66,203,14957/70,1395/14,P1/P2,false,pair:P1:P2:SW
67,204,2561/12,599/6,P0/P2,false,pair:P0:P2:N
68,208,4811/22,6773/66,P0/P2,false,pair:P0:P2:W
69,210,13581/62,6475/62,P0/P1,false,pair:P0:P1:NW
70,213,6773/30,3107/30,P1/P2,false,pair:P1:P2:S
71,216,6889/30,3187/30,P0/P1,false,pair:P0:P1:SW
72,218,9595/42,4549/42,P0/P2,false,pair:P0:P2:E
73,226,18529/78,2909/26,P0/P1,false,pair:P0:P1:SE
74,229,29291/122,13821/122,P0/P2,false,pair:P0:P2:S
75,232,28845/118,13507/118,P1/P2,false,pair:P1:P2:NW
76,234,1505/6,223/2,P0/P1,false,pair:P0:P1:SE
77,236,10307/42,1615/14,P0/P1,false,pair:P0:P1:SE
78,237,31951/130,14973/130,P0/P2,false,pair:P0:P2:W
79,238,5411/22,1266/11,P0/P1,false,pair:P0:P1:SE
80,242,61229/246,28723/246,P0/P1,false,pair:P0:P1:E
81,243,22499/90,6271/54,P0/P2,false,pair:P0:P2:W
82,244,1567/6,329/3,P0/P1,false,pair:P0:P1:E
83,246,30851/122,14145/122,P0/P1,false,pair:P0:P1:NE
84,251,71925/278,33031/278,P1/P2,false,pair:P1:P2:S
85,254,43439/162,19525/162,P0/P2,false,pair:P0:P2:NW
86,258,25233/94,11611/94,P0/P2,false,pair:P0:P2:NW
87,262,23409/86,10961/86,P0/P2,false,pair:P0:P2:SW
88,266,16059/58,7461/58,P0/P1,false,pair:P0:P1:NW
89,269,146747/522,7521/58,P1/P2,false,pair:P1:P2:E
90,272,76537/270,35507/270,P0/P1,false,pair:P0:P1:S
91,273,165533/582,76639/582,P0/P2,false,pair:P0:P2:E
92,277,234731/810,108569/810,P0/P1,false,pair:P0:P1:S
93,280,133909/470,64807/470,P0/P1,false,pair:P0:P1:S
94,281,35395/122,116391/854,P0/P2,false,pair:P0:P2:N
95,284,41657/142,58009/426,P0/P2,false,pair:P0:P2:N
96,285,168481/574,78667/574,P0/P1,false,pair:P0:P1:W
97,288,252885/854,118439/854,P0/P2,false,pair:P0:P2:N
98,291,154815/514,71765/514,P1/P2,false,pair:P1:P2:E
99,293,258005/854,120487/854,P0/P2,false,pair:P0:P2:N
100,295,145809/478,68923/478,P0/P1,false,pair:P0:P1:NW
101,298,53483/170,23417/170,P0/P1,false,pair:P0:P1:NW
102,300,572645/1846,263383/1846,P1/P2,false,pair:P1:P2:W
