token_index,batch,time_a,time_b,pair,mixed_with_wall,events
955,3296,100856293265570780128889491865477/28258482792760301934588049413,857364884671974926351926443140771/508652690269685434822584889434,P1/P2,false,pair:P1:P2:SE
956,3298,9731373758146828485627890382733223/2735783784504535916352514180391,9276932033344596999433435958911305/5471567569009071832705028360782,P0/P2,false,pair:P0:P2:E
957,3301,572458679704776412498537496063923/159889776581881395659723924275,538469813329158079233656204555261/319779553163762791319447848550,P1/P2,false,pair:P1:P2:E
958,3304,18319017481578912303823534271887543/5130215411544906498050325849655,17393489808456749470256000882577721/10260430823089812996100651699310,P0/P1,false,pair:P0:P1:SE
959,3307,17200492056351075244682650913908517/4815229164744385686943393394597,16340564074148921976343564393039531/9630458329488771373886786789194,P1/P2,false,pair:P1:P2:NE
960,3312,21830867517998415720730819010634941/6094347377399436852221184788797,20693958002390402868666695344875155/12188694754798873704442369577594,P0/P2,false,pair:P0:P2:NE
961,3313,1330309603039014718785677250621643/366950760034544660307172261963,1224014553001521513539680390695013/733901520069089320614344523926,P0/P1,false,pair:P0:P1:SE
962,3315,7944993003134868651510909164915713/2222961696472984239443043699329,7579780663734135105854488610711951/4445923392945968478886087398658,P0/P1,false,pair:P0:P1:SE
963,3317,4267579093400119790008187152787857/1191404915818558596373321830417,1351900407895975303527081393034325/794269943879039064248881220278,P1/P2,false,pair:P1:P2:N
964,3320,9312266258078102935015838562643173/2589312359501491949603620312421,798544490379625583200033177477793/470784065363907627200658238622,P1/P2,false,pair:P1:P2:NW
965,3322,82659451852161375290584616864377/23059440907223321727747134713,1494450503727842213990026463501621/876258754474486225654391119094,P1/P2,false,pair:P1:P2:NW
966,3325,1393563893932668287362631855925311/389165998443040361057335167423,3112564845606721426217062653376797/1816107992734188351600897447974,P0/P2,false,pair:P0:P2:NW
967,3327,12080566163076050280412230522187733/3370669715412713823617040363605,11551157963232782656018745404788987/6741339430825427647234080727210,P0/P2,false,pair:P0:P2:W
968,3328,29124331476171218214315730680181951/8088833542844815655711252158015,27535953033345234766300491455201713/16177667085689631311422504316030,P1/P2,false,pair:P1:P2:NW
969,3332,4631690944374671236482605667265391/1289145330552137755399523976431,4418334703503101425889496766053889/2578290661104275510799047952862,P0/P2,false,pair:P0:P2:SW
