token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,3,9/2,2,P1/P2,false,pair:P1:P2:N
2,5,6,5/2,P0/P2,false,pair:P0:P2:E
3,8,28/3,25/6,P1/P2,false,pair:P1:P2:NE
4,11,16,15/2,P0/P2,true,pair:P0:P2:E|wall:P1:E
5,13,18,53/6,P0/P1,false,pair:P0:P1:SE
6,16,22,99/10,P0/P2,false,pair:P0:P2:E
7,19,74/3,61/6,P0/P1,false,pair:P0:P1:W
8,20,25,11,P0/P2,false,pair:P0:P2:E
9,21,126/5,23/2,P0/P1,false,pair:P0:P1:W
10,25,28,27/2,P0/P1,false,pair:P0:P1:N
11,26,94/3,23/2,P1/P2,false,pair:P1:P2:SE
12,27,86/3,85/6,P0/P2,false,pair:P0:P2:E
13,32,69/2,15,P1/P2,false,pair:P1:P2:S
14,36,118/3,101/6,P0/P1,false,pair:P0:P1:N
15,40,386/9,39/2,P1/P2,false,pair:P1:P2:NE
16,41,310/7,39/2,P0/P1,false,pair:P0:P1:N
17,45,326/7,305/14,P1/P2,false,pair:P1:P2:E
18,51,57,51/2,P0/P1,false,pair:P0:P1:SW
19,55,326/5,889/30,P1/P2,false,pair:P1:P2:W
20,60,730/11,669/22,P1/P2,false,pair:P1:P2:W
21,62,212/3,193/6,P1/P2,false,pair:P1:P2:NW
22,67,76,209/6,P1/P2,false,pair:P1:P2:NW
23,70,244/3,75/2,P1/P2,false,pair:P1:P2:SW
24,76,260/3,241/6,P1/P2,false,pair:P1:P2:SW
25,78,91,85/2,P1/P2,false,pair:P1:P2:NW
26,82,290/3,245/6,P1/P2,false,pair:P1:P2:N
27,83,472/5,431/10,P0/P1,false,pair:P0:P1:W
28,92,1178/11,1101/22,P1/P2,false,pair:P1:P2:S
29,96,112,511/10,P0/P1,false,pair:P0:P1:W
30,99,118,103/2,P1/P2,false,pair:P1:P2:E
31,104,822/7,793/14,P0/P2,false,pair:P0:P2:S
32,107,1346/11,1245/22,P0/P1,false,pair:P0:P1:S
33,109,126,325/6,P0/P1,false,pair:P0:P1:S
34,114,1406/11,1365/22,P1/P2,false,pair:P1:P2:SE
35,122,1274/9,397/6,P1/P2,false,pair:P1:P2:SW
36,123,150,373/6,P0/P1,false,pair:P0:P1:SW
37,134,154,3639/50,P1/P2,false,pair:P1:P2:NE
38,138,637/4,305/4,P1/P2,false,pair:P1:P2:NE
39,143,2216/13,2095/26,P0/P1,false,pair:P0:P1:W
