token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,1,1/2,0,P0/P2,false,pair:P0:P2:E
2,3,2,1/2,P1/P2,false,pair:P1:P2:N
3,6,16/3,13/6,P0/P2,false,pair:P0:P2:NE
4,9,12,11/2,P1/P2,true,pair:P1:P2:N|wall:P0:N
5,11,14,41/6,P0/P1,false,pair:P0:P1:SE
6,14,18,79/10,P1/P2,false,pair:P1:P2:N
7,17,62/3,49/6,P0/P1,false,pair:P0:P1:N
8,18,21,9,P1/P2,false,pair:P1:P2:N
9,19,106/5,19/2,P0/P1,false,pair:P0:P1:N
10,23,24,23/2,P0/P1,false,pair:P0:P1:W
11,24,82/3,19/2,P0/P2,false,pair:P0:P2:NW
12,25,74/3,73/6,P1/P2,false,pair:P1:P2:N
13,30,61/2,13,P0/P2,false,pair:P0:P2:W
14,34,106/3,89/6,P0/P1,false,pair:P0:P1:W
15,38,350/9,35/2,P0/P2,false,pair:P0:P2:NE
16,39,282/7,35/2,P0/P1,false,pair:P0:P1:W
17,43,298/7,277/14,P0/P2,false,pair:P0:P2:N
18,49,53,47/2,P0/P1,false,pair:P0:P1:NE
19,53,306/5,829/30,P0/P2,false,pair:P0:P2:S
20,58,686/11,625/22,P0/P2,false,pair:P0:P2:S
21,60,200/3,181/6,P0/P2,false,pair:P0:P2:SE
22,65,72,197/6,P0/P2,false,pair:P0:P2:SE
23,68,232/3,71/2,P0/P2,false,pair:P0:P2:SW
24,74,248/3,229/6,P0/P2,false,pair:P0:P2:SW
25,76,87,81/2,P0/P2,false,pair:P0:P2:SE
26,80,278/3,233/6,P0/P2,false,pair:P0:P2:E
27,81,452/5,411/10,P0/P1,false,pair:P0:P1:N
28,90,1134/11,1057/22,P0/P2,false,pair:P0:P2:W
29,94,108,491/10,P0/P1,false,pair:P0:P1:N
30,97,114,99/2,P0/P2,false,pair:P0:P2:N
31,102,794/7,765/14,P1/P2,false,pair:P1:P2:W
32,105,1302/11,1201/22,P0/P1,false,pair:P0:P1:E
33,107,122,313/6,P0/P1,false,pair:P0:P1:E
34,112,1362/11,1321/22,P0/P2,false,pair:P0:P2:NW
35,120,1238/9,385/6,P0/P2,false,pair:P0:P2:SW
36,121,146,361/6,P0/P1,false,pair:P0:P1:NE
37,132,150,3539/50,P0/P2,false,pair:P0:P2:NE
38,136,621/4,297/4,P0/P2,false,pair:P0:P2:NE
39,141,2164/13,2043/26,P0/P1,false,pair:P0:P1:N
40,145,1516/9,159/2,P0/P1,false,pair:P0:P1:NW
41,149,872/5,811/10,P0/P2,false,pair:P0:P2:NW
42,153,1622/9,1531/18,P1/P2,false,pair:P1:P2:NW
43,156,1636/9,517/6,P1/P2,false,pair:P1:P2:NW
44,164,194,4197/46,P0/P2,false,pair:P0:P2:S
45,168,3354/17,3203/34,P0/P2,false,pair:P0:P2:SW
46,172,3882/19,3777/38,P0/P2,false,pair:P0:P2:N
47,176,3980/19,3733/38,P0/P2,false,pair:P0:P2:NE
48,181,2370/11,203/2,P0/P1,false,pair:P0:P1:E
49,182,10098/47,9589/94,P1/P2,false,pair:P1:P2:NE
50,186,6398/29,5855/58,P0/P1,false,pair:P0:P1:S
51,190,10034/45,9623/90,P0/P1,false,pair:P0:P1:SE
52,194,15734/69,14887/138,P1/P2,false,pair:P1:P2:NE
53,196,26022/113,24731/226,P0/P2,false,pair:P0:P2:E
54,201,33782/145,6431/58,P0/P1,false,pair:P0:P1:SW
55,204,14382/61,13791/122,P1/P2,false,pair:P1:P2:NE
56,206,1658/7,27005/238,P1/P2,false,pair:P1:P2:NE
57,208,7934/33,7451/66,P0/P1,false,pair:P0:P1:SW
58,213,24230/97,22443/194,P0/P1,false,pair:P0:P1:SE
59,216,4278/17,235/2,P1/P2,false,pair:P1:P2:SE
60,219,35198/141,34223/282,P0/P1,false,pair:P0:P1:E
61,221,3782/15,3613/30,P1/P2,false,pair:P1:P2:S
62,224,18758/73,17923/146,P0/P1,false,pair:P0:P1:NE
63,226,19078/73,17923/146,P1/P2,false,pair:P1:P2:E
64,228,16874/63,5063/42,P1/P2,false,pair:P1:P2:E
65,236,3630/13,267/2,P1/P2,false,pair:P1:P2:N
66,242,22802/79,21781/158,P0/P1,false,pair:P0:P1:NE
67,244,65538/227,63713/454,P1/P2,false,pair:P1:P2:NE
68,246,58074/199,55725/398,P0/P1,false,pair:P0:P1:NE
69,255,30178/99,3161/22,P0/P2,false,pair:P0:P2:SE
70,256,17534/57,16387/114,P0/P1,false,pair:P0:P1:S
71,261,23662/77,22735/154,P0/P1,false,pair:P0:P1:W
72,262,69634/227,68065/454,P1/P2,false,pair:P1:P2:NE
73,271,145402/455,19819/130,P0/P1,false,pair:P0:P1:S
74,272,16958/53,48533/318,P1/P2,false,pair:P1:P2:W
75,275,160910/501,51917/334,P0/P2,false,pair:P0:P2:SW
76,280,124346/375,116669/750,P0/P1,false,pair:P0:P1:E
77,285,286966/849,90697/566,P0/P2,false,pair:P0:P2:SW
78,289,47194/135,41453/270,P0/P2,false,pair:P0:P2:W
79,290,132590/389,125847/778,P0/P1,false,pair:P0:P1:SW
80,300,681674/1935,43243/258,P0/P1,false,pair:P0:P1:E
81,302,8082/23,7821/46,P1/P2,false,pair:P1:P2:S
82,307,402826/1135,391781/2270,P0/P1,false,pair:P0:P1:S
83,309,32038/89,394903/2314,P1/P2,false,pair:P1:P2:S
84,310,24758/69,23719/138,P0/P1,false,pair:P0:P1:S
85,318,15922/43,681413/3870,P0/P1,false,pair:P0:P1:W
86,327,739018/1935,701893/3870,P0/P1,false,pair:P0:P1:E
87,332,347158/897,25303/138,P1/P2,false,pair:P1:P2:SW
88,334,40154/103,37645/206,P0/P1,false,pair:P0:P1:SE
89,335,245482/639,80135/426,P1/P2,false,pair:P1:P2:S
90,337,722194/1851,684457/3702,P1/P2,false,pair:P1:P2:S
91,345,226402/563,211793/1126,P0/P1,false,pair:P0:P1:NE
92,348,79706/199,76973/398,P1/P2,false,pair:P1:P2:SE
93,351,327602/811,941291/4866,P0/P2,false,pair:P0:P2:NE
94,354,121522/299,347371/1794,P1/P2,false,pair:P1:P2:SE
95,361,187754/447,59463/298,P0/P2,false,pair:P0:P2:E
96,363,663218/1579,1897963/9474,P0/P2,false,pair:P0:P2:E
97,368,776998/1817,748915/3634,P0/P1,false,pair:P0:P1:W
98,373,874406/2009,841139/4018,P1/P2,false,pair:P1:P2:SW
99,382,579774/1277,545727/2554,P0/P2,false,pair:P0:P2:W
100,384,23266/51,108437/510,P0/P2,false,pair:P0:P2:NW
101,390,5412982/11793,1737993/7862,P0/P1,false,pair:P0:P1:NE
102,391,1879214/4069,1784503/8138,P1/P2,false,pair:P1:P2:NE
103,394,201974/433,189051/866,P0/P1,false,pair:P0:P1:N
104,398,6415062/13729,6111307/27458,P1/P2,false,pair:P1:P2:E
105,404,9096382/19197,2899093/12798,P0/P1,false,pair:P0:P1:SW
