token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,1,1,1/2,P0/P2,true,pair:P0:P2:SE|wall:P1:S
2,2,2,1,P1/P2,false,pair:P1:P2:NW
3,6,7,7/2,P1/P2,false,pair:P1:P2:NW
4,10,12,6,P1/P2,false,pair:P1:P2:NW
5,11,25/2,6,P0/P1,false,pair:P0:P1:W
6,13,27/2,13/2,P1/P2,false,pair:P1:P2:NW
7,17,37/2,9,P1/P2,false,pair:P1:P2:NW
8,21,47/2,23/2,P1/P2,false,pair:P1:P2:NW
9,22,49/2,12,P0/P2,true,pair:P0:P2:SE|wall:P1:S
10,24,53/2,25/2,P1/P2,false,pair:P1:P2:N
11,26,55/2,79/6,P0/P2,false,pair:P0:P2:SE
12,28,59/2,29/2,P1/P2,false,pair:P1:P2:N
13,31,327/10,157/10,P0/P2,false,pair:P0:P2:SE
14,33,477/14,223/14,P1/P2,false,pair:P1:P2:N
15,36,209/6,33/2,P1/P2,false,pair:P1:P2:N
16,38,73/2,17,P0/P2,false,pair:P0:P2:S
17,40,549/14,247/14,P0/P1,false,pair:P0:P1:S
18,46,629/14,279/14,P0/P1,false,pair:P0:P1:S
19,48,95/2,41/2,P0/P1,false,pair:P0:P1:SE
20,49,467/10,221/10,P0/P2,false,pair:P0:P2:W
21,51,95/2,221/10,P0/P1,false,pair:P0:P1:SE
22,54,709/14,311/14,P0/P1,false,pair:P0:P1:S
23,59,785/14,367/14,P1/P2,false,pair:P1:P2:W
24,63,603/10,269/10,P0/P1,false,pair:P0:P1:W
25,67,2151/34,953/34,P0/P1,false,pair:P0:P1:SW
26,68,643/10,1441/50,P1/P2,false,pair:P1:P2:W
27,74,3233/46,1519/46,P1/P2,false,pair:P1:P2:N
28,80,467/6,215/6,P1/P2,false,pair:P1:P2:NW
29,84,1781/22,819/22,P0/P1,false,pair:P0:P1:NE
30,86,2513/30,381/10,P0/P2,false,pair:P0:P2:N
31,93,901/10,421/10,P0/P1,false,pair:P0:P1:NE
32,97,185/2,89/2,P0/P2,false,pair:P0:P2:W
33,98,571/6,785/18,P1/P2,false,pair:P1:P2:SW
34,103,207/2,639/14,P1/P2,false,pair:P1:P2:S
35,106,1051/10,1511/30,P0/P1,false,pair:P0:P1:NW
36,112,12577/110,5839/110,P0/P2,false,pair:P0:P2:W
37,114,2063/18,4789/90,P0/P2,false,pair:P0:P2:W
38,115,9209/78,105/2,P1/P2,false,pair:P1:P2:E
39,117,461/4,111/2,P1/P2,false,pair:P1:P2:NE
40,121,14533/118,6707/118,P0/P1,false,pair:P0:P1:SE
41,125,17501/134,8123/134,P0/P1,false,pair:P0:P1:SE
42,128,9755/74,4589/74,P0/P2,false,pair:P0:P2:N
43,130,797/6,1879/30,P0/P1,false,pair:P0:P1:E
44,131,7907/58,3589/58,P1/P2,false,pair:P1:P2:N
45,134,3603/26,4895/78,P1/P2,false,pair:P1:P2:N
46,139,9503/66,1459/22,P0/P1,false,pair:P0:P1:S
47,140,6043/42,1201/18,P0/P2,false,pair:P0:P2:NE
48,143,18257/126,927/14,P0/P2,false,pair:P0:P2:NE
49,148,9297/62,4343/62,P1/P2,false,pair:P1:P2:NW
50,151,7671/50,717/10,P0/P1,false,pair:P0:P1:N
51,154,11149/70,4891/70,P0/P1,false,pair:P0:P1:W
52,158,13797/86,6435/86,P0/P2,false,pair:P0:P2:SW
53,162,20945/126,1393/18,P0/P1,false,pair:P0:P1:SE
54,164,15761/94,7367/94,P0/P2,false,pair:P0:P2:SW
55,169,4419/26,2229/26,P0/P1,false,pair:P0:P1:SW
56,172,16721/94,7847/94,P1/P2,false,pair:P1:P2:SW
57,173,10531/58,4773/58,P0/P1,false,pair:P0:P1:S
58,177,1099/6,1529/18,P0/P2,false,pair:P0:P2:SW
59,178,1821/10,515/6,P0/P1,false,pair:P0:P1:E
60,181,10703/58,5045/58,P0/P2,false,pair:P0:P2:SW
61,184,4845/26,2317/26,P0/P1,false,pair:P0:P1:E
62,186,33707/178,15857/178,P0/P2,false,pair:P0:P2:SE
63,188,10529/54,4771/54,P0/P1,false,pair:P0:P1:NE
64,194,35627/178,16817/178,P1/P2,false,pair:P1:P2:SE
65,198,23399/114,11105/114,P0/P1,false,pair:P0:P1:NW
66,202,2083/10,5089/50,P0/P2,false,pair:P0:P2:W
67,206,4801/22,2227/22,P0/P1,false,pair:P0:P1:W
68,207,15237/70,1423/14,P1/P2,false,pair:P1:P2:SW
69,208,2609/12,611/6,P0/P1,false,pair:P0:P1:W
70,212,4899/22,6905/66,P0/P1,false,pair:P0:P1:N
71,214,13829/62,6599/62,P0/P2,false,pair:P0:P2:NW
72,217,6893/30,3167/30,P1/P2,false,pair:P1:P2:W
73,220,7009/30,3247/30,P0/P2,false,pair:P0:P2:NE
74,222,9763/42,4633/42,P0/P1,false,pair:P0:P1:S
75,230,18841/78,2961/26,P0/P2,false,pair:P0:P2:SE
76,233,29779/122,14065/122,P0/P1,false,pair:P0:P1:E
77,236,29317/118,13743/118,P1/P2,false,pair:P1:P2:SE
78,238,1529/6,227/2,P0/P2,false,pair:P0:P2:SE
79,240,10475/42,1643/14,P0/P2,false,pair:P0:P2:SE
80,241,32471/130,15233/130,P0/P1,false,pair:P0:P1:N
81,242,5499/22,1288/11,P0/P2,false,pair:P0:P2:SE
82,246,62213/246,29215/246,P0/P2,false,pair:P0:P2:S
83,247,22859/90,6379/54,P0/P1,false,pair:P0:P1:N
84,248,1591/6,335/3,P0/P2,false,pair:P0:P2:S
85,250,31339/122,14389/122,P0/P2,false,pair:P0:P2:SW
86,255,73037/278,33587/278,P1/P2,false,pair:P1:P2:W
87,258,44087/162,19849/162,P0/P1,false,pair:P0:P1:NW
88,262,25609/94,11799/94,P0/P1,false,pair:P0:P1:NW
89,266,23753/86,11133/86,P0/P1,false,pair:P0:P1:NE
90,270,16291/58,7577/58,P0/P2,false,pair:P0:P2:NW
91,273,148835/522,7637/58,P1/P2,false,pair:P1:P2:N
92,276,77617/270,36047/270,P0/P2,false,pair:P0:P2:E
93,277,167861/582,77803/582,P0/P1,false,pair:P0:P1:S
94,281,237971/810,110189/810,P0/P2,false,pair:P0:P2:E
