token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,4,9/2,2,P0/P2,false,pair:P0:P2:E
2,5,6,5/2,P1/P2,true,pair:P1:P2:N|wall:P0:W
3,8,17/2,4,P1/P2,false,pair:P1:P2:NE
4,9,10,9/2,P0/P2,false,pair:P0:P2:SE
5,15,49/3,15/2,P0/P1,false,pair:P0:P1:W
6,19,21,19/2,P0/P2,false,pair:P0:P2:SW
7,21,23,61/6,P1/P2,false,pair:P1:P2:S
8,26,275/9,85/6,P0/P2,false,pair:P0:P2:NE
9,29,33,16,P0/P1,false,pair:P0:P1:SE
10,32,35,163/10,P0/P1,false,pair:P0:P1:SE
11,34,75/2,35/2,P0/P2,false,pair:P0:P2:NW
12,38,40,115/6,P1/P2,false,pair:P1:P2:NW
13,41,47,219/10,P1/P2,false,pair:P1:P2:N
14,45,47,501/22,P1/P2,false,pair:P1:P2:N
15,47,439/9,415/18,P0/P1,false,pair:P0:P1:W
16,50,577/11,549/22,P0/P1,false,pair:P0:P1:SW
17,51,707/13,667/26,P0/P2,false,pair:P0:P2:NW
18,58,123/2,29,P0/P2,false,pair:P0:P2:NW
19,60,311/5,59/2,P0/P1,false,pair:P0:P1:SE
20,63,63,795/26,P0/P2,false,pair:P0:P2:NE
21,67,875/13,843/26,P0/P1,false,pair:P0:P1:SE
22,68,915/13,875/26,P0/P2,false,pair:P0:P2:NE
23,73,367/5,351/10,P0/P1,false,pair:P0:P1:SE
24,77,411/5,371/10,P0/P2,false,pair:P0:P2:S
25,80,83,79/2,P0/P1,false,pair:P0:P1:N
26,83,253/3,577/14,P0/P1,false,pair:P0:P1:NW
27,91,99,459/10,P0/P1,false,pair:P0:P1:S
28,94,1695/17,1607/34,P1/P2,false,pair:P1:P2:E
29,98,723/7,701/14,P0/P2,false,pair:P0:P2:E
30,100,967/9,911/18,P1/P2,false,pair:P1:P2:N
31,104,3821/35,737/14,P0/P2,false,pair:P0:P2:SE
32,106,111,2449/46,P1/P2,false,pair:P1:P2:N
33,107,2149/19,2053/38,P0/P1,false,pair:P0:P1:SE
