token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,2,2,1,P0/P2,false,pair:P0:P2:NE
2,3,5/2,1,P0/P1,false,pair:P0:P1:S
3,5,7/2,3/2,P0/P2,false,pair:P0:P2:NE
4,9,17/2,4,P0/P2,false,pair:P0:P2:NE
5,13,27/2,13/2,P0/P2,false,pair:P0:P2:NE
6,14,29/2,7,P1/P2,true,pair:P1:P2:SW|wall:P0:W
7,16,33/2,15/2,P0/P2,false,pair:P0:P2:E
8,18,35/2,49/6,P1/P2,false,pair:P1:P2:SW
9,20,39/2,19/2,P0/P2,false,pair:P0:P2:E
10,23,227/10,107/10,P1/P2,false,pair:P1:P2:SW
11,25,337/14,153/14,P0/P2,false,pair:P0:P2:E
12,28,149/6,23/2,P0/P2,false,pair:P0:P2:E
13,30,53/2,12,P1/P2,false,pair:P1:P2:W
14,32,409/14,177/14,P0/P1,false,pair:P0:P1:E
15,38,489/14,209/14,P0/P1,false,pair:P0:P1:E
16,40,75/2,31/2,P0/P1,false,pair:P0:P1:NE
17,41,367/10,171/10,P1/P2,false,pair:P1:P2:N
18,43,75/2,171/10,P0/P1,false,pair:P0:P1:NE
19,46,569/14,241/14,P0/P1,false,pair:P0:P1:E
20,51,645/14,297/14,P0/P2,false,pair:P0:P2:N
21,55,503/10,219/10,P0/P1,false,pair:P0:P1:S
22,59,1811/34,783/34,P0/P1,false,pair:P0:P1:SE
23,60,543/10,1191/50,P0/P2,false,pair:P0:P2:N
24,66,2773/46,1289/46,P0/P2,false,pair:P0:P2:E
25,72,407/6,185/6,P0/P2,false,pair:P0:P2:NE
26,76,1561/22,709/22,P0/P1,false,pair:P0:P1:NW
27,78,2213/30,331/10,P1/P2,false,pair:P1:P2:E
28,85,801/10,371/10,P0/P1,false,pair:P0:P1:NW
29,89,165/2,79/2,P1/P2,false,pair:P1:P2:N
30,90,511/6,695/18,P0/P2,false,pair:P0:P2:NW
31,95,187/2,569/14,P0/P2,false,pair:P0:P2:W
32,98,951/10,1361/30,P0/P1,false,pair:P0:P1:SW
33,104,11477/110,5289/110,P1/P2,false,pair:P1:P2:N
34,106,1883/18,4339/90,P1/P2,false,pair:P1:P2:N
35,107,8429/78,95/2,P0/P2,false,pair:P0:P2:S
36,109,421/4,101/2,P0/P2,false,pair:P0:P2:SE
37,113,13353/118,6117/118,P0/P1,false,pair:P0:P1:NE
38,117,16161/134,7453/134,P0/P1,false,pair:P0:P1:NE
39,120,9015/74,4219/74,P1/P2,false,pair:P1:P2:E
40,122,737/6,1729/30,P0/P1,false,pair:P0:P1:N
41,123,7327/58,3299/58,P0/P2,false,pair:P0:P2:E
42,126,3343/26,4505/78,P0/P2,false,pair:P0:P2:E
43,131,8843/66,1349/22,P0/P1,false,pair:P0:P1:E
44,132,5623/42,1111/18,P1/P2,false,pair:P1:P2:SE
45,135,16997/126,857/14,P1/P2,false,pair:P1:P2:SE
46,140,8677/62,4033/62,P0/P2,false,pair:P0:P2:NE
47,143,7171/50,667/10,P0/P1,false,pair:P0:P1:W
48,146,10449/70,4541/70,P0/P1,false,pair:P0:P1:S
49,150,12937/86,6005/86,P1/P2,false,pair:P1:P2:NW
50,154,19685/126,1303/18,P0/P1,false,pair:P0:P1:NE
51,156,14821/94,6897/94,P1/P2,false,pair:P1:P2:NW
52,161,4159/26,2099/26,P0/P1,false,pair:P0:P1:SE
53,164,15781/94,7377/94,P0/P2,false,pair:P0:P2:NW
54,165,9951/58,4483/58,P0/P1,false,pair:P0:P1:E
55,169,1039/6,1439/18,P1/P2,false,pair:P1:P2:NW
56,170,1721/10,485/6,P0/P1,false,pair:P0:P1:N
57,173,10123/58,4755/58,P1/P2,false,pair:P1:P2:NW
58,176,4585/26,2187/26,P0/P1,false,pair:P0:P1:N
59,178,31927/178,14967/178,P1/P2,false,pair:P1:P2:SW
60,180,9989/54,4501/54,P0/P1,false,pair:P0:P1:NW
61,186,33847/178,15927/178,P0/P2,false,pair:P0:P2:SW
62,190,22259/114,10535/114,P0/P1,false,pair:P0:P1:SW
63,194,1983/10,4839/50,P1/P2,false,pair:P1:P2:N
64,198,4581/22,2117/22,P0/P1,false,pair:P0:P1:S
65,199,14537/70,1353/14,P0/P2,false,pair:P0:P2:NW
66,200,2489/12,581/6,P0/P1,false,pair:P0:P1:S
67,204,4679/22,6575/66,P0/P1,false,pair:P0:P1:W
68,206,13209/62,6289/62,P1/P2,false,pair:P1:P2:NE
69,209,6593/30,3017/30,P0/P2,false,pair:P0:P2:N
