token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,3,4,2,P1/P2,false,pair:P1:P2:NE
2,4,9/2,2,P0/P2,false,pair:P0:P2:S
3,6,11/2,5/2,P1/P2,false,pair:P1:P2:NE
4,10,21/2,5,P1/P2,false,pair:P1:P2:NE
5,14,31/2,15/2,P1/P2,false,pair:P1:P2:NE
6,15,33/2,8,P0/P1,true,pair:P0:P1:NE|wall:P2:E
7,17,37/2,17/2,P1/P2,false,pair:P1:P2:E
8,19,39/2,55/6,P0/P1,false,pair:P0:P1:NE
9,21,43/2,21/2,P1/P2,false,pair:P1:P2:E
10,24,247/10,117/10,P0/P1,false,pair:P0:P1:NE
11,26,365/14,167/14,P1/P2,false,pair:P1:P2:E
12,29,161/6,25/2,P1/P2,false,pair:P1:P2:E
13,31,57/2,13,P0/P1,false,pair:P0:P1:E
14,33,437/14,191/14,P0/P2,false,pair:P0:P2:E
15,39,517/14,223/14,P0/P2,false,pair:P0:P2:E
16,41,79/2,33/2,P0/P2,false,pair:P0:P2:NE
17,42,387/10,181/10,P0/P1,false,pair:P0:P1:S
18,44,79/2,181/10,P0/P2,false,pair:P0:P2:NE
19,47,597/14,255/14,P0/P2,false,pair:P0:P2:E
20,52,673/14,311/14,P1/P2,false,pair:P1:P2:N
21,56,523/10,229/10,P0/P2,false,pair:P0:P2:S
22,60,1879/34,817/34,P0/P2,false,pair:P0:P2:SE
23,61,563/10,1241/50,P1/P2,false,pair:P1:P2:N
24,67,2865/46,1335/46,P1/P2,false,pair:P1:P2:E
25,73,419/6,191/6,P1/P2,false,pair:P1:P2:NE
26,77,1605/22,731/22,P0/P2,false,pair:P0:P2:NW
27,79,2273/30,341/10,P0/P1,false,pair:P0:P1:W
28,86,821/10,381/10,P0/P2,false,pair:P0:P2:NW
29,90,169/2,81/2,P0/P1,false,pair:P0:P1:S
30,91,523/6,713/18,P1/P2,false,pair:P1:P2:NW
31,96,191/2,583/14,P1/P2,false,pair:P1:P2:W
32,99,971/10,1391/30,P0/P2,false,pair:P0:P2:SW
33,105,11697/110,5399/110,P0/P1,false,pair:P0:P1:S
34,107,1919/18,4429/90,P0/P1,false,pair:P0:P1:S
35,108,8585/78,97/2,P1/P2,false,pair:P1:P2:S
36,110,429/4,103/2,P1/P2,false,pair:P1:P2:SE
37,114,13589/118,6235/118,P0/P2,false,pair:P0:P2:NE
38,118,16429/134,7587/134,P0/P2,false,pair:P0:P2:NE
39,121,9163/74,4293/74,P0/P1,false,pair:P0:P1:W
40,123,749/6,1759/30,P0/P2,false,pair:P0:P2:N
41,124,7443/58,3357/58,P1/P2,false,pair:P1:P2:E
42,127,3395/26,4583/78,P1/P2,false,pair:P1:P2:E
43,132,8975/66,1371/22,P0/P2,false,pair:P0:P2:E
44,133,5707/42,1129/18,P0/P1,false,pair:P0:P1:NW
45,136,17249/126,871/14,P0/P1,false,pair:P0:P1:NW
46,141,8801/62,4095/62,P1/P2,false,pair:P1:P2:NE
47,144,7271/50,677/10,P0/P2,false,pair:P0:P2:W
48,147,10589/70,4611/70,P0/P2,false,pair:P0:P2:S
49,151,13109/86,6091/86,P0/P1,false,pair:P0:P1:SE
50,155,19937/126,1321/18,P0/P2,false,pair:P0:P2:NE
51,157,15009/94,6991/94,P0/P1,false,pair:P0:P1:SE
52,162,4211/26,2125/26,P0/P2,false,pair:P0:P2:SE
53,165,15969/94,7471/94,P1/P2,false,pair:P1:P2:NW
54,166,10067/58,4541/58,P0/P2,false,pair:P0:P2:E
55,170,1051/6,1457/18,P0/P1,false,pair:P0:P1:SE
56,171,1741/10,491/6,P0/P2,false,pair:P0:P2:N
