token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,2,3/2,1/2,P0/P1,false,pair:P0:P1:N
2,4,4,3/2,P0/P2,false,pair:P0:P2:E
3,7,20/3,17/6,P0/P1,false,pair:P0:P1:NE
4,11,12,11/2,P0/P2,false,pair:P0:P2:E
5,18,114/5,107/10,P1/P2,false,pair:P1:P2:SE
6,20,126/5,23/2,P0/P1,false,pair:P0:P1:S
7,24,30,85/6,P0/P2,false,pair:P0:P2:E
8,26,98/3,89/6,P1/P2,false,pair:P1:P2:NW
9,29,34,95/6,P0/P2,false,pair:P0:P2:E
10,33,250/7,229/14,P1/P2,false,pair:P1:P2:W
11,34,258/7,233/14,P0/P2,false,pair:P0:P2:E
12,37,118/3,103/6,P1/P2,false,pair:P1:P2:W
13,39,40,109/6,P0/P2,false,pair:P0:P2:SE
14,41,128/3,113/6,P1/P2,false,pair:P1:P2:W
15,42,175/4,20,P0/P1,false,pair:P0:P1:SE
16,45,324/7,43/2,P0/P2,false,pair:P0:P2:SW
17,48,52,39/2,P0/P2,false,pair:P0:P2:SW
18,50,49,137/6,P0/P1,false,pair:P0:P1:SE
19,51,40,59/2,P0/P2,false,pair:P0:P2:SW
20,53,52,47/2,P0/P2,false,pair:P0:P2:S
21,55,158/3,143/6,P1/P2,false,pair:P1:P2:N
22,57,107/2,26,P1/P2,false,pair:P1:P2:NE
23,58,397/7,49/2,P0/P1,false,pair:P0:P1:S
24,67,200/3,179/6,P0/P2,false,pair:P0:P2:N
25,71,485/7,459/14,P1/P2,false,pair:P1:P2:NW
26,80,259/3,227/6,P0/P1,false,pair:P0:P1:W
27,82,89,81/2,P1/P2,false,pair:P1:P2:NW
28,87,95,599/14,P1/P2,false,pair:P1:P2:W
29,94,1567/15,1391/30,P0/P2,false,pair:P0:P2:W
30,97,1171/11,1083/22,P0/P2,false,pair:P0:P2:W
31,103,2157/19,2007/38,P0/P2,false,pair:P0:P2:SW
32,106,1889/16,873/16,P0/P1,false,pair:P0:P1:W
33,113,1969/16,905/16,P0/P1,false,pair:P0:P1:W
34,116,1403/11,113/2,P1/P2,false,pair:P1:P2:SE
35,117,2155/17,1997/34,P0/P2,false,pair:P0:P2:W
36,122,649/5,371/6,P0/P1,false,pair:P0:P1:NW
37,123,659/5,609/10,P0/P2,false,pair:P0:P2:SW
38,129,2335/17,2157/34,P1/P2,false,pair:P1:P2:SE
39,132,1237/9,403/6,P0/P1,false,pair:P0:P1:SW
40,134,2427/17,2253/34,P1/P2,false,pair:P1:P2:E
41,141,1673/11,1575/22,P1/P2,false,pair:P1:P2:NW
42,143,2297/15,2131/30,P1/P2,false,pair:P1:P2:NW
43,144,2269/15,729/10,P0/P1,false,pair:P0:P1:N
44,146,2905/19,2815/38,P1/P2,false,pair:P1:P2:NW
45,148,7795/49,7093/98,P0/P2,false,pair:P0:P2:N
46,152,12693/79,11803/158,P0/P1,false,pair:P0:P1:SE
47,157,5507/33,5285/66,P0/P1,false,pair:P0:P1:SE
48,159,2319/13,1873/26,P0/P1,false,pair:P0:P1:SE
49,160,1913/11,1703/22,P0/P2,false,pair:P0:P2:W
50,165,8591/49,8045/98,P1/P2,false,pair:P1:P2:NE
51,167,2999/17,2829/34,P0/P2,false,pair:P0:P2:SW
52,174,1301/7,1219/14,P0/P1,false,pair:P0:P1:NE
53,176,3183/17,2957/34,P1/P2,false,pair:P1:P2:SE
54,178,763/4,341/4,P0/P2,false,pair:P0:P2:NE
55,181,755/4,1075/12,P0/P2,false,pair:P0:P2:N
56,182,13573/71,12579/142,P1/P2,false,pair:P1:P2:S
57,184,1715/9,4919/54,P1/P2,false,pair:P1:P2:S
58,186,3135/16,1447/16,P1/P2,false,pair:P1:P2:SW
59,188,2581/13,2333/26,P0/P1,false,pair:P0:P1:NW
60,194,4023/20,1877/20,P1/P2,false,pair:P1:P2:S
61,201,1685/8,2411/24,P0/P2,false,pair:P0:P2:SE
62,205,10643/49,9845/98,P0/P2,false,pair:P0:P2:E
63,206,3827/18,937/9,P1/P2,false,pair:P1:P2:N
64,211,22733/102,313/3,P0/P2,false,pair:P0:P2:NE
65,216,8822/39,2759/26,P1/P2,false,pair:P1:P2:NE
66,217,14035/61,12905/122,P0/P1,false,pair:P0:P1:SE
67,219,9274/41,8955/82,P0/P1,false,pair:P0:P1:SE
68,225,239,221/2,P1/P2,false,pair:P1:P2:SE
69,228,15761/65,14401/130,P0/P2,false,pair:P0:P2:E
70,233,3983/16,1807/16,P1/P2,false,pair:P1:P2:N
71,234,13961/57,13273/114,P0/P2,false,pair:P0:P2:SE
72,237,10176/41,9687/82,P1/P2,false,pair:P1:P2:W
73,240,1726/7,1717/14,P0/P1,false,pair:P0:P1:S
74,244,12507/49,11685/98,P0/P2,false,pair:P0:P2:W
75,246,1789/7,11845/98,P0/P1,false,pair:P0:P1:SE
76,248,9063/35,8459/70,P0/P2,false,pair:P0:P2:W
77,251,4960/19,4637/38,P0/P2,false,pair:P0:P2:SW
78,253,3462/13,3119/26,P1/P2,false,pair:P1:P2:NW
79,254,13073/50,3096/25,P0/P2,false,pair:P0:P2:S
80,259,13393/50,632/5,P0/P2,false,pair:P0:P2:S
81,261,9677/36,4531/36,P0/P2,false,pair:P0:P2:S
82,262,7307/27,755/6,P1/P2,false,pair:P1:P2:W
83,265,16122/59,15129/118,P0/P1,false,pair:P0:P1:SE
84,269,2506/9,2347/18,P0/P2,false,pair:P0:P2:W
85,279,4918/17,4795/34,P0/P2,false,pair:P0:P2:W
86,281,17466/59,16409/118,P0/P1,false,pair:P0:P1:SE
87,282,6274/21,5807/42,P0/P2,false,pair:P0:P2:W
88,286,10861/36,5107/36,P0/P2,false,pair:P0:P2:S
89,288,4847/16,2335/16,P0/P1,false,pair:P0:P1:SW
90,291,2777/9,2585/18,P0/P1,false,pair:P0:P1:W
91,297,14746/47,14021/94,P0/P1,false,pair:P0:P1:S
92,299,23657/75,7453/50,P0/P2,false,pair:P0:P2:NW
93,303,18810/59,17689/118,P0/P1,false,pair:P0:P1:SE
94,304,23589/74,5556/37,P0/P2,false,pair:P0:P2:NW
95,308,30584/95,29073/190,P0/P1,false,pair:P0:P1:E
96,313,31224/95,5917/38,P0/P1,false,pair:P0:P1:E
97,318,4707/14,5522/35,P1/P2,false,pair:P1:P2:NE
98,319,25193/75,23767/150,P0/P1,false,pair:P0:P1:NW
