token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,3,7/2,3/2,P1/P2,false,pair:P1:P2:N
2,5,7,3,P0/P2,false,pair:P0:P2:E
3,7,25/3,11/3,P1/P2,false,pair:P1:P2:NE
4,9,11,5,P0/P2,false,pair:P0:P2:E
5,15,21,9,P0/P1,false,pair:P0:P1:S
6,18,25,59/5,P0/P1,false,pair:P0:P1:SE
7,20,27,37/3,P1/P2,false,pair:P1:P2:SE
8,27,159/5,15,P0/P1,false,pair:P0:P1:S
9,28,227/7,15,P1/P2,false,pair:P1:P2:E
10,34,435/11,205/11,P0/P1,false,pair:P0:P1:SW
11,38,549/13,259/13,P1/P2,false,pair:P1:P2:W
12,40,577/13,259/13,P0/P1,false,pair:P0:P1:W
13,45,563/11,245/11,P0/P1,false,pair:P0:P1:SW
14,50,54,77/3,P0/P1,false,pair:P0:P1:S
15,53,737/13,331/13,P0/P1,false,pair:P0:P1:S
16,55,871/15,139/5,P0/P2,false,pair:P0:P2:E
17,56,182/3,85/3,P0/P1,false,pair:P0:P1:S
18,59,817/13,363/13,P0/P1,false,pair:P0:P1:S
19,63,763/11,353/11,P0/P2,false,pair:P0:P2:NE
20,67,527/7,715/21,P0/P2,false,pair:P0:P2:N
21,70,1151/15,521/15,P0/P1,false,pair:P0:P1:SE
22,73,867/11,421/11,P1/P2,false,pair:P1:P2:N
23,78,1417/17,639/17,P1/P2,false,pair:P1:P2:N
24,79,85,39,P0/P1,false,pair:P0:P1:NE
25,84,265/3,121/3,P0/P1,false,pair:P0:P1:NE
26,85,995/11,453/11,P1/P2,false,pair:P1:P2:NW
27,88,2839/31,1313/31,P1/P2,false,pair:P1:P2:W
28,92,3145/33,1439/33,P0/P2,false,pair:P0:P2:NW
29,95,299/3,407/9,P1/P2,false,pair:P1:P2:NW
30,99,105,533/11,P0/P2,false,pair:P0:P2:NE
31,101,3319/31,1537/31,P1/P2,false,pair:P1:P2:N
32,106,1227/11,557/11,P0/P2,false,pair:P0:P2:N
33,110,2235/19,1021/19,P1/P2,false,pair:P1:P2:W
34,111,3655/31,1681/31,P0/P1,false,pair:P0:P1:N
35,115,1371/11,55,P1/P2,false,pair:P1:P2:S
36,120,621/5,63,P0/P1,false,pair:P0:P1:NW
37,123,659/5,309/5,P0/P1,false,pair:P0:P1:N
38,127,1499/11,701/11,P1/P2,false,pair:P1:P2:SW
39,130,9339/67,4317/67,P1/P2,false,pair:P1:P2:S
40,133,2425/17,1167/17,P0/P2,false,pair:P0:P2:W
41,140,3229/21,505/7,P0/P1,false,pair:P0:P1:W
42,143,2713/17,1263/17,P1/P2,false,pair:P1:P2:E
43,144,159,75,P0/P2,false,pair:P0:P2:N
44,147,169,505/7,P0/P2,false,pair:P0:P2:NE
45,150,3517/21,537/7,P0/P2,false,pair:P0:P2:E
46,152,12529/73,5751/73,P0/P1,false,pair:P0:P1:S
47,154,1553/9,727/9,P0/P1,false,pair:P0:P1:SE
48,156,2261/13,1043/13,P0/P1,false,pair:P0:P1:SE
49,160,13169/73,6007/73,P0/P1,false,pair:P0:P1:S
50,161,541/3,83,P0/P2,false,pair:P0:P2:E
51,163,3757/21,253/3,P0/P2,false,pair:P0:P2:E
52,169,23959/127,11201/127,P0/P1,false,pair:P0:P1:E
53,173,26545/137,12343/137,P0/P2,false,pair:P0:P2:NE
54,175,8323/43,3925/43,P0/P1,false,pair:P0:P1:SE
55,177,27605/141,12851/141,P0/P2,false,pair:P0:P2:NE
56,180,4213/21,1963/21,P0/P1,false,pair:P0:P1:SE
57,183,11119/55,5193/55,P0/P1,false,pair:P0:P1:SE
58,191,22527/103,10457/103,P0/P2,false,pair:P0:P2:N
59,194,21385/97,10015/97,P0/P2,false,pair:P0:P2:N
60,196,10905/49,729/7,P0/P1,false,pair:P0:P1:N
61,197,223,105,P1/P2,false,pair:P1:P2:E
62,202,5761/25,13507/125,P1/P2,false,pair:P1:P2:NE
63,207,9745/41,13637/123,P0/P2,false,pair:P0:P2:N
64,211,23433/97,10911/97,P0/P1,false,pair:P0:P1:N
65,215,10129/41,14021/123,P1/P2,false,pair:P1:P2:S
66,217,84719/343,5647/49,P0/P2,false,pair:P0:P2:NW
67,221,80617/321,12629/107,P0/P1,false,pair:P0:P1:NE
68,224,87023/343,40681/343,P1/P2,false,pair:P1:P2:SW
69,226,2819/11,6601/55,P0/P2,false,pair:P0:P2:N
70,228,47119/183,21961/183,P0/P2,false,pair:P0:P2:N
71,231,1835/7,841/7,P1/P2,false,pair:P1:P2:S
72,235,15265/57,2285/19,P0/P2,false,pair:P0:P2:N
73,239,19039/71,127,P0/P2,false,pair:P0:P2:N
74,244,93935/343,6287/49,P1/P2,false,pair:P1:P2:SE
75,248,127025/457,58743/457,P0/P2,false,pair:P0:P2:N
76,250,18619/67,25975/201,P0/P2,false,pair:P0:P2:N
77,251,19807/71,9209/71,P1/P2,false,pair:P1:P2:SW
78,254,1983/7,2795/21,P1/P2,false,pair:P1:P2:W
79,256,9883/35,14167/105,P1/P2,false,pair:P1:P2:SW
80,259,26693/93,12547/93,P0/P1,false,pair:P0:P1:E
81,263,9015/31,29415/217,P1/P2,false,pair:P1:P2:S
82,267,19691/67,9245/67,P0/P1,false,pair:P0:P1:NE
83,269,81821/277,38251/277,P0/P2,false,pair:P0:P2:SW
84,274,21969/73,10263/73,P1/P2,false,pair:P1:P2:SW
85,275,6943/23,9659/69,P0/P2,false,pair:P0:P2:N
86,284,120763/387,56573/387,P1/P2,false,pair:P1:P2:N
87,285,209719/671,98017/671,P0/P2,false,pair:P0:P2:SW
88,289,9919/31,4513/31,P0/P2,false,pair:P0:P2:W
89,292,10553/33,14813/99,P0/P1,false,pair:P0:P1:SW
90,294,322,149,P0/P2,false,pair:P0:P2:NE
91,297,11821/37,5787/37,P0/P2,false,pair:P0:P2:E
92,299,43999/135,103133/675,P1/P2,false,pair:P1:P2:S
93,304,301397/909,140531/909,P0/P1,false,pair:P0:P1:E
94,308,225801/673,104671/673,P0/P2,false,pair:P0:P2:SE
95,311,324977/969,152503/969,P1/P2,false,pair:P1:P2:W
96,312,15157/45,3307/21,P0/P2,false,pair:P0:P2:E
97,315,248869/733,116131/733,P1/P2,false,pair:P1:P2:W
98,318,12717/37,136237/851,P0/P1,false,pair:P0:P1:NE
99,320,68045/197,31419/197,P0/P1,false,pair:P0:P1:NE
100,321,501923/1451,232917/1451,P0/P2,false,pair:P0:P2:W
101,324,118585/337,54831/337,P0/P2,false,pair:P0:P2:NW
102,326,192959/551,90585/551,P1/P2,false,pair:P1:P2:S
103,328,35381/101,16619/101,P0/P2,false,pair:P0:P2:NW
104,331,164057/465,15203/93,P0/P2,false,pair:P0:P2:NW
105,333,56311/159,8651/53,P1/P2,false,pair:P1:P2:S
106,340,24475/67,102757/603,P0/P2,false,pair:P0:P2:SE
