token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,2,5/2,1,P0/P1,false,pair:P0:P1:N
2,3,4,3/2,P1/P2,false,pair:P1:P2:E
3,6,22/3,19/6,P0/P1,false,pair:P0:P1:NW
4,9,14,13/2,P1/P2,true,pair:P1:P2:E|wall:P0:W
5,13,24,67/6,P0/P2,false,pair:P0:P2:SE
6,15,24,23/2,P0/P2,true,pair:P0:P2:SE|wall:P1:S
7,18,86/3,83/6,P0/P2,false,pair:P0:P2:SE
8,19,148/5,137/10,P0/P1,false,pair:P0:P1:W
9,22,33,31/2,P0/P1,false,pair:P0:P1:SW
10,25,100/3,33/2,P0/P1,false,pair:P0:P1:SW
11,28,432/11,415/22,P0/P2,false,pair:P0:P2:SW
12,32,212/5,209/10,P1/P2,false,pair:P1:P2:W
13,34,177/4,21,P0/P2,false,pair:P0:P2:S
14,39,148/3,691/30,P0/P2,false,pair:P0:P2:SW
15,42,916/17,877/34,P0/P2,false,pair:P0:P2:SW
16,44,592/11,575/22,P1/P2,false,pair:P1:P2:SE
17,45,60,45/2,P0/P2,false,pair:P0:P2:SW
18,47,60,167/6,P1/P2,false,pair:P1:P2:NE
19,51,371/6,173/6,P0/P2,false,pair:P0:P2:S
20,53,193/3,179/6,P1/P2,false,pair:P1:P2:NE
21,58,1916/29,1849/58,P1/P2,false,pair:P1:P2:E
22,60,629/9,577/18,P0/P2,false,pair:P0:P2:S
23,62,631/9,211/6,P1/P2,false,pair:P1:P2:SE
24,64,664/9,199/6,P1/P2,false,pair:P1:P2:SE
25,66,281/4,36,P1/P2,false,pair:P1:P2:SE
26,71,3316/41,3125/82,P0/P1,false,pair:P0:P1:SW
27,73,1434/17,1349/34,P0/P2,false,pair:P0:P2:SW
28,76,2124/25,2053/50,P1/P2,false,pair:P1:P2:NW
29,77,2476/29,2377/58,P0/P2,false,pair:P0:P2:S
30,80,687/8,165/4,P1/P2,false,pair:P1:P2:NW
31,85,1180/13,1125/26,P0/P1,false,pair:P0:P1:S
