token_index,batch,time_a,time_b,pair,mixed_with_wall,events
1,1,1/2,0,P0/P1,false,pair:P0:P1:N
2,4,11/2,2,P0/P1,false,pair:P0:P1:N
3,8,21/2,4,P0/P1,false,pair:P0:P1:N
4,9,12,4,P1/P2,false,pair:P1:P2:N
5,13,14,5,P1/P2,false,pair:P1:P2:N
6,14,29/2,5,P0/P1,false,pair:P0:P1:N
7,18,39/2,7,P0/P1,false,pair:P0:P1:N
8,21,21,10,P1/P2,false,pair:P1:P2:W
9,23,71/3,29/3,P0/P1,false,pair:P0:P1:NE
10,25,29,9,P1/P2,false,pair:P1:P2:W
11,31,35,15,P0/P2,false,pair:P0:P2:N
12,35,203/5,87/5,P0/P2,false,pair:P0:P2:NW
13,37,127/3,55/3,P0/P1,false,pair:P0:P1:SE
14,44,145/3,61/3,P0/P2,false,pair:P0:P2:NE
15,45,239/5,21,P1/P2,false,pair:P1:P2:NW
16,50,163/3,73/3,P0/P2,false,pair:P0:P2:NE
17,55,175/3,80/3,P1/P2,false,pair:P1:P2:S
18,58,61,111/4,P0/P2,false,pair:P0:P2:SE
19,61,63,29,P0/P1,false,pair:P0:P1:SE
20,68,299/4,271/8,P0/P1,false,pair:P0:P1:W
21,74,85,79/2,P0/P1,false,pair:P0:P1:SE
22,77,260/3,245/6,P0/P2,false,pair:P0:P2:S
23,79,90,247/6,P0/P2,false,pair:P0:P2:S
24,82,187/2,45,P0/P1,false,pair:P0:P1:SE
25,86,201/2,179/4,P0/P2,false,pair:P0:P2:NW
26,89,613/6,563/12,P0/P1,false,pair:P0:P1:N
27,91,205/2,577/12,P0/P1,false,pair:P0:P1:N
28,92,415/4,383/8,P1/P2,false,pair:P1:P2:NW
29,95,429/4,405/8,P0/P2,false,pair:P0:P2:NW
30,102,223/2,631/12,P0/P1,false,pair:P0:P1:N
31,104,1149/10,211/4,P0/P2,false,pair:P0:P2:SW
32,105,1147/10,1081/20,P0/P1,false,pair:P0:P1:NE
33,108,353/3,109/2,P0/P2,false,pair:P0:P2:SW
34,112,483/4,447/8,P0/P1,false,pair:P0:P1:NE
35,114,1219/10,1153/20,P1/P2,false,pair:P1:P2:SW
36,117,251/2,60,P0/P1,false,pair:P0:P1:SE
37,121,386/3,121/2,P1/P2,false,pair:P1:P2:S
38,125,133,58,P1/P2,false,pair:P1:P2:S
39,126,132,239/4,P0/P1,false,pair:P0:P1:SW
40,128,261/2,251/4,P1/P2,false,pair:P1:P2:SE
41,130,1339/10,1273/20,P0/P2,false,pair:P0:P2:SW
42,133,143,61,P0/P1,false,pair:P0:P1:W
43,134,148,121/2,P1/P2,false,pair:P1:P2:SW
