# REPHEX current computed pattern
# axiom=F level=5 cells=15841
# source=F: F@e; F -> F + {B_i@g_i : i=0..5}
# q r state orientation colour_index dark_cap leaf_tag
0 -88 B 1 1 0 N
1 -88 G 2 3 0 N
4 -88 C 2 1 1 N
12 -88 C 2 1 1 N
33 -88 C 2 1 1 N
88 -88 B 2 1 0 N
0 -87 1 1 0 0 N
1 -87 G 3 2 0 N
2 -87 G 1 4 0 N
3 -87 1 2 0 0 N
4 -87 G 3 3 0 N
10 -87 G 1 4 0 N
11 -87 1 2 0 0 N
12 -87 G 3 3 0 N
31 -87 G 1 4 0 N
32 -87 1 2 0 0 N
33 -87 G 3 3 0 N
86 -87 G 1 4 0 N
87 -87 1 2 0 0 N
88 -87 G 3 3 0 N
-1 -86 G 0 4 0 N
0 -86 0 1 0 0 N
1 -86 G 0 5 0 N
2 -86 0 2 0 0 N
3 -86 G 4 2 0 N
9 -86 G 0 5 0 N
10 -86 0 2 0 0 N
11 -86 G 4 2 0 N
30 -86 G 0 5 0 N
31 -86 0 2 0 0 N
32 -86 G 4 2 0 N
85 -86 G 0 5 0 N
86 -86 0 2 0 0 N
87 -86 G 4 2 0 N
-1 -85 G 5 5 0 N
0 -85 B 1 2 0 N
1 -85 B 2 6 0 N
2 -85 G 1 5 0 N
3 -85 G 2 4 0 N
5 -85 C 1 1 1 N
6 -85 G 2 3 0 N
9 -85 B 2 2 0 N
10 -85 G 1 5 0 N
11 -85 G 2 4 0 N
26 -85 C 1 1 1 N
27 -85 G 2 3 0 N
30 -85 B 2 2 0 N
31 -85 G 1 5 0 N
32 -85 G 2 4 0 N
81 -85 C 1 1 1 N
82 -85 G 2 3 0 N
85 -85 B 2 2 0 N
86 -85 G 1 5 0 N
87 -85 G 2 4 0 N
0 -84 1 1 1 0 N
1 -84 B 3 5 0 N
2 -84 0 3 0 0 N
3 -84 1 3 0 0 N
4 -84 C 3 1 1 N
5 -84 1 1 0 0 N
6 -84 G 3 2 0 N
7 -84 G 1 9 0 N
8 -84 1 2 1 0 N
9 -84 B 3 6 0 N
10 -84 0 3 0 0 N
11 -84 1 3 0 0 N
12 -84 C 3 1 1 N
26 -84 1 1 0 0 N
