# REPHEX current computed pattern
# axiom=F level=4 cells=2311
# source=F: F@e; F -> F + {B_i@g_i : i=0..5}
# q r state orientation colour_index dark_cap leaf_tag
0 -33 B 1 1 0 N
1 -33 G 2 3 0 U
4 -33 C 2 1 1 N
12 -33 C 2 1 1 N
33 -33 B 2 1 0 N
0 -32 1 1 0 0 N
1 -32 G 3 2 0 U
2 -32 G 1 4 0 U
3 -32 1 2 0 0 N
4 -32 G 3 3 0 U
10 -32 G 1 4 0 U
11 -32 1 2 0 0 N
12 -32 G 3 3 0 U
31 -32 G 1 4 0 U
32 -32 1 2 0 0 N
33 -32 G 3 3 0 U
-1 -31 G 0 4 0 U
0 -31 0 1 0 0 N
1 -31 G 0 5 0 U
2 -31 0 2 0 0 N
3 -31 G 4 2 0 U
9 -31 G 0 5 0 U
10 -31 0 2 0 0 N
11 -31 G 4 2 0 U
30 -31 G 0 5 0 U
31 -31 0 2 0 0 N
32 -31 G 4 2 0 U
-1 -30 G 5 5 0 U
0 -30 B 1 2 0 N
1 -30 B 2 6 0 N
2 -30 G 1 5 0 U
3 -30 G 2 4 0 U
5 -30 C 1 1 1 N
6 -30 G 2 3 0 U
9 -30 B 2 2 0 N
10 -30 G 1 5 0 U
11 -30 G 2 4 0 U
26 -30 C 1 1 1 N
27 -30 G 2 3 0 U
30 -30 B 2 2 0 N
31 -30 G 1 5 0 U
32 -30 G 2 4 0 U
0 -29 1 1 1 0 N
1 -29 B 3 5 0 N
2 -29 0 3 0 0 N
3 -29 1 3 0 0 N
4 -29 C 3 1 1 N
5 -29 1 1 0 0 N
6 -29 G 3 2 0 U
7 -29 G 1 9 0 U
8 -29 1 2 1 0 N
9 -29 B 3 6 0 N
10 -29 0 3 0 0 N
11 -29 1 3 0 0 N
12 -29 C 3 1 1 N
26 -29 1 1 0 0 N
27 -29 G 3 2 0 U
28 -29 G 1 9 0 U
29 -29 1 2 1 0 N
30 -29 B 3 6 0 N
31 -29 0 3 0 0 N
32 -29 1 3 0 0 N
33 -29 C 3 1 1 N
-1 -28 G 0 9 0 U
0 -28 0 1 1 0 N
1 -28 G 2 4 0 P
2 -28 G 5 2 0 P
3 -28 G 4 3 0 P
4 -28 G 0 4 0 P
5 -28 0 1 0 0 N
6 -28 G 0 10 0 U
7 -28 0 2 1 0 N
8 -28 B 4 5 0 N
9 -28 G 2 5 0 U
10 -28 G 5 2 0 U
11 -28 G 4 3 0 U
25 -28 G 0 4 0 U
26 -28 0 1 0 0 N
27 -28 G 0 10 0 U
28 -28 0 2 1 0 N
29 -28 B 4 5 0 N
30 -28 G 2 5 0 U
31 -28 G 5 2 0 U
32 -28 G 4 3 0 U
-3 -27 G 1 3 0 U
-2 -27 G 2 2 0 U
-1 -27 G 5 10 0 U
0 -27 1 1 0 0 N
1 -27 G 3 3 0 P
2 -27 G 1 3 0 P
