parent,n,m,entry_super,entry,entry_len,word_json,exit_n,exit_m,exit_super,exit,exit_len
Pi,4,3,epsilon-,epsilon-,4,"[[""Sigma"",4],[""Gamma"",3]]",1,1,beta-,alpha-,2
Pi,5,2,epsilon+,epsilon+,4,"[[""Psi"",3],[""Sigma"",3],[""Delta"",1]]",2,4,theta-,epsilon-,6
Pi,5,4,epsilon+,epsilon-,4,"[[""Phi"",4],[""Gamma"",2],[""Psi"",0]]",2,2,theta-,epsilon+,6
Sigma,0,3,zeta+,alpha+,3,"[[""Lambda"",3],[""Sigma"",2],[""Phi"",1]]",3,3,alpha+,epsilon-,3
Sigma,1,3,delta+,alpha-,5,"[[""Gamma"",0],[""Sigma"",1]]",4,3,epsilon-,epsilon-,4
Sigma,1,5,delta+,theta+,5,"[[""Xi"",4],[""Delta"",5],[""Phi"",0]]",4,1,epsilon-,epsilon+,4
Sigma,2,3,gamma-,epsilon-,5,"[[""Delta"",4],[""Sigma"",0],[""Pi"",0]]",5,2,beta+,alpha+,2
Sigma,3,3,alpha+,epsilon-,3,"[[""Phi"",4],[""Sigma"",5],[""Lambda"",0]]",0,3,zeta+,alpha+,3
Sigma,4,1,epsilon-,epsilon+,4,"[[""Phi"",3],[""Delta"",2],[""Xi"",1]]",1,5,delta+,theta+,5
Sigma,4,3,epsilon-,epsilon-,4,"[[""Sigma"",4],[""Gamma"",3]]",1,3,delta+,alpha-,5
Sigma,5,2,beta+,alpha+,2,"[[""Pi"",3],[""Sigma"",3],[""Delta"",1]]",2,3,gamma-,epsilon-,5
Phi,0,3,gamma+,epsilon+,5,"[[""Phi"",3],[""Sigma"",2],[""Phi"",1]]",3,4,epsilon+,epsilon-,4
Phi,0,5,gamma+,beta-,5,"[[""Gamma"",1],[""Delta"",0],[""Psi"",0]]",3,2,epsilon+,epsilon+,4
Phi,1,1,beta-,alpha-,2,"[[""Gamma"",0],[""Sigma"",1]]",4,3,epsilon-,epsilon-,4
Phi,2,4,eta,epsilon-,5,"[[""Delta"",4],[""Sigma"",0],[""Pi"",0]]",5,2,beta+,alpha+,2
Phi,3,2,epsilon+,epsilon+,4,"[[""Psi"",3],[""Delta"",3],[""Gamma"",4]]",0,5,gamma+,beta-,5
Phi,3,4,epsilon+,epsilon-,4,"[[""Phi"",4],[""Sigma"",5],[""Phi"",0]]",0,3,gamma+,epsilon+,5
Phi,4,3,epsilon-,epsilon-,4,"[[""Sigma"",4],[""Gamma"",3]]",1,1,beta-,alpha-,2
Phi,5,2,beta+,alpha+,2,"[[""Pi"",3],[""Sigma"",3],[""Delta"",1]]",2,4,eta,epsilon-,5
Psi,0,1,alpha-,epsilon+,3,"[[""Phi"",3],[""Sigma"",2],[""Phi"",1]]",3,4,epsilon+,epsilon-,4
Psi,0,3,alpha-,beta-,3,"[[""Gamma"",1],[""Delta"",0],[""Psi"",0]]",3,2,epsilon+,epsilon+,4
Psi,1,1,beta-,alpha-,2,"[[""Gamma"",0],[""Sigma"",1]]",4,3,epsilon-,epsilon-,4
Psi,2,2,eta,epsilon+,5,"[[""Psi"",3],[""Gamma"",5],[""Phi"",1]]",5,4,epsilon+,epsilon-,4
Psi,2,4,eta,epsilon-,5,"[[""Delta"",4],[""Sigma"",0],[""Psi"",0]]",5,2,epsilon+,epsilon+,4
Psi,3,2,epsilon+,epsilon+,4,"[[""Psi"",3],[""Delta"",3],[""Gamma"",4]]",0,3,alpha-,beta-,3
Psi,3,4,epsilon+,epsilon-,4,"[[""Phi"",4],[""Sigma"",5],[""Phi"",0]]",0,1,alpha-,epsilon+,3
Psi,4,3,epsilon-,epsilon-,4,"[[""Sigma"",4],[""Gamma"",3]]",1,1,beta-,alpha-,2
Psi,5,2,epsilon+,epsilon+,4,"[[""Psi"",3],[""Sigma"",3],[""Delta"",1]]",2,4,eta,epsilon-,5
Psi,5,4,epsilon+,epsilon-,4,"[[""Phi"",4],[""Gamma"",2],[""Psi"",0]]",2,2,eta,epsilon+,5
