0	0	0	0	0	0	0	-1	0	0	0	0	0	0
1	0	0	0	0	0	0	42	-1	0	0	0	0	0
-21	1	0	0	0	0	0	105	42	-1	0	0	0	0
-35	-21	1	0	0	0	0	140	105	42	-1	0	0	0
-35	-35	-21	1	0	0	0	105	140	105	42	-1	0	0
-21	-35	-35	-21	1	0	0	42	105	140	105	42	-1	0
-7	-21	-35	-35	-21	1	0	7	42	105	140	105	42	-1
-1	-7	-21	-35	-35	-21	1	0	7	42	105	140	105	42
0	-1	-7	-21	-35	-35	-21	0	0	7	42	105	140	105
0	0	-1	-7	-21	-35	-35	0	0	0	7	42	105	140
0	0	0	-1	-7	-21	-35	0	0	0	0	7	42	105
0	0	0	0	-1	-7	-21	0	0	0	0	0	7	42
0	0	0	0	0	-1	-7	0	0	0	0	0	0	7
0	0	0	0	0	0	-1	0	0	0	0	0	0	0
