n	a_q(n)
0	1
1	1
2	21
3	917
4	50015
5	3054975
6	199923731
7	13706232275
8	971688661398
9	70652823030790
10	5239993526693926
11	394859934665232582
12	30146151224874479522
13	2326840604227490659826
14	181271078898863293707570
15	14234776561035471368354994
16	1125584425378833548927694651
17	89544738392904900121175851083
18	7161938428306458166200283943903
19	575564474225539992602020724582015
20	46453084770248538110685595495107405
21	3763644849215736009738921366832698525
22	305997938379435936179581418936808895185
23	24957883066120676800405617893204131352145
24	2041538563152795865807106705898422120212500

recurrence_start_n	residual
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
0	0	(separate check)
