remainder_degree	shift	entry
0	0	1
0	1	78924140113*n/(955713305*n + 955713305) - 38784181303/(955713305*n + 955713305)
0	2	6582056884959757628833*n**2/(913387921354023025*n**2 + 2740163764062069075*n + 1826775842708046050) + 56485275535388275331*n/(913387921354023025*n**2 + 2740163764062069075*n + 1826775842708046050) - 1613081817205311220614/(913387921354023025*n**2 + 2740163764062069075*n + 1826775842708046050)
0	3	548867132415925003692212243711473*n**3/(872936989064333420268847625*n**3 + 5237621934386000521613085750*n**2 + 9602306879707667622957323875*n + 5237621934386000521613085750) + 828010911205649195186400996764958*n**2/(872936989064333420268847625*n**3 + 5237621934386000521613085750*n**2 + 9602306879707667622957323875*n + 5237621934386000521613085750) - 127099831634838742071299264280805*n/(872936989064333420268847625*n**3 + 5237621934386000521613085750*n**2 + 9602306879707667622957323875*n + 5237621934386000521613085750) - 201939567793472192453400041050626/(872936989064333420268847625*n**3 + 5237621934386000521613085750*n**2 + 9602306879707667622957323875*n + 5237621934386000521613085750)
0	4	45769150845518222621021525061744295217762113*n**4/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000) + 183469380464344802249908119412604258278484618*n**3/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000) + 162046553158503652718602217294500924719630515*n**2/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000) - 43335844297024671128374161964746589220547806*n/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000) - 42105613382496579000789031559586360322204440/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000)
0	5	3816616163692768940416294020915309388547659981501079953*n**5/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) + 28657374279330545931719424751573579123192725493961416631*n**4/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) + 67062478201490277966006425029279065761217357101600798693*n**3/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) + 43684739399771851224065646303191668104632842648677453529*n**2/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) - 16159651841641306110473992513249982821827368237767398366*n/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) - 12289805857025450262863072046855459819647584143403600440/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000)
0	6	318261507409694651222773180586254818962899565178224714100926368993*n**6/(762018986876704165367257621498090424422534045468140625*n**6 + 16002398724410787472712410051459898912873214954830953125*n**5 + 133353322703423228939270083762165824273943457956924609375*n**4 + 560083955354377561544934351801096461950562523419083359375*n**3 + 1237518834687767564556426377312898849262195289840260375000*n**2 + 1344201492850506147707842444322631508681350056205800062500*n + 548653670551226999064425487478625105584224512737061250000) + 3821869313419526742257359165781532232890992212166665180025174964117*n**5/(762018986876704165367257621498090424422534045468140625*n**6 + 16002398724410787472712410051459898912873214954830953125*n**5 + 133353322703423228939270083762165824273943457956924609375*n**4 + 560083955354377561544934351801096461950562523419083359375*n**3 + 1237518834687767564556426377312898849262195289840260375000*n**2 + 1344201492850506147707842444322631508681350056205800062500*n + 548653670551226999064425487478625105584224512737061250000) + 16346050284363062081252638333296211286478062861736746668341039918295*n**4/(762018986876704165367257621498090424422534045468140625*n**6 + 16002398724410787472712410051459898912873214954830953125*n**5 + 133353322703423228939270083762165824273943457956924609375*n**4 + 560083955354377561544934351801096461950562523419083359375*n**3 + 1237518834687767564556426377312898849262195289840260375000*n**2 + 1344201492850506147707842444322631508681350056205800062500*n + 548653670551226999064425487478625105584224512737061250000) + 28808653736268989275816805713990034683885468896052270495590350850735*n**3/(762018986876704165367257621498090424422534045468140625*n**6 + 16002398724410787472712410051459898912873214954830953125*n**5 + 133353322703423228939270083762165824273943457956924609375*n**4 + 560083955354377561544934351801096461950562523419083359375*n**3 + 1237518834687767564556426377312898849262195289840260375000*n**2 + 1344201492850506147707842444322631508681350056205800062500*n + 548653670551226999064425487478625105584224512737061250000) + 15045786608594427893514033866529293345420734081225872155463196501312*n**2/(762018986876704165367257621498090424422534045468140625*n**6 + 16002398724410787472712410051459898912873214954830953125*n**5 + 133353322703423228939270083762165824273943457956924609375*n**4 + 560083955354377561544934351801096461950562523419083359375*n**3 + 1237518834687767564556426377312898849262195289840260375000*n**2 + 1344201492850506147707842444322631508681350056205800062500*n + 548653670551226999064425487478625105584224512737061250000) - 7088891376485494012771786837106374872788360082709295307860103532572*n/(762018986876704165367257621498090424422534045468140625*n**6 + 16002398724410787472712410051459898912873214954830953125*n**5 + 133353322703423228939270083762165824273943457956924609375*n**4 + 560083955354377561544934351801096461950562523419083359375*n**3 + 1237518834687767564556426377312898849262195289840260375000*n**2 + 1344201492850506147707842444322631508681350056205800062500*n + 548653670551226999064425487478625105584224512737061250000) - 4611907543825094883294259477391972931363332302390481451847678820880/(762018986876704165367257621498090424422534045468140625*n**6 + 16002398724410787472712410051459898912873214954830953125*n**5 + 133353322703423228939270083762165824273943457956924609375*n**4 + 560083955354377561544934351801096461950562523419083359375*n**3 + 1237518834687767564556426377312898849262195289840260375000*n**2 + 1344201492850506147707842444322631508681350056205800062500*n + 548653670551226999064425487478625105584224512737061250000)
1	1	192565129008*n/(955713305*n + 955713305) - 127487808672/(955713305*n + 955713305)
1	2	16027999785901215194208*n**2/(913387921354023025*n**2 + 2740163764062069075*n + 1826775842708046050) - 2600333985439432325328*n/(913387921354023025*n**2 + 2740163764062069075*n + 1826775842708046050) - 5297889391799743343136/(913387921354023025*n**2 + 2740163764062069075*n + 1826775842708046050)
1	3	1336551140228558364613285031925648*n**3/(872936989064333420268847625*n**3 + 5237621934386000521613085750*n**2 + 9602306879707667622957323875*n + 5237621934386000521613085750) + 1787989231522081674490812800603904*n**2/(872936989064333420268847625*n**3 + 5237621934386000521613085750*n**2 + 9602306879707667622957323875*n + 5237621934386000521613085750) - 766194866674759453187303392619568*n/(872936989064333420268847625*n**3 + 5237621934386000521613085750*n**2 + 9602306879707667622957323875*n + 5237621934386000521613085750) - 663236804197415453062933310310624/(872936989064333420268847625*n**3 + 5237621934386000521613085750*n**2 + 9602306879707667622957323875*n + 5237621934386000521613085750)
1	4	111452858509037539882137964914591476145156288*n**4/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000) + 427729704012310419950778108840698251395445344*n**3/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000) + 308922619023479949453228702873689302877048352*n**2/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000) - 215047211152694090379805532285083626072896064*n/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000) - 138288859177285449936131027192135259367810560/(834277494875422950707094352230150625*n**4 + 8342774948754229507070943522301506250*n**3 + 29199712320639803274748302328055271875*n**2 + 41713874743771147535354717611507531250*n + 20022659877010150816970264453523615000)
1	5	9293875315900579261443472638377777476991189685394438128*n**5/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) + 68196258370739986263552482031444264008003848008985535712*n**4/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) + 150603371757271397001145011384748785376236121549621502736*n**3/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) + 72237379070429026223732154844910868508881872164332818208*n**2/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) - 74298602869570490559625662897964960422351619185721413504*n/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000) - 40363816007938347202810551996958117105517996945086114560/(797330101914511031493129230316711374466565625*n**5 + 11959951528717665472396938454750670616998484375*n**4 + 67773058662733437676915984576920466829658078125*n**3 + 179399272930764982085954076821260059254977265625*n**2 + 218468447924576022629117409106778916603838981250*n + 95679612229741323779175507638005364935987875000)
