Collision ledger for two_growth_cases_vertical_90s_geometry_fixed.mp4
Render mapping: 30 fps; video seconds = physical time / (3/2 - 9*sqrt(2)/16).
This is the mapping used by the current geometry-fixed video: first wall event at 1.0 s,
first body-body event at 2.0 s. A listed frame is the first displayed frame at or after
the exact continuous-time event.

frame | video_sec | class | event# | exact_physical_time | contacts
  900 | 30.000000 |    31 |     29 |               15/2 + 15/2*sqrt2 | P0:wall-N
  906 | 30.181385 |    31 |     30 |               20/3 + 49/6*sqrt2 | P2:wall-W
  931 | 31.009812 |     8 |     37 |               43/6 + 49/6*sqrt2 | P0-P2:face-NE
  946 | 31.514719 |    31 |     31 |                  7 + 17/2*sqrt2 | P1-P2:face-NW
  954 | 31.771717 |     8 |     38 |           103/14 + 117/14*sqrt2 | P1:wall-N
  983 | 32.757359 |    31 |     32 |               31/4 + 17/2*sqrt2 | P0:wall-E
 1006 | 33.514719 |     8 |     39 |                  15/2 + 9*sqrt2 | P2:wall-N
 1006 | 33.514719 |    31 |     33 |                  15/2 + 9*sqrt2 | P2:wall-W
 1036 | 34.514719 |    31 |     34 |               31/4 + 37/4*sqrt2 | P2:wall-N
 1041 | 34.686292 |    31 |     35 |               15/2 + 19/2*sqrt2 | P1:wall-S
 1067 | 35.562097 |     8 |     40 |               17/2 + 55/6*sqrt2 | P0:wall-S
 1084 | 36.100505 |     8 |     41 |                  8 + 39/4*sqrt2 | P2:wall-W
 1084 | 36.100505 |    31 |     36 |                  8 + 39/4*sqrt2 | P0-P2:face-NW
 1138 | 37.905243 |     8 |     42 |               17/2 + 61/6*sqrt2 | P1:wall-E
 1143 | 38.067003 |    31 |     37 |                 53/6 + 10*sqrt2 | P0:wall-S
 1150 | 38.314719 |     8 |     43 |              87/10 + 51/5*sqrt2 | P2:wall-S
 1159 | 38.628860 |     8 |     44 |           127/14 + 141/14*sqrt2 | P1:wall-S
 1161 | 38.686292 |    31 |     38 |               17/2 + 21/2*sqrt2 | P1:wall-E; P2:wall-W
 1167 | 38.880404 |     8 |     45 |            89/10 + 103/10*sqrt2 | P0-P1:face-SE
 1185 | 39.467340 |     8 |     46 |               17/2 + 65/6*sqrt2 | P0-P2:face-W
 1211 | 40.343146 |     8 |     47 |               19/2 + 21/2*sqrt2 | P1:wall-E
 1211 | 40.343146 |    31 |     39 |               19/2 + 21/2*sqrt2 | P0-P2:face-NW
 1221 | 40.686292 |    31 |     40 |                    9 + 11*sqrt2 | P0-P1:face-E
 1251 | 41.686292 |    31 |     41 |               37/4 + 45/4*sqrt2 | P1:wall-E
 1258 | 41.928932 |    31 |     42 |                 39/4 + 11*sqrt2 | P2:wall-N
 1260 | 42.000000 |    31 |     43 |               21/2 + 21/2*sqrt2 | P2:wall-W
 1275 | 42.480404 |    31 |     44 |               49/5 + 56/5*sqrt2 | P0-P2:face-NW
 1285 | 42.800673 |    31 |     45 |               28/3 + 35/3*sqrt2 | P2:wall-W
 1294 | 43.114719 |     8 |     48 |              99/10 + 57/5*sqrt2 | P2:wall-N
 1294 | 43.110658 |    31 |     46 |               69/7 + 80/7*sqrt2 | P0-P1:face-E
 1310 | 43.636039 |     8 |     49 |               41/4 + 91/8*sqrt2 | P0:wall-N
 1324 | 44.100505 |     8 |     50 |                 10 + 47/4*sqrt2 | P0:wall-E
 1341 | 44.686292 |    31 |     47 |                   10 + 12*sqrt2 | P2:wall-N
 1351 | 45.009812 |    31 |     48 |               32/3 + 35/3*sqrt2 | P1:wall-E
 1371 | 45.686292 |    31 |     49 |               41/4 + 49/4*sqrt2 | P0:wall-W
 1372 | 45.708831 |     8 |     51 |             109/10 + 59/5*sqrt2 | P0-P1:face-S
 1387 | 46.201010 |     8 |     52 |                 19/2 + 13*sqrt2 | P2:wall-W
 1398 | 46.571910 |    31 |     50 |               32/3 + 37/3*sqrt2 | P1-P2:face-W
 1401 | 46.686292 |    31 |     51 |               21/2 + 25/2*sqrt2 | P1:wall-N
 1430 | 47.636039 |     8 |     53 |               45/4 + 99/8*sqrt2 | P1:wall-S
 1438 | 47.914719 |     8 |     54 |             111/10 + 63/5*sqrt2 | P2:wall-S
 1445 | 48.134007 |    31 |     52 |                 32/3 + 13*sqrt2 | P1:wall-E
 1454 | 48.457528 |    31 |     53 |               34/3 + 38/3*sqrt2 | P0:wall-S
 1511 | 50.343146 |    31 |     54 |                   12 + 13*sqrt2 | P2:wall-W
 1526 | 50.848052 |     8 |     55 |               71/6 + 40/3*sqrt2 | P0-P1:face-S
 1531 | 51.029437 |     8 |     56 |                   11 + 14*sqrt2 | P0-P2:face-SW
 1544 | 51.433838 |     8 |     57 |             71/6 + 163/12*sqrt2 | P0:wall-N
 1550 | 51.636039 |     8 |     58 |              49/4 + 107/8*sqrt2 | P0-P2:face-SW
 1551 | 51.686292 |    31 |     55 |               47/4 + 55/4*sqrt2 | P0:wall-E
 1558 | 51.905243 |    31 |     56 |                 12 + 41/3*sqrt2 | P1-P2:face-W
 1561 | 52.019625 |     8 |     59 |               71/6 + 83/6*sqrt2 | P0-P1:face-S
 1568 | 52.253515 |    31 |     57 |               85/7 + 96/7*sqrt2 | P0-P1:face-W
 1575 | 52.480404 |     8 |     60 |           123/10 + 137/10*sqrt2 | P2:wall-W
 1591 | 53.009812 |    31 |     58 |               38/3 + 41/3*sqrt2 | P0:wall-E
 1599 | 53.280404 |     8 |     61 |             25/2 + 139/10*sqrt2 | P1-P2:face-NW
 1605 | 53.467340 |    31 |     59 |                 12 + 43/3*sqrt2 | P2:wall-W
 1616 | 53.857864 |    31 |     60 |                 12 + 29/2*sqrt2 | P1-P2:face-NW
 1620 | 54.000000 |     8 |     62 |               27/2 + 27/2*sqrt2 | P0:wall-N
 1654 | 55.100505 |     8 |     63 |               51/4 + 29/2*sqrt2 | P0:wall-E
