# artifact_index=03
# artifact_name=knight-quadrant
# kind=moves
# geometry=square
# attack=square8
# order=spiral
# colors=brg
# radius=6
# trusted_radius=9
# outer_radius=9
# visible_shape=square
# trusted_last_index=351
move,color_index,color,order_index,a,b,cursor_start,cursor_after
182,1,r,326,-9,7,324,326
183,2,g,307,8,9,306,307
184,0,b,330,-9,3,325,330
185,1,r,327,-9,6,327,327
186,2,g,309,6,9,308,309
187,0,b,336,-9,-3,331,336
188,1,r,328,-9,5,328,328
189,2,g,310,5,9,310,310
190,0,b,341,-9,-8,337,341
191,1,r,332,-9,1,329,332
192,2,g,314,1,9,311,314
193,0,b,342,-9,-9,342,342
194,1,r,355,4,-9,333,355
195,2,g,318,-3,9,315,318
196,0,b,344,-7,-9,343,344
197,1,r,357,6,-9,356,357
198,2,g,338,-9,-5,319,338
199,0,b,346,-5,-9,345,346
200,1,r,359,8,-9,358,359
201,2,g,339,-9,-6,339,339
202,0,b,348,-3,-9,347,348
203,2,g,340,-9,-7,340,340
204,0,b,350,-1,-9,349,350
205,2,g,343,-8,-9,341,343
206,0,b,352,1,-9,351,352
207,2,g,345,-6,-9,344,345
208,0,b,354,3,-9,353,354
209,2,g,347,-4,-9,346,347
210,0,b,356,5,-9,355,356
