bit_index,row_id,keep_mask,output
2201,34,25,D1.5
2202,34,26,D1.1
2203,34,27,D1.4
2204,34,28,D1.1
2205,34,29,D1.5
2206,34,30,D1.1
2207,34,31,D1.1
2209,34,33,D1.5
2211,34,35,D1.4
2213,34,37,D1.3
2215,34,39,D1.3
2216,34,40,D1.0
2217,34,41,D1.5
2218,34,42,D1.4
2219,34,43,D1.4
2220,34,44,D1.0
2221,34,45,D1.2
2222,34,46,D1.2
2223,34,47,D1.2
2225,34,49,D1.5
2227,34,51,D1.4
2229,34,53,D1.5
2231,34,55,D1.3
2232,34,56,D1.0
2233,34,57,D1.5
2234,34,58,D1.4
2235,34,59,D1.4
2236,34,60,D1.0
2237,34,61,D1.5
2238,34,62,D1.0
2239,34,63,D1.3
2241,35,1,D1.5
2243,35,3,D1.4
2245,35,5,D1.3
2247,35,7,D1.3
2248,35,8,D1.2
2249,35,9,D1.5
2250,35,10,D1.2
2251,35,11,D1.2
2252,35,12,D1.2
2253,35,13,D1.2
2254,35,14,D1.2
2255,35,15,D1.2
2257,35,17,D1.5
2259,35,19,D1.4
2261,35,21,D1.3
2263,35,23,D1.3
2264,35,24,D1.1
2265,35,25,D1.5
2266,35,26,D1.1
2267,35,27,D1.4
2268,35,28,D1.1
2269,35,29,D1.1
2270,35,30,D1.1
2271,35,31,D1.1
2273,35,33,D1.5
2275,35,35,D1.4
2277,35,37,D1.3
2279,35,39,D1.3
2280,35,40,D1.0
2281,35,41,D1.5
2282,35,42,D1.2
2283,35,43,D1.2
2284,35,44,D1.0
2285,35,45,D1.2
2286,35,46,D1.2
2287,35,47,D1.2
2289,35,49,D1.5
2291,35,51,D1.4
2293,35,53,D1.3
2295,35,55,D1.3
2296,35,56,D1.0
2297,35,57,D1.5
2298,35,58,D1.4
2299,35,59,D1.4
2300,35,60,D1.0
2301,35,61,D1.5
2302,35,62,D1.0
2303,35,63,D1.1
2305,36,1,D1.5
2307,36,3,D1.4
2309,36,5,D1.3
2311,36,7,D1.3
2312,36,8,D1.2
2313,36,9,D1.5
2314,36,10,D1.2
2315,36,11,D1.2
2316,36,12,D1.2
2317,36,13,D1.2
2318,36,14,D1.2
2319,36,15,D1.2
2321,36,17,D1.5
2323,36,19,D1.4
2325,36,21,D1.3
2327,36,23,D1.3
2328,36,24,D1.1
2329,36,25,D1.5
2330,36,26,D1.1
2331,36,27,D1.4
2332,36,28,D1.1
2333,36,29,D1.1
2334,36,30,D1.1
2335,36,31,D1.1
2337,36,33,D1.5
2339,36,35,D1.4
2341,36,37,D1.3
2343,36,39,D1.3
2344,36,40,D1.0
2345,36,41,D1.5
2346,36,42,D1.4
2347,36,43,D1.4
2348,36,44,D1.0
2349,36,45,D1.2
2350,36,46,D1.2
2351,36,47,D1.2
2353,36,49,D1.5
2355,36,51,D1.4
2357,36,53,D1.3
2359,36,55,D1.3
2360,36,56,D1.0
2361,36,57,D1.5
2362,36,58,D1.4
2363,36,59,D1.4
2364,36,60,D1.0
2365,36,61,D1.5
2366,36,62,D1.0
2367,36,63,D1.3
2370,37,2,D1.4
2371,37,3,D1.4
2374,37,6,D1.3
2375,37,7,D1.3
2378,37,10,D1.2
2379,37,11,D1.2
2382,37,14,D1.2
2383,37,15,D1.2
2384,37,16,D1.1
2385,37,17,D1.5
2386,37,18,D1.1
2387,37,19,D1.4
2388,37,20,D1.1
2389,37,21,D1.5
2390,37,22,D1.1
2391,37,23,D1.3
2392,37,24,D1.1
2393,37,25,D1.5
2394,37,26,D1.1
2395,37,27,D1.4
2396,37,28,D1.1
2397,37,29,D1.5
2398,37,30,D1.1
2399,37,31,D1.1
2402,37,34,D1.4
2403,37,35,D1.4
2406,37,38,D1.3
2407,37,39,D1.3
2410,37,42,D1.4
2411,37,43,D1.4
2414,37,46,D1.0
2415,37,47,D1.2
2416,37,48,D1.0
2417,37,49,D1.5
2418,37,50,D1.4
2419,37,51,D1.4
2420,37,52,D1.0
2421,37,53,D1.5
2422,37,54,D1.0
2423,37,55,D1.3
2424,37,56,D1.0
2425,37,57,D1.5
2426,37,58,D1.4
2427,37,59,D1.4
2428,37,60,D1.0
2429,37,61,D1.5
2430,37,62,D1.0
2431,37,63,D1.3
2434,38,2,D1.4
2435,38,3,D1.4
2438,38,6,D1.3
2439,38,7,D1.3
2442,38,10,D1.2
2443,38,11,D1.2
2446,38,14,D1.2
2447,38,15,D1.2
2448,38,16,D1.1
2449,38,17,D1.5
2450,38,18,D1.1
2451,38,19,D1.4
2452,38,20,D1.1
2453,38,21,D1.5
2454,38,22,D1.1
2455,38,23,D1.3
2456,38,24,D1.1
2457,38,25,D1.5
2458,38,26,D1.1
2459,38,27,D1.4
2460,38,28,D1.1
2461,38,29,D1.5
2462,38,30,D1.1
2463,38,31,D1.1
2466,38,34,D1.4
2467,38,35,D1.4
2470,38,38,D1.3
2471,38,39,D1.3
2474,38,42,D1.0
2475,38,43,D1.4
2478,38,46,D1.0
2479,38,47,D1.2
2480,38,48,D1.0
2481,38,49,D1.5
2482,38,50,D1.4
2483,38,51,D1.4
2484,38,52,D1.0
2485,38,53,D1.5
2486,38,54,D1.0
2487,38,55,D1.3
2488,38,56,D1.0
2489,38,57,D1.5
2490,38,58,D1.0
2491,38,59,D1.4
2492,38,60,D1.0
2493,38,61,D1.5
2494,38,62,D1.0
2495,38,63,D1.5
2499,39,3,LEAF.4
2501,39,5,LEAF.3
2503,39,7,LEAF.3
2505,39,9,LEAF.2
2506,39,10,LEAF.2
2507,39,11,LEAF.2
2508,39,12,LEAF.2
2509,39,13,LEAF.2
2510,39,14,LEAF.2
2511,39,15,LEAF.2
2514,39,18,LEAF.1
2515,39,19,LEAF.4
2516,39,20,LEAF.1
2517,39,21,LEAF.1
2518,39,22,LEAF.1
2519,39,23,LEAF.1
2520,39,24,LEAF.1
2521,39,25,LEAF.5
2522,39,26,LEAF.1
2523,39,27,LEAF.1
2524,39,28,LEAF.1
2525,39,29,LEAF.1
2526,39,30,LEAF.1
2527,39,31,LEAF.1
2529,39,33,LEAF.5
2530,39,34,LEAF.4
2531,39,35,LEAF.4
2532,39,36,LEAF.0
2533,39,37,LEAF.3
2534,39,38,LEAF.3
2535,39,39,LEAF.3
2537,39,41,LEAF.5
2538,39,42,LEAF.0
2539,39,43,LEAF.2
2540,39,44,LEAF.0
2541,39,45,LEAF.5
2542,39,46,LEAF.0
2543,39,47,LEAF.2
2544,39,48,LEAF.0
2545,39,49,LEAF.5
2546,39,50,LEAF.4
2547,39,51,LEAF.4
2548,39,52,LEAF.0
2549,39,53,LEAF.5
2550,39,54,LEAF.0
2551,39,55,LEAF.3
2552,39,56,LEAF.0
2553,39,57,LEAF.5
2554,39,58,LEAF.0
2555,39,59,LEAF.4
2556,39,60,LEAF.0
2557,39,61,LEAF.5
2558,39,62,LEAF.0
2559,39,63,LEAF.0
2563,40,3,LEAF.4
2565,40,5,LEAF.3
2567,40,7,LEAF.3
2569,40,9,LEAF.2
2570,40,10,LEAF.2
2571,40,11,LEAF.2
2572,40,12,LEAF.2
2573,40,13,LEAF.2
2574,40,14,LEAF.2
2575,40,15,LEAF.2
2578,40,18,LEAF.1
2579,40,19,LEAF.4
2580,40,20,LEAF.1
2581,40,21,LEAF.1
2582,40,22,LEAF.1
2583,40,23,LEAF.1
2584,40,24,LEAF.1
2585,40,25,LEAF.5
2586,40,26,LEAF.1
2587,40,27,LEAF.1
2588,40,28,LEAF.1
2589,40,29,LEAF.1
2590,40,30,LEAF.1
2591,40,31,LEAF.1
2593,40,33,LEAF.5
2594,40,34,LEAF.4
2595,40,35,LEAF.4
2596,40,36,LEAF.0
2597,40,37,LEAF.3
2598,40,38,LEAF.3
2599,40,39,LEAF.3
2601,40,41,LEAF.5
2602,40,42,LEAF.0
2603,40,43,LEAF.2
2604,40,44,LEAF.0
2605,40,45,LEAF.5
2606,40,46,LEAF.0
2607,40,47,LEAF.2
2608,40,48,LEAF.0
2609,40,49,LEAF.5
2610,40,50,LEAF.4
2611,40,51,LEAF.4
2612,40,52,LEAF.0
2613,40,53,LEAF.5
2614,40,54,LEAF.0
2615,40,55,LEAF.3
2616,40,56,LEAF.0
2617,40,57,LEAF.5
2618,40,58,LEAF.0
2619,40,59,LEAF.4
2620,40,60,LEAF.0
2621,40,61,LEAF.5
2622,40,62,LEAF.0
2623,40,63,LEAF.0
2641,41,17,LEAF.5
2642,41,18,LEAF.4
2643,41,19,LEAF.4
2644,41,20,LEAF.1
2645,41,21,LEAF.1
2646,41,22,LEAF.1
2647,41,23,LEAF.1
2648,41,24,LEAF.1
2649,41,25,LEAF.5
2650,41,26,LEAF.1
2651,41,27,LEAF.1
2652,41,28,LEAF.1
2653,41,29,LEAF.1
2654,41,30,LEAF.1
2655,41,31,LEAF.1
2657,41,33,LEAF.5
2658,41,34,LEAF.4
2659,41,35,LEAF.4
2660,41,36,LEAF.0
2661,41,37,LEAF.3
2662,41,38,LEAF.3
2663,41,39,LEAF.3
2664,41,40,LEAF.0
2665,41,41,LEAF.5
2666,41,42,LEAF.0
2667,41,43,LEAF.4
2668,41,44,LEAF.0
2669,41,45,LEAF.5
2670,41,46,LEAF.0
2671,41,47,LEAF.2
2673,41,49,LEAF.5
2674,41,50,LEAF.4
2675,41,51,LEAF.4
2676,41,52,LEAF.0
2677,41,53,LEAF.3
2678,41,54,LEAF.3
2679,41,55,LEAF.3
2680,41,56,LEAF.0
2681,41,57,LEAF.5
2682,41,58,LEAF.0
2683,41,59,LEAF.4
2684,41,60,LEAF.0
2685,41,61,LEAF.5
2686,41,62,LEAF.0
2687,41,63,LEAF.0
2705,42,17,LEAF.5
2706,42,18,LEAF.4
2707,42,19,LEAF.4
2708,42,20,LEAF.1
2709,42,21,LEAF.1
2710,42,22,LEAF.1
2711,42,23,LEAF.1
2712,42,24,LEAF.1
2713,42,25,LEAF.5
2714,42,26,LEAF.1
2715,42,27,LEAF.1
2716,42,28,LEAF.1
2717,42,29,LEAF.1
2718,42,30,LEAF.1
2719,42,31,LEAF.1
2721,42,33,LEAF.5
2722,42,34,LEAF.4
2723,42,35,LEAF.4
2724,42,36,LEAF.0
2725,42,37,LEAF.3
2726,42,38,LEAF.3
2727,42,39,LEAF.3
2728,42,40,LEAF.0
2729,42,41,LEAF.5
2730,42,42,LEAF.0
2731,42,43,LEAF.4
2732,42,44,LEAF.0
2733,42,45,LEAF.5
2734,42,46,LEAF.0
2735,42,47,LEAF.2
2737,42,49,LEAF.5
2738,42,50,LEAF.4
2739,42,51,LEAF.4
2740,42,52,LEAF.0
2741,42,53,LEAF.3
2742,42,54,LEAF.0
2743,42,55,LEAF.3
2744,42,56,LEAF.0
2745,42,57,LEAF.5
2746,42,58,LEAF.0
2747,42,59,LEAF.4
2748,42,60,LEAF.0
2749,42,61,LEAF.5
2750,42,62,LEAF.0
2751,42,63,LEAF.0
2755,43,3,LEAF.4
2757,43,5,LEAF.3
2758,43,6,LEAF.3
2759,43,7,LEAF.3
2761,43,9,LEAF.2
2763,43,11,LEAF.2
2764,43,12,LEAF.2
2765,43,13,LEAF.2
2766,43,14,LEAF.2
2767,43,15,LEAF.2
2769,43,17,LEAF.5
2770,43,18,LEAF.4
2771,43,19,LEAF.4
2773,43,21,LEAF.3
2774,43,22,LEAF.1
2775,43,23,LEAF.3
2776,43,24,LEAF.1
2777,43,25,LEAF.5
2778,43,26,LEAF.1
2779,43,27,LEAF.1
2780,43,28,LEAF.1
2781,43,29,LEAF.1
2782,43,30,LEAF.1
2783,43,31,LEAF.1
2786,43,34,LEAF.4
2787,43,35,LEAF.4
2788,43,36,LEAF.3
2789,43,37,LEAF.3
2790,43,38,LEAF.3
2791,43,39,LEAF.3
2792,43,40,LEAF.0
2793,43,41,LEAF.5
2794,43,42,LEAF.2
2795,43,43,LEAF.2
2796,43,44,LEAF.0
2797,43,45,LEAF.2
2798,43,46,LEAF.2
2799,43,47,LEAF.2
2800,43,48,LEAF.0
2801,43,49,LEAF.5
2802,43,50,LEAF.4
2803,43,51,LEAF.4
2804,43,52,LEAF.0
2805,43,53,LEAF.3
2806,43,54,LEAF.3
2807,43,55,LEAF.3
2808,43,56,LEAF.0
2809,43,57,LEAF.5
2810,43,58,LEAF.4
2811,43,59,LEAF.4
2812,43,60,LEAF.0
2813,43,61,LEAF.5
2814,43,62,LEAF.0
2815,43,63,LEAF.2
2819,44,3,LEAF.4
2821,44,5,LEAF.3
2822,44,6,LEAF.3
2823,44,7,LEAF.3
2825,44,9,LEAF.2
2827,44,11,LEAF.2
2828,44,12,LEAF.2
2829,44,13,LEAF.2
2830,44,14,LEAF.2
2831,44,15,LEAF.2
2833,44,17,LEAF.5
2834,44,18,LEAF.1
2835,44,19,LEAF.4
2836,44,20,LEAF.1
2837,44,21,LEAF.1
2838,44,22,LEAF.1
2839,44,23,LEAF.1
2840,44,24,LEAF.1
2841,44,25,LEAF.5
2842,44,26,LEAF.1
2843,44,27,LEAF.1
2844,44,28,LEAF.1
2845,44,29,LEAF.1
2846,44,30,LEAF.1
2847,44,31,LEAF.1
2850,44,34,LEAF.4
2851,44,35,LEAF.4
2852,44,36,LEAF.3
2853,44,37,LEAF.3
2854,44,38,LEAF.3
2855,44,39,LEAF.3
2856,44,40,LEAF.0
2857,44,41,LEAF.5
2858,44,42,LEAF.2
2859,44,43,LEAF.2
2860,44,44,LEAF.0
2861,44,45,LEAF.2
2862,44,46,LEAF.2
2863,44,47,LEAF.2
2864,44,48,LEAF.0
2865,44,49,LEAF.5
2866,44,50,LEAF.4
2867,44,51,LEAF.4
2868,44,52,LEAF.0
2869,44,53,LEAF.3
2870,44,54,LEAF.3
2871,44,55,LEAF.3
2872,44,56,LEAF.0
2873,44,57,LEAF.5
2874,44,58,LEAF.4
2875,44,59,LEAF.4
2876,44,60,LEAF.0
2877,44,61,LEAF.5
2878,44,62,LEAF.0
2879,44,63,LEAF.0
2882,45,2,LEAF.4
2883,45,3,LEAF.4
2885,45,5,LEAF.3
2886,45,6,LEAF.3
2887,45,7,LEAF.3
2889,45,9,LEAF.5
2890,45,10,LEAF.2
2891,45,11,LEAF.2
2893,45,13,LEAF.2
2894,45,14,LEAF.2
2895,45,15,LEAF.2
2897,45,17,LEAF.5
2898,45,18,LEAF.1
2899,45,19,LEAF.4
2901,45,21,LEAF.1
2902,45,22,LEAF.1
2903,45,23,LEAF.1
2905,45,25,LEAF.5
2906,45,26,LEAF.1
2907,45,27,LEAF.1
2909,45,29,LEAF.1
2910,45,30,LEAF.1
2911,45,31,LEAF.1
2913,45,33,LEAF.5
2914,45,34,LEAF.4
2915,45,35,LEAF.4
2917,45,37,LEAF.3
2918,45,38,LEAF.3
2919,45,39,LEAF.3
2921,45,41,LEAF.5
2922,45,42,LEAF.4
2923,45,43,LEAF.4
2925,45,45,LEAF.2
2926,45,46,LEAF.0
2927,45,47,LEAF.2
2929,45,49,LEAF.5
2930,45,50,LEAF.4
2931,45,51,LEAF.4
2933,45,53,LEAF.3
2934,45,54,LEAF.0
2935,45,55,LEAF.3
2937,45,57,LEAF.5
2938,45,58,LEAF.4
2939,45,59,LEAF.4
2941,45,61,LEAF.5
2942,45,62,LEAF.0
2943,45,63,LEAF.0
2949,46,5,LEAF.3
2950,46,6,LEAF.3
2951,46,7,LEAF.3
2953,46,9,LEAF.2
2954,46,10,LEAF.2
2955,46,11,LEAF.2
2957,46,13,LEAF.2
2958,46,14,LEAF.2
