batch_index,time_a,time_b,pair_a,pair_b,face_a,mixed_with_wall,batch_events
1,2,1,I2,O1,SW,false,pair:I2:O1:SW|pair:I3:O2:NW
1,2,1,I3,O2,NW,false,pair:I2:O1:SW|pair:I3:O2:NW
3,6,3,I3,O1,SW,false,pair:I3:O1:SW
7,21/2,5,I2,I3,W,false,pair:I2:I3:W
8,11,11/2,O0,O2,SW,false,pair:O0:O2:SW
10,25/2,6,I3,O1,SW,false,pair:I3:O1:SW
13,15,7,I2,O2,N,false,pair:I2:O2:N
14,33/2,15/2,I2,O1,W,false,pair:I2:O1:W
15,17,17/2,I3,O0,NE,false,pair:I3:O0:NE
19,127/6,61/6,I3,O1,SW,false,pair:I3:O1:SW
20,43/2,21/2,I2,O2,NE,false,pair:I2:O2:NE
23,23,11,I2,O0,NE,false,pair:I2:O0:NE
24,25,37/3,I2,O1,W,false,pair:I2:O1:W
25,77/3,37/3,I2,I3,NE,false,pair:I2:I3:NE
27,141/5,13,I2,O1,W,false,pair:I2:O1:W
29,59/2,27/2,I3,O0,SE,false,pair:I3:O0:SE
33,65/2,15,I2,O0,E,false,pair:I2:O0:E
36,98/3,47/3,I3,O0,SW,false,pair:I3:O0:SW
43,83/2,39/2,I3,O2,SW,false,pair:I3:O2:SW
44,211/5,97/5,I2,I3,E,false,pair:I2:I3:E
45,85/2,119/6,O1,O2,N,false,pair:O1:O2:N
46,127/3,61/3,O0,O1,W,false,pair:O0:O1:W
52,205/4,97/4,I2,O1,SE,false,pair:I2:O1:SE
57,439/8,215/8,I2,I3,S,false,pair:I2:I3:S
59,899/16,435/16,O1,O2,E,false,pair:O1:O2:E
70,209/3,33,I2,O1,NW,false,pair:I2:O1:NW
71,143/2,477/14,I2,I3,S,false,pair:I2:I3:S
74,577/8,281/8,I3,O2,SW,false,pair:I3:O2:SW
76,311/4,143/4,O0,O2,W,false,pair:O0:O2:W
81,1021/12,493/12,I2,O0,SE,false,pair:I2:O0:SE
87,3801/40,1817/40,I3,O0,NE,false,pair:I3:O0:NE
88,2281/24,367/8,O0,O1,NE,false,pair:O0:O1:NE
91,589/6,277/6,I2,I3,E,false,pair:I2:I3:E
92,1599/16,763/16,O0,O1,NE,false,pair:O0:O1:NE
