batch_index,time_a,time_b,pair_a,pair_b,face_a,mixed_with_wall,batch_events
1,2,1,I1,O0,SE,false,pair:I1:O0:SE|pair:I3:O2:NW
1,2,1,I3,O2,NW,false,pair:I1:O0:SE|pair:I3:O2:NW
4,13/2,3,I0,I1,S,false,pair:I0:I1:S
7,10,9/2,I0,O2,W,false,pair:I0:O2:W
8,10,5,I3,O0,NE,false,pair:I3:O0:NE
12,46/3,43/6,I0,I1,SW,false,pair:I0:I1:SW
13,84/5,79/10,I1,I3,W,false,pair:I1:I3:W
20,26,25/2,I0,O2,W,false,pair:I0:O2:W
22,144/5,139/10,I3,O0,SW,false,pair:I3:O0:SW
26,33,63/4,I1,O2,NE,false,pair:I1:O2:NE
28,35,101/6,I3,O2,NW,false,pair:I3:O2:NW
33,42,81/4,I0,O0,SE,false,pair:I0:O0:SE
34,388/9,373/18,I3,O2,W,false,pair:I3:O2:W
40,356/7,339/14,I3,O0,SW,false,pair:I3:O0:SW
41,51,97/4,O0,O2,SW,false,pair:O0:O2:SW
42,52,49/2,I3,O0,SW,false,pair:I3:O0:SW
45,278/5,263/10,I0,I3,S,false,pair:I0:I3:S
47,227/4,215/8,I3,O2,S,false,pair:I3:O2:S
51,62,181/6,I3,O2,SE,false,pair:I3:O2:SE
58,211/3,203/6,I0,O0,N,false,pair:I0:O0:N
62,378/5,71/2,I1,O0,S,false,pair:I1:O0:S
63,230/3,359/10,I1,I3,N,false,pair:I1:I3:N
66,394/5,367/10,I1,O0,S,false,pair:I1:O0:S
69,159/2,155/4,I3,O2,E,false,pair:I3:O2:E
72,80,81/2,I3,O2,E,false,pair:I3:O2:E
73,1102/13,1047/26,O0,O2,NE,false,pair:O0:O2:NE
74,343/4,159/4,I3,O0,SE,false,pair:I3:O0:SE
77,1858/21,597/14,I0,I3,SW,false,pair:I0:I3:SW
82,2286/25,439/10,I1,I3,N,false,pair:I1:I3:N
84,1574/17,1531/34,I3,O2,E,false,pair:I3:O2:E
87,403/4,48,I3,O0,E,false,pair:I3:O0:E
89,508/5,289/6,I3,O0,E,false,pair:I3:O0:E
94,316/3,305/6,I0,O2,SE,false,pair:I0:O2:SE
100,5182/45,4927/90,I3,O2,SW,false,pair:I3:O2:SW
101,810/7,337/6,I0,I1,SW,false,pair:I0:I1:SW
105,4958/41,4627/82,O0,O2,N,false,pair:O0:O2:N
109,123,593/10,I0,I1,S,false,pair:I0:I1:S
110,874/7,5819/98,I1,O2,S,false,pair:I1:O2:S
113,1390/11,1337/22,I3,O2,W,false,pair:I3:O2:W
115,898/7,2599/42,I3,O2,W,false,pair:I3:O2:W
121,6986/51,2187/34,I1,I3,S,false,pair:I1:I3:S
123,11530/83,10945/166,I1,O0,NW,false,pair:I1:O0:NW
124,4270/31,4157/62,I1,O2,SW,false,pair:I1:O2:SW
129,1026/7,679/10,I0,I3,S,false,pair:I0:I3:S
132,3118/21,139/2,I0,O2,NE,false,pair:I0:O2:NE
135,151,141/2,I0,O2,NE,false,pair:I0:O2:NE
136,10142/67,9641/134,I0,I1,W,false,pair:I0:I1:W
141,1418/9,1379/18,I3,O0,SE,false,pair:I3:O0:SE
144,4670/29,4447/58,I3,O2,NW,false,pair:I3:O2:NW
145,6350/39,6085/78,I0,I3,NE,false,pair:I0:I3:NE
146,5380/33,1717/22,I0,O0,SE,false,pair:I0:O0:SE
154,3920/23,3713/46,I3,O2,W,false,pair:I3:O2:W
155,11762/69,3717/46,I0,I3,N,false,pair:I0:I3:N
158,864/5,4119/50,I0,O0,S,false,pair:I0:O0:S
159,9402/53,8623/106,I0,I1,NW,false,pair:I0:I1:NW
160,1405/8,3323/40,I0,I3,NE,false,pair:I0:I3:NE
165,19842/109,18471/218,I1,O2,W,false,pair:I1:O2:W
166,17650/97,16563/194,I1,I3,NE,false,pair:I1:I3:NE
168,33878/185,171/2,I0,O0,S,false,pair:I0:O0:S
172,8762/47,41913/470,I1,I3,N,false,pair:I1:I3:N
173,8834/47,24959/282,O0,O2,N,false,pair:O0:O2:N
176,575/3,1637/18,I0,I3,NE,false,pair:I0:I3:NE
178,2490/13,7109/78,I0,I3,NE,false,pair:I0:I3:NE
179,13884/73,13463/146,I1,O0,NW,false,pair:I1:O0:NW
181,3242/17,21893/238,I1,O0,NW,false,pair:I1:O0:NW
185,45626/233,43227/466,I3,O2,NW,false,pair:I3:O2:NW
186,48004/243,45581/486,I3,O0,S,false,pair:I3:O0:S
193,15920/79,15673/158,I3,O2,NW,false,pair:I3:O2:NW
194,28596/139,26837/278,I0,O0,E,false,pair:I0:O0:E
195,18695/91,2585/26,I1,O2,NW,false,pair:I1:O2:NW
202,9712/45,5087/50,I3,O2,NW,false,pair:I3:O2:NW
204,11365/52,5329/52,I3,O0,E,false,pair:I3:O0:E
205,23962/111,7735/74,I0,O2,SW,false,pair:I0:O2:SW
207,431/2,107,I0,I3,S,false,pair:I0:I3:S
210,27883/126,6707/63,I3,O2,S,false,pair:I3:O2:S
211,57376/257,54423/514,I0,O0,E,false,pair:I0:O0:E
214,79792/355,15105/142,I1,O0,E,false,pair:I1:O0:E
215,6832/31,6889/62,I0,I1,NE,false,pair:I0:I1:NE
218,55722/241,51251/482,I1,I3,NW,false,pair:I1:I3:NW
222,50278/215,47013/430,I0,I1,NE,false,pair:I0:I1:NE
223,14878/63,69697/630,I0,O2,SE,false,pair:I0:O2:SE
226,70618/299,67465/598,I3,O2,SW,false,pair:I3:O2:SW
227,185878/785,177019/1570,I3,O0,SE,false,pair:I3:O0:SE
233,85514/357,27893/238,I1,I3,SW,false,pair:I1:I3:SW
238,204688/833,193079/1666,I0,O0,E,false,pair:I0:O0:E
240,29455/122,7322/61,I0,O0,SE,false,pair:I0:O0:SE
241,108998/439,103173/878,I3,O2,SW,false,pair:I3:O2:SW
243,103230/413,14089/118,I1,I3,SW,false,pair:I1:I3:SW
250,38228/151,38441/302,I0,O2,SW,false,pair:I0:O2:SW
251,32837/122,7271/61,I3,O0,S,false,pair:I3:O0:S
254,49809/191,47863/382,I3,O0,S,false,pair:I3:O0:S
256,358984/1363,339429/2726,I0,I3,S,false,pair:I0:I3:S
257,457672/1743,146179/1162,I1,O2,E,false,pair:I1:O2:E
259,98220/373,94443/746,I1,O2,NE,false,pair:I1:O2:NE
260,793120/3001,761567/6002,I1,O0,SE,false,pair:I1:O0:SE
263,79504/297,674951/5346,O0,O2,N,false,pair:O0:O2:N
271,8015/29,7629/58,I0,I3,SE,false,pair:I0:I3:SE
272,771792/2777,730719/5554,O0,O2,N,false,pair:O0:O2:N
275,7600/27,707719/5346,O0,O2,N,false,pair:O0:O2:N
276,351376/1245,329531/2490,I3,O2,SW,false,pair:I3:O2:SW
282,1934768/6697,1826511/13394,I0,I3,E,false,pair:I0:I3:E
287,53901/185,52149/370,I0,O0,N,false,pair:I0:O0:N
289,2857584/9683,2732181/19366,I3,O2,NW,false,pair:I3:O2:NW
291,81728/275,76981/550,I3,O2,NW,false,pair:I3:O2:NW
293,2312656/7795,446577/3118,I1,O2,S,false,pair:I1:O2:S
294,4822160/16101,4559347/32202,I0,O2,NE,false,pair:I0:O2:NE
295,87856/287,868867/6314,I1,I3,E,false,pair:I1:I3:E
297,13744/45,1001029/7110,I3,O0,N,false,pair:I3:O0:N
299,8554096/27923,8093525/55846,O0,O2,S,false,pair:O0:O2:S
306,3355120/10807,3194001/21614,I0,O0,E,false,pair:I0:O0:E
309,5357744/17347,5224613/34694,I0,I1,NW,false,pair:I0:I1:NW
310,3368592/10561,3100215/21122,I0,O2,E,false,pair:I0:O2:E
314,7757648/24709,7611859/49418,I1,O2,SW,false,pair:I1:O2:SW
321,24923760/76007,23790945/152014,I1,I3,W,false,pair:I1:I3:W
330,3256800/9611,447643/2746,I0,O2,SW,false,pair:I0:O2:SW
331,19816720/58361,18979775/116722,O0,O2,N,false,pair:O0:O2:N
333,2197360/6427,2117133/12854,I1,I3,NW,false,pair:I1:I3:NW
335,8396208/24437,8143523/48874,I1,O0,N,false,pair:I1:O0:N
340,47685872/136351,45648361/272702,I0,I3,SE,false,pair:I0:I3:SE
343,85542800/242489,82388351/484978,I0,O0,N,false,pair:I0:O0:N
344,3286352/9189,9193049/55134,I1,I3,W,false,pair:I1:I3:W
346,19864048/55631,55972651/333786,I1,I3,W,false,pair:I1:I3:W
348,98857936/278797,95296779/557594,I0,I3,S,false,pair:I0:I3:S
353,66588624/183437,63499659/366874,I1,O0,NW,false,pair:I1:O0:NW
362,18807952/50201,90177051/502010,O0,O2,SE,false,pair:O0:O2:SE
363,8406384/22369,8021847/44738,I1,I3,NE,false,pair:I1:I3:NE
366,13941424/36947,66909161/369470,I1,O2,NW,false,pair:I1:O2:NW
368,22671344/60063,7290019/40042,I0,O0,NE,false,pair:I0:O0:NE
