batch_index,time_a,time_b,pair_a,pair_b,face_a,mixed_with_wall,batch_events
1,2,1,I1,O0,SE,false,pair:I1:O0:SE
4,7,7/2,I2,O2,NW,false,pair:I2:O2:NW
5,17/2,4,I2,O0,E,false,pair:I2:O0:E
7,21/2,5,I2,O2,NW,false,pair:I2:O2:NW
10,16,15/2,I1,O0,S,false,pair:I1:O0:S
13,39/2,19/2,I2,O2,NW,false,pair:I2:O2:NW
18,57/2,14,I2,O2,NW,false,pair:I2:O2:NW
19,59/2,14,O0,O2,E,false,pair:O0:O2:E
22,67/2,16,I1,O0,NW,false,pair:I1:O0:NW
24,36,35/2,O0,O2,NE,false,pair:O0:O2:NE
25,217/6,53/3,I1,I2,S,false,pair:I1:I2:S
32,93/2,158/7,I1,O0,SW,false,pair:I1:O0:SW
36,507/10,123/5,O0,O2,SW,false,pair:O0:O2:SW
38,161/3,157/6,I1,O0,SW,false,pair:I1:O0:SW
44,187/3,179/6,I1,O2,S,false,pair:I1:O2:S
45,647/10,159/5,I2,O0,SW,false,pair:I2:O0:SW
49,805/12,391/12,I1,I2,SE,false,pair:I1:I2:SE
53,293/4,141/4,O0,O2,S,false,pair:O0:O2:S
56,949/12,463/12,I1,I2,SE,false,pair:I1:I2:SE
62,523/6,42,I2,O0,N,false,pair:I2:O0:N
69,98,89/2,I2,O2,N,false,pair:I2:O2:N
71,205/2,50,I2,O0,SW,false,pair:I2:O0:SW
73,623/6,151/3,I1,O0,NE,false,pair:I1:O0:NE
79,223/2,53,I1,O0,E,false,pair:I1:O0:E
81,229/2,166/3,I1,O0,NE,false,pair:I1:O0:NE
85,233/2,169/3,I1,O2,W,false,pair:I1:O2:W
89,1249/10,303/5,I1,O0,NE,false,pair:I1:O0:NE
91,2293/18,547/9,O0,O2,S,false,pair:O0:O2:S
98,4091/30,1021/15,I2,O2,NW,false,pair:I2:O2:NW
100,5383/38,1289/19,I2,O0,N,false,pair:I2:O0:N
106,2131/14,517/7,I1,I2,SW,false,pair:I1:I2:SW
108,11827/78,2917/39,I1,O2,W,false,pair:I1:O2:W
114,7403/46,1797/23,I2,O2,E,false,pair:I2:O2:E
118,26773/162,731/9,I1,I2,NE,false,pair:I1:I2:NE
120,1015/6,81,I2,O0,NW,false,pair:I2:O0:NW
122,32731/190,7933/95,I1,O2,E,false,pair:I1:O2:E
129,11483/62,2685/31,I2,O0,S,false,pair:I2:O0:S
134,8827/46,2169/23,I1,I2,NE,false,pair:I1:I2:NE
137,1977/10,281/3,I1,O0,SE,false,pair:I1:O0:SE
140,11649/58,2855/29,I1,I2,N,false,pair:I1:I2:N
