batch_index,time_a,time_b,pair_a,pair_b,face_a,mixed_with_wall,batch_events
807,644335799719/801785746,634621876565/1603571492,I0,I3,SE,false,pair:I0:I3:SE
809,2770585017929/3413144974,2673366808827/6826289948,I1,I3,N,false,pair:I1:I3:N
814,9307093555209/11304771854,8881721425595/22609543708,I1,I2,NE,false,pair:I1:I2:NE
816,575658391039/700335298,1658981260103/4202011788,I0,O0,NE,false,pair:I0:O0:NE
819,3242067711583/3911885602,3096706120573/7823771204,I2,O0,W,false,pair:I2:O0:W
820,170664581855/205687074,6690503973125/16866340068,I0,I1,SE,false,pair:I0:I1:SE
823,6022458774659/7237763930,1149988942869/2895105572,I1,I3,NE,false,pair:I1:I3:NE
826,3634975796467/4341048186,10375128625835/26046289116,I2,I3,E,false,pair:I2:I3:E
827,4739343765563/5657748266,4518946815345/11315496532,I1,I2,NE,false,pair:I1:I2:NE
828,7971004308859/9505923050,7608000771217/19011846100,I0,I1,NE,false,pair:I0:I1:NE
829,8598564869349/10246633174,8200998949071/20493266348,I3,O0,W,false,pair:I3:O0:W
833,8565015399403/10165471242,8147453161057/20330942484,I0,I1,NE,false,pair:I0:I1:NE
834,441083261071/522243610,419847518849/1044487220,I1,I2,NE,false,pair:I1:I2:NE
838,9238486755325/10907041446,8840715751319/21814082892,I2,O0,S,false,pair:I2:O0:S
841,12489371131035/14599003946,695603636513/1717529876,I2,I3,SW,false,pair:I2:I3:SW
847,42607327911347/49469257210,40599578702457/98938514420,I3,O0,N,false,pair:I3:O0:N
851,37846182547781/43609853718,4004599311799/9691078604,I2,I3,SE,false,pair:I2:I3:SE
852,22580082474503/25865234386,21225773942773/51730468772,I3,O0,E,false,pair:I3:O0:E
855,3775176715/4334922,221049477409/532713748,I0,I1,NE,false,pair:I0:I1:NE
857,89913735061133/102751946118,85845655594055/205503892236,I2,O0,SE,false,pair:I2:O0:SE
861,84187049590921/95569813774,80126792389563/191139627548,I0,I2,NE,false,pair:I0:I2:NE
864,1607305597605/1828425302,1541640550543/3656850604,I1,I2,SW,false,pair:I1:I2:SW
866,20708204709393/23489277182,19793829992019/46978554364,I1,I2,SW,false,pair:I1:I2:SW
868,49048406158243/55398378522,46912852879433/110796757044,I1,I3,NE,false,pair:I1:I3:NE
870,91081966165645/102751946118,87013886698567/205503892236,I0,O0,NE,false,pair:I0:O0:NE
871,38143531586503/42900401234,36166847350069/85800802468,I3,O0,NW,false,pair:I3:O0:NW
873,147564923928549/166055699926,140870512343887/332111399852,I3,O0,N,false,pair:I3:O0:N
875,125755174785069/141059745350,119378501285159/282119490700,I1,I3,NW,false,pair:I1:I3:NW
877,154329728725881/173291795758,147602870293643/346583591516,I2,I3,N,false,pair:I2:I3:N
878,27744611249699/31110780698,185217416900223/435550929772,I0,I3,SE,false,pair:I0:I3:SE
879,124185592380399/138772896002,117605549400749/277545792004,I1,I2,W,false,pair:I1:I2:W
884,400004177952935/447339837074,381758162252757/894679674148,I2,I3,N,false,pair:I2:I3:N
888,554669339832263/618911743058,532862065268021/1237823486116,I0,I3,SE,false,pair:I0:I3:SE
889,183039920789621/203568815798,175073451467519/407137631596,I1,O0,NW,false,pair:I1:O0:NW
893,355281330262077/393167581222,338576067300183/786335162444,I0,I2,SW,false,pair:I0:I2:SW
896,31860583590393/35031199790,90503801074721/210187198740,I0,I3,NE,false,pair:I0:I3:NE
902,298687400813959/325216188626,281317160056437/650432377252,I1,I3,SE,false,pair:I1:I3:SE
903,78796816147369/86462855886,75744258900763/172925711772,I3,O0,SW,false,pair:I3:O0:SW
912,33111658185485/35925316742,221136802828401/502954434388,I2,I3,W,false,pair:I2:I3:W
913,889032893859631/963597398658,848089604638829/1927194797316,I1,I3,E,false,pair:I1:I3:E
914,252927548711669/273505015222,241803486930047/547010030444,I2,O0,SW,false,pair:I2:O0:SW
915,272234470804123/294601232682,261184881763889/589202465364,I0,O0,NE,false,pair:I0:O0:NE
918,68648080541225/73922272206,21725824430729/49281514804,I2,O0,W,false,pair:I2:O0:W
922,898928498509615/963597398658,856885697661037/1927194797316,I1,I3,E,false,pair:I1:I3:E
