batch_index,time_a,time_b,pair_a,pair_b,face_a,mixed_with_wall,batch_events
1,2,1,I2,O1,SW,false,pair:I2:O1:SW|pair:I3:O2:NW
1,2,1,I3,O2,NW,false,pair:I2:O1:SW|pair:I3:O2:NW
4,6,3,I3,O1,SW,false,pair:I3:O1:SW
5,7,7/2,I0,O0,SE,false,pair:I0:O0:SE
7,17/2,4,I0,O2,W,false,pair:I0:O2:W
9,21/2,5,I0,O0,SE,false,pair:I0:O0:SE|pair:I2:I3:W
9,21/2,5,I2,I3,W,false,pair:I0:O0:SE|pair:I2:I3:W
11,25/2,6,I3,O1,SW,true,wall:I0:N|pair:I3:O1:SW
13,27/2,6,I2,O0,N,false,pair:I2:O0:N
16,17,8,I3,O2,NW,false,pair:I3:O2:NW
17,35/2,8,I0,O0,SE,false,pair:I0:O0:SE
20,85/4,10,O1,O2,N,false,pair:O1:O2:N
24,53/2,10,I0,O1,N,false,pair:I0:O1:N
25,25,23/2,I2,O2,E,false,pair:I2:O2:E
26,103/4,12,I3,O2,W,false,pair:I3:O2:W
30,59/2,13,O0,O1,W,false,pair:O0:O1:W
31,119/4,27/2,I0,O2,N,false,pair:I0:O2:N
37,69/2,31/2,I0,O1,E,false,pair:I0:O1:E
38,135/4,65/4,I2,O1,SW,false,pair:I2:O1:SW
43,39,35/2,I0,I3,N,false,pair:I0:I3:N
47,169/4,75/4,I2,O2,N,false,pair:I2:O2:N
49,44,41/2,I0,I3,N,false,pair:I0:I3:N
51,227/5,207/10,I0,O2,SE,false,pair:I0:O2:SE
52,271/6,64/3,I0,O1,SW,false,pair:I0:O1:SW
53,418/9,377/18,I2,O2,N,false,pair:I2:O2:N
56,287/6,70/3,I0,O0,NE,false,pair:I0:O0:NE
57,587/12,271/12,I2,O1,N,false,pair:I2:O1:N
59,319/6,68/3,O0,O2,S,false,pair:O0:O2:S
61,421/8,187/8,I3,O2,NW,false,pair:I3:O2:NW
62,1479/28,93/4,O0,O2,S,false,pair:O0:O2:S
63,637/12,277/12,I3,O2,NW,false,pair:I3:O2:NW
66,213/4,95/4,I0,O1,S,false,pair:I0:O1:S
68,109/2,73/3,I0,O1,S,false,pair:I0:O1:S
73,347/6,28,I2,I3,NE,false,pair:I2:I3:NE
