label_id,label
0,CAP.0
1,CAP.1
2,CAP.2
3,CAP.3
4,CAP.4
5,CAP.5
6,D0.0
7,D0.1
8,D0.2
9,D0.3
10,D0.4
11,D0.5
12,D1.0
13,D1.1
14,D1.2
15,D1.3
16,D1.4
17,D1.5
18,LEAF.0
19,LEAF.1
20,LEAF.2
21,LEAF.3
22,LEAF.4
23,LEAF.5
24,PASS.0
25,PASS.1
26,PASS.2
27,PASS.3
28,PASS.4
29,PASS.5
