row_id,center,E,NE,NW,W,SW,SE,occurrences
59,LEAF.0,LEAF.3,D0.4,D1.1,LEAF.5,LEAF.2,LEAF.4,540
60,LEAF.0,LEAF.3,D1.4,D0.1,LEAF.5,LEAF.2,LEAF.4,292
61,LEAF.0,LEAF.3,LEAF.1,D0.2,D1.5,PASS.1,D0.1,128
62,LEAF.0,LEAF.3,LEAF.1,D0.2,PASS.2,CAP.4,D1.1,72
63,LEAF.0,LEAF.3,LEAF.1,D0.2,PASS.2,PASS.1,D0.1,388
64,LEAF.0,LEAF.3,LEAF.1,D0.2,PASS.2,PASS.4,D1.1,128
65,LEAF.0,LEAF.3,LEAF.1,D1.2,CAP.5,LEAF.2,LEAF.4,412
66,LEAF.0,LEAF.3,LEAF.1,D1.2,D0.5,PASS.1,D0.1,128
67,LEAF.0,LEAF.3,LEAF.1,D1.2,PASS.5,CAP.4,D1.1,110
68,LEAF.0,PASS.1,D0.1,LEAF.3,LEAF.1,D0.2,D1.5,128
69,LEAF.0,PASS.1,D0.1,LEAF.3,LEAF.1,D0.2,PASS.2,388
70,LEAF.0,PASS.1,D0.1,LEAF.3,LEAF.1,D1.2,D0.5,128
71,LEAF.0,PASS.4,D1.1,LEAF.3,LEAF.1,D0.2,PASS.2,128
72,PASS.0,CAP.5,LEAF.1,D1.3,LEAF.2,PASS.4,D0.0,110
73,PASS.0,D0.1,PASS.5,LEAF.4,D0.0,LEAF.5,D1.4,128
74,PASS.0,D0.2,PASS.2,LEAF.4,D0.0,LEAF.5,PASS.1,128
75,PASS.0,D1.1,PASS.5,LEAF.4,D0.0,LEAF.5,D0.4,128
76,PASS.0,D1.2,PASS.5,LEAF.4,D0.0,LEAF.5,PASS.1,128
77,PASS.0,D1.3,CAP.2,LEAF.4,D0.0,LEAF.5,PASS.1,72
78,PASS.0,D1.3,LEAF.2,PASS.4,D0.0,CAP.5,LEAF.1,110
79,PASS.0,D1.3,LEAF.2,PASS.4,D0.0,LEAF.5,PASS.1,18
80,PASS.0,LEAF.4,D0.0,LEAF.5,D0.4,D1.1,PASS.5,128
81,PASS.0,LEAF.4,D0.0,LEAF.5,D1.4,D0.1,PASS.5,128
82,PASS.0,LEAF.4,D0.0,LEAF.5,PASS.1,D0.2,PASS.2,128
