q,r,label
0,-88,H.1
1,-88,H.2
4,-88,H.2
12,-88,H.2
33,-88,H.2
88,-88,H.2
0,-87,D.4
1,-87,H.3
2,-87,H.1
3,-87,D.5
4,-87,H.3
10,-87,H.1
11,-87,D.5
12,-87,H.3
31,-87,H.1
32,-87,D.5
33,-87,H.3
86,-87,H.1
87,-87,D.5
88,-87,H.3
-1,-86,H.0
0,-86,D.1
1,-86,H.0
2,-86,D.2
3,-86,H.4
9,-86,H.0
10,-86,D.2
11,-86,H.4
30,-86,H.0
31,-86,D.2
32,-86,H.4
85,-86,H.0
86,-86,D.2
87,-86,H.4
-1,-85,H.5
0,-85,H.1
1,-85,H.2
2,-85,H.1
3,-85,H.2
5,-85,H.1
6,-85,H.2
9,-85,H.2
10,-85,H.1
11,-85,H.2
26,-85,H.1
27,-85,H.2
30,-85,H.2
31,-85,H.1
32,-85,H.2
81,-85,H.1
82,-85,H.2
85,-85,H.2
86,-85,H.1
87,-85,H.2
0,-84,D.4
1,-84,H.3
2,-84,D.3
3,-84,D.0
4,-84,H.3
5,-84,D.4
6,-84,H.3
7,-84,H.1
8,-84,D.5
9,-84,H.3
10,-84,D.3
11,-84,D.0
12,-84,H.3
26,-84,D.4
27,-84,H.3
28,-84,H.1
29,-84,D.5
30,-84,H.3
31,-84,D.3
32,-84,D.0
33,-84,H.3
81,-84,D.4
82,-84,H.3
83,-84,H.1
84,-84,D.5
85,-84,H.3
86,-84,D.3
87,-84,D.0
88,-84,H.3
-1,-83,H.0
0,-83,D.1
1,-83,H.2
2,-83,H.5
3,-83,H.4
4,-83,H.0
5,-83,D.1
6,-83,H.0
7,-83,D.2
8,-83,H.4
9,-83,H.2
10,-83,H.5
11,-83,H.4
25,-83,H.0
26,-83,D.1
27,-83,H.0
28,-83,D.2
29,-83,H.4
30,-83,H.2
31,-83,H.5
32,-83,H.4
80,-83,H.0
81,-83,D.1
82,-83,H.0
83,-83,D.2
84,-83,H.4
85,-83,H.2
86,-83,H.5
87,-83,H.4
-3,-82,H.1
-2,-82,H.2
-1,-82,H.5
0,-82,D.4
1,-82,H.3
2,-82,H.1
3,-82,H.2
4,-82,H.5
5,-82,H.1
6,-82,D.5
7,-82,H.3
8,-82,D.4
9,-82,H.3
23,-82,H.1
24,-82,H.2
25,-82,H.5
26,-82,H.1
27,-82,D.5
28,-82,H.3
29,-82,D.4
30,-82,H.3
78,-82,H.1
79,-82,H.2
80,-82,H.5
81,-82,H.1
82,-82,D.5
83,-82,H.3
84,-82,D.4
85,-82,H.3
-4,-81,H.0
-3,-81,D.3
-2,-81,D.0
-1,-81,H.0
0,-81,D.1
1,-81,H.0
2,-81,D.3
3,-81,D.0
4,-81,H.0
5,-81,D.2
6,-81,H.4
7,-81,H.0
8,-81,D.1
22,-81,H.0
23,-81,D.3
24,-81,D.0
25,-81,H.0
26,-81,D.2
27,-81,H.4
28,-81,H.0
29,-81,D.1
77,-81,H.0
78,-81,D.3
79,-81,D.0
80,-81,H.0
81,-81,D.2
82,-81,H.4
83,-81,H.0
84,-81,D.1
-3,-80,H.5
-2,-80,H.4
-1,-80,H.5
0,-80,H.1
1,-80,H.2
2,-80,H.5
3,-80,H.4
4,-80,H.2
5,-80,H.1
6,-80,H.2
7,-80,H.5
8,-80,H.4
9,-80,H.2
13,-80,H.1
14,-80,H.2
17,-80,H.2
23,-80,H.5
24,-80,H.4
25,-80,H.2
26,-80,H.1
27,-80,H.2
28,-80,H.5
29,-80,H.4
30,-80,H.2
68,-80,H.1
69,-80,H.2
72,-80,H.2
78,-80,H.5
79,-80,H.4
80,-80,H.2
81,-80,H.1
82,-80,H.2
83,-80,H.5
84,-80,H.4
85,-80,H.2
-3,-79,H.1
-2,-79,D.5
-1,-79,H.3
0,-79,D.4
1,-79,H.3
2,-79,H.1
3,-79,D.5
4,-79,H.3
5,-79,D.4
6,-79,H.3
7,-79,H.1
8,-79,D.5
9,-79,H.3
13,-79,D.4
14,-79,H.3
15,-79,H.1
16,-79,D.5
17,-79,H.3
23,-79,H.1
24,-79,D.5
25,-79,H.3
26,-79,D.4
27,-79,H.3
28,-79,H.1
29,-79,D.5
30,-79,H.3
68,-79,D.4
69,-79,H.3
70,-79,H.1
71,-79,D.5
72,-79,H.3
78,-79,H.1
79,-79,D.5
80,-79,H.3
81,-79,D.4
82,-79,H.3
83,-79,H.1
84,-79,D.5
85,-79,H.3
-4,-78,H.0
-3,-78,D.2
-2,-78,H.4
-1,-78,H.0
0,-78,D.1
1,-78,H.0
2,-78,D.2
3,-78,H.4
4,-78,H.0
5,-78,D.1
6,-78,H.0
7,-78,D.2
8,-78,H.4
12,-78,H.0
13,-78,D.1
14,-78,H.0
15,-78,D.2
16,-78,H.4
22,-78,H.0
23,-78,D.2
24,-78,H.4
25,-78,H.0
26,-78,D.1
27,-78,H.0
28,-78,D.2
29,-78,H.4
67,-78,H.0
68,-78,D.1
69,-78,H.0
70,-78,D.2
71,-78,H.4
77,-78,H.0
78,-78,D.2
79,-78,H.4
80,-78,H.0
81,-78,D.1
82,-78,H.0
83,-78,D.2
84,-78,H.4
-4,-77,H.5
-1,-77,H.5
0,-77,H.1
1,-77,H.2
2,-77,H.1
3,-77,H.2
4,-77,H.5
5,-77,H.1
6,-77,H.2
7,-77,H.1
8,-77,H.2
10,-77,H.1
11,-77,H.2
12,-77,H.5
13,-77,H.1
14,-77,H.2
15,-77,H.1
16,-77,H.2
18,-77,H.1
19,-77,H.2
22,-77,H.2
23,-77,H.1
24,-77,H.2
25,-77,H.5
26,-77,H.1
27,-77,H.2
28,-77,H.1
29,-77,H.2
31,-77,H.1
32,-77,H.2
67,-77,H.5
68,-77,H.1
69,-77,H.2
70,-77,H.1
71,-77,H.2
73,-77,H.1
74,-77,H.2
77,-77,H.2
78,-77,H.1
79,-77,H.2
80,-77,H.5
81,-77,H.1
82,-77,H.2
83,-77,H.1
84,-77,H.2
86,-77,H.1
87,-77,H.2
0,-76,D.4
1,-76,H.3
2,-76,D.3
3,-76,D.0
4,-76,H.3
5,-76,D.3
6,-76,D.0
7,-76,D.3
8,-76,D.0
9,-76,H.3
10,-76,D.3
11,-76,D.0
12,-76,H.3
13,-76,D.4
14,-76,H.3
15,-76,D.3
16,-76,D.0
17,-76,H.3
18,-76,D.4
19,-76,H.3
20,-76,H.1
21,-76,D.5
22,-76,H.3
23,-76,D.3
24,-76,D.0
25,-76,H.3
26,-76,D.3
27,-76,D.0
28,-76,D.3
29,-76,D.0
30,-76,H.3
31,-76,D.3
32,-76,D.0
33,-76,H.3
68,-76,D.4
69,-76,H.3
70,-76,D.3
71,-76,D.0
72,-76,H.3
73,-76,D.4
74,-76,H.3
75,-76,H.1
76,-76,D.5
77,-76,H.3
78,-76,D.3
79,-76,D.0
80,-76,H.3
81,-76,D.3
82,-76,D.0
83,-76,D.3
84,-76,D.0
85,-76,H.3
86,-76,D.3
87,-76,D.0
88,-76,H.3
-1,-75,H.0
0,-75,D.1
1,-75,H.2
2,-75,H.5
3,-75,H.4
4,-75,H.2
5,-75,H.5
6,-75,H.4
7,-75,H.5
8,-75,H.4
9,-75,H.2
10,-75,H.5
11,-75,H.4
12,-75,H.0
13,-75,D.1
14,-75,H.2
15,-75,H.5
16,-75,H.4
17,-75,H.0
18,-75,D.1
19,-75,H.0
20,-75,D.2
21,-75,H.4
22,-75,H.2
23,-75,H.5
24,-75,H.4
25,-75,H.2
26,-75,H.5
27,-75,H.4
28,-75,H.5
29,-75,H.4
30,-75,H.2
31,-75,H.5
32,-75,H.4
67,-75,H.0
68,-75,D.1
69,-75,H.2
70,-75,H.5
71,-75,H.4
72,-75,H.0
73,-75,D.1
74,-75,H.0
75,-75,D.2
76,-75,H.4
77,-75,H.2
78,-75,H.5
79,-75,H.4
80,-75,H.2
81,-75,H.5
82,-75,H.4
83,-75,H.5
84,-75,H.4
85,-75,H.2
86,-75,H.5
87,-75,H.4
-3,-74,H.1
-2,-74,H.2
-1,-74,H.5
0,-74,D.4
1,-74,H.3
2,-74,H.1
3,-74,D.5
4,-74,H.3
5,-74,H.1
6,-74,D.5
7,-74,H.3
8,-74,D.4
9,-74,H.3
10,-74,H.1
11,-74,H.2
12,-74,H.5
13,-74,D.4
14,-74,H.3
15,-74,H.1
16,-74,H.2
17,-74,H.5
18,-74,H.1
19,-74,D.5
20,-74,H.3
21,-74,D.4
22,-74,H.3
23,-74,H.1
24,-74,D.5
25,-74,H.3
26,-74,H.1
27,-74,D.5
28,-74,H.3
29,-74,D.4
30,-74,H.3
65,-74,H.1
66,-74,H.2
67,-74,H.5
68,-74,D.4
69,-74,H.3
70,-74,H.1
71,-74,H.2
72,-74,H.5
73,-74,H.1
74,-74,D.5
75,-74,H.3
76,-74,D.4
77,-74,H.3
78,-74,H.1
79,-74,D.5
80,-74,H.3
81,-74,H.1
82,-74,D.5
83,-74,H.3
84,-74,D.4
85,-74,H.3
-4,-73,H.0
-3,-73,D.3
-2,-73,D.0
-1,-73,H.0
0,-73,D.1
1,-73,H.0
2,-73,D.2
3,-73,H.4
4,-73,H.0
5,-73,D.2
6,-73,H.4
7,-73,H.0
8,-73,D.1
9,-73,H.0
10,-73,D.3
11,-73,D.0
12,-73,H.0
13,-73,D.1
14,-73,H.0
15,-73,D.3
16,-73,D.0
17,-73,H.0
18,-73,D.2
19,-73,H.4
20,-73,H.0
21,-73,D.1
22,-73,H.0
23,-73,D.2
24,-73,H.4
25,-73,H.0
26,-73,D.2
27,-73,H.4
28,-73,H.0
29,-73,D.1
64,-73,H.0
65,-73,D.3
66,-73,D.0
67,-73,H.0
68,-73,D.1
69,-73,H.0
70,-73,D.3
71,-73,D.0
72,-73,H.0
73,-73,D.2
74,-73,H.4
75,-73,H.0
76,-73,D.1
77,-73,H.0
78,-73,D.2
79,-73,H.4
80,-73,H.0
81,-73,D.2
82,-73,H.4
83,-73,H.0
84,-73,D.1
-8,-72,H.1
-7,-72,H.2
-4,-72,H.2
-3,-72,H.5
-2,-72,H.4
-1,-72,H.5
0,-72,H.1
1,-72,H.2
2,-72,H.1
3,-72,H.2
4,-72,H.5
5,-72,H.1
6,-72,H.2
7,-72,H.5
8,-72,H.4
9,-72,H.2
10,-72,H.5
11,-72,H.4
12,-72,H.5
13,-72,H.1
14,-72,H.2
15,-72,H.5
16,-72,H.4
17,-72,H.2
18,-72,H.1
19,-72,H.2
20,-72,H.5
21,-72,H.4
22,-72,H.2
23,-72,H.1
24,-72,H.2
25,-72,H.5
28,-72,H.5
29,-72,H.4
60,-72,H.1
61,-72,H.2
64,-72,H.2
65,-72,H.5
66,-72,H.4
67,-72,H.5
68,-72,H.1
69,-72,H.2
70,-72,H.5
71,-72,H.4
72,-72,H.2
73,-72,H.1
74,-72,H.2
75,-72,H.5
76,-72,H.4
77,-72,H.2
78,-72,H.1
79,-72,H.2
80,-72,H.5
83,-72,H.5
84,-72,H.4
-8,-71,D.4
-7,-71,H.3
-6,-71,H.1
-5,-71,D.5
-4,-71,H.3
-3,-71,H.1
-2,-71,D.5
-1,-71,H.3
0,-71,D.4
1,-71,H.3
2,-71,D.3
3,-71,D.0
4,-71,H.3
5,-71,D.4
6,-71,H.3
7,-71,H.1
8,-71,D.5
9,-71,H.3
10,-71,H.1
11,-71,D.5
12,-71,H.3
13,-71,D.4
14,-71,H.3
15,-71,H.1
16,-71,D.5
17,-71,H.3
18,-71,D.3
19,-71,D.0
20,-71,H.3
21,-71,D.4
22,-71,H.3
23,-71,D.3
24,-71,D.0
25,-71,H.3
60,-71,D.4
61,-71,H.3
62,-71,H.1
63,-71,D.5
64,-71,H.3
65,-71,H.1
66,-71,D.5
67,-71,H.3
68,-71,D.4
69,-71,H.3
70,-71,H.1
71,-71,D.5
72,-71,H.3
73,-71,D.3
74,-71,D.0
75,-71,H.3
76,-71,D.4
77,-71,H.3
78,-71,D.3
79,-71,D.0
80,-71,H.3
-9,-70,H.0
-8,-70,D.1
-7,-70,H.0
-6,-70,D.2
-5,-70,H.4
-4,-70,H.0
-3,-70,D.2
-2,-70,H.4
-1,-70,H.0
0,-70,D.1
1,-70,H.2
2,-70,H.5
3,-70,H.4
4,-70,H.0
5,-70,D.1
6,-70,H.0
7,-70,D.2
8,-70,H.4
9,-70,H.0
10,-70,D.2
11,-70,H.4
12,-70,H.0
13,-70,D.1
14,-70,H.0
15,-70,D.2
16,-70,H.4
17,-70,H.2
18,-70,H.5
19,-70,H.4
20,-70,H.0
21,-70,D.1
22,-70,H.2
23,-70,H.5
24,-70,H.4
59,-70,H.0
60,-70,D.1
61,-70,H.0
62,-70,D.2
63,-70,H.4
64,-70,H.0
65,-70,D.2
66,-70,H.4
67,-70,H.0
68,-70,D.1
69,-70,H.0
70,-70,D.2
71,-70,H.4
72,-70,H.2
73,-70,H.5
74,-70,H.4
75,-70,H.0
76,-70,D.1
77,-70,H.2
78,-70,H.5
79,-70,H.4
-11,-69,H.1
-10,-69,H.2
-9,-69,H.5
-8,-69,H.1
-7,-69,H.2
-6,-69,H.1
-5,-69,H.2
-4,-69,H.5
-3,-69,H.1
-2,-69,H.2
-1,-69,H.5
0,-69,D.4
1,-69,H.3
2,-69,H.1
3,-69,H.2
4,-69,H.5
5,-69,H.1
6,-69,H.2
7,-69,H.1
8,-69,H.2
9,-69,H.5
10,-69,H.1
11,-69,H.2
12,-69,H.5
13,-69,H.1
14,-69,D.5
15,-69,H.3
16,-69,D.4
17,-69,H.3
18,-69,H.1
19,-69,H.2
20,-69,H.5
21,-69,D.4
22,-69,H.3
57,-69,H.1
58,-69,H.2
59,-69,H.5
60,-69,H.1
61,-69,H.2
62,-69,H.1
63,-69,H.2
64,-69,H.5
65,-69,H.1
66,-69,H.2
67,-69,H.5
68,-69,H.1
69,-69,D.5
70,-69,H.3
71,-69,D.4
72,-69,H.3
73,-69,H.1
74,-69,H.2
75,-69,H.5
76,-69,D.4
77,-69,H.3
-12,-68,H.0
-11,-68,D.3
-10,-68,D.0
-9,-68,H.0
-8,-68,D.3
-7,-68,D.0
-6,-68,D.3
-5,-68,D.0
-4,-68,H.0
-3,-68,D.3
-2,-68,D.0
-1,-68,H.0
0,-68,D.1
1,-68,H.0
2,-68,D.3
3,-68,D.0
4,-68,H.0
5,-68,D.3
6,-68,D.0
7,-68,D.3
8,-68,D.0
9,-68,H.0
10,-68,D.3
11,-68,D.0
12,-68,H.0
13,-68,D.2
14,-68,H.4
15,-68,H.0
16,-68,D.1
17,-68,H.0
18,-68,D.3
19,-68,D.0
20,-68,H.0
21,-68,D.1
56,-68,H.0
57,-68,D.3
58,-68,D.0
59,-68,H.0
60,-68,D.3
61,-68,D.0
62,-68,D.3
63,-68,D.0
64,-68,H.0
65,-68,D.3
66,-68,D.0
67,-68,H.0
68,-68,D.2
69,-68,H.4
70,-68,H.0
71,-68,D.1
72,-68,H.0
73,-68,D.3
74,-68,D.0
75,-68,H.0
76,-68,D.1
-11,-67,H.5
-10,-67,H.4
-8,-67,H.5
-7,-67,H.4
-6,-67,H.5
-5,-67,H.4
-4,-67,H.2
-3,-67,H.5
-2,-67,H.4
-1,-67,H.5
0,-67,H.1
1,-67,H.2
2,-67,H.5
3,-67,H.4
4,-67,H.2
5,-67,H.5
6,-67,H.4
7,-67,H.5
8,-67,H.4
9,-67,H.2
10,-67,H.5
11,-67,H.4
12,-67,H.2
13,-67,H.1
14,-67,H.2
15,-67,H.5
16,-67,H.4
17,-67,H.2
18,-67,H.5
19,-67,H.4
20,-67,H.5
21,-67,H.4
22,-67,H.2
25,-67,H.2
34,-67,H.1
35,-67,H.2
38,-67,H.2
46,-67,H.2
57,-67,H.5
58,-67,H.4
60,-67,H.5
61,-67,H.4
62,-67,H.5
63,-67,H.4
64,-67,H.2
65,-67,H.5
66,-67,H.4
67,-67,H.2
68,-67,H.1
69,-67,H.2
70,-67,H.5
71,-67,H.4
72,-67,H.2
73,-67,H.5
74,-67,H.4
75,-67,H.5
76,-67,H.4
77,-67,H.2
80,-67,H.2
-8,-66,H.1
-7,-66,D.5
-6,-66,H.3
-5,-66,D.4
-4,-66,H.3
-3,-66,H.1
-2,-66,D.5
-1,-66,H.3
0,-66,D.4
1,-66,H.3
2,-66,H.1
3,-66,D.5
4,-66,H.3
5,-66,H.1
6,-66,D.5
7,-66,H.3
8,-66,D.4
9,-66,H.3
10,-66,H.1
11,-66,D.5
12,-66,H.3
13,-66,D.4
14,-66,H.3
15,-66,H.1
16,-66,D.5
17,-66,H.3
18,-66,H.1
19,-66,D.5
20,-66,H.3
21,-66,D.4
22,-66,H.3
23,-66,H.1
24,-66,D.5
25,-66,H.3
34,-66,D.4
35,-66,H.3
36,-66,H.1
37,-66,D.5
38,-66,H.3
44,-66,H.1
45,-66,D.5
46,-66,H.3
60,-66,H.1
61,-66,D.5
62,-66,H.3
63,-66,D.4
64,-66,H.3
65,-66,H.1
66,-66,D.5
67,-66,H.3
68,-66,D.4
69,-66,H.3
70,-66,H.1
71,-66,D.5
72,-66,H.3
73,-66,H.1
74,-66,D.5
75,-66,H.3
76,-66,D.4
77,-66,H.3
78,-66,H.1
79,-66,D.5
80,-66,H.3
-9,-65,H.0
-8,-65,D.2
-7,-65,H.4
-6,-65,H.0
-5,-65,D.1
-4,-65,H.0
-3,-65,D.2
-2,-65,H.4
-1,-65,H.0
0,-65,D.1
1,-65,H.0
2,-65,D.2
3,-65,H.4
4,-65,H.0
5,-65,D.2
6,-65,H.4
7,-65,H.0
8,-65,D.1
9,-65,H.0
10,-65,D.2
11,-65,H.4
12,-65,H.0
13,-65,D.1
14,-65,H.0
15,-65,D.2
16,-65,H.4
17,-65,H.0
18,-65,D.2
19,-65,H.4
20,-65,H.0
21,-65,D.1
22,-65,H.0
23,-65,D.2
24,-65,H.4
33,-65,H.0
34,-65,D.1
35,-65,H.0
36,-65,D.2
37,-65,H.4
43,-65,H.0
44,-65,D.2
45,-65,H.4
59,-65,H.0
60,-65,D.2
61,-65,H.4
62,-65,H.0
63,-65,D.1
64,-65,H.0
65,-65,D.2
66,-65,H.4
67,-65,H.0
68,-65,D.1
69,-65,H.0
70,-65,D.2
71,-65,H.4
72,-65,H.0
73,-65,D.2
74,-65,H.4
75,-65,H.0
76,-65,D.1
77,-65,H.0
78,-65,D.2
79,-65,H.4
-9,-64,H.5
-8,-64,H.1
-7,-64,H.2
-6,-64,H.5
-5,-64,H.4
-4,-64,H.5
-3,-64,H.1
-2,-64,H.2
-1,-64,H.5
0,-64,H.1
1,-64,H.2
2,-64,H.1
3,-64,H.2
4,-64,H.5
5,-64,H.1
6,-64,H.2
7,-64,H.5
8,-64,H.4
9,-64,H.2
10,-64,H.1
11,-64,H.2
12,-64,H.5
13,-64,H.1
14,-64,H.2
15,-64,H.1
16,-64,H.2
17,-64,H.5
18,-64,H.1
19,-64,H.2
20,-64,H.5
21,-64,H.4
22,-64,H.2
23,-64,H.1
24,-64,H.2
33,-64,H.5
34,-64,H.1
35,-64,H.2
36,-64,H.1
37,-64,H.2
39,-64,H.1
40,-64,H.2
43,-64,H.2
44,-64,H.1
45,-64,H.2
59,-64,H.5
60,-64,H.1
61,-64,H.2
62,-64,H.5
63,-64,H.4
64,-64,H.2
65,-64,H.1
66,-64,H.2
67,-64,H.5
68,-64,H.1
69,-64,H.2
70,-64,H.1
71,-64,H.2
72,-64,H.5
73,-64,H.1
74,-64,H.2
75,-64,H.5
76,-64,H.4
77,-64,H.2
78,-64,H.1
79,-64,H.2
-8,-63,D.4
-7,-63,H.3
-6,-63,H.1
-5,-63,D.5
-4,-63,H.3
-3,-63,D.3
-2,-63,D.0
-1,-63,H.3
0,-63,D.4
1,-63,H.3
2,-63,D.3
3,-63,D.0
4,-63,H.3
5,-63,D.4
6,-63,H.3
7,-63,H.1
8,-63,D.5
9,-63,H.3
10,-63,D.3
11,-63,D.0
12,-63,H.3
13,-63,D.4
14,-63,H.3
15,-63,D.3
16,-63,D.0
17,-63,H.3
18,-63,D.4
19,-63,H.3
20,-63,H.1
21,-63,D.5
22,-63,H.3
23,-63,D.3
24,-63,D.0
25,-63,H.3
34,-63,D.4
35,-63,H.3
36,-63,D.3
37,-63,D.0
38,-63,H.3
39,-63,D.4
40,-63,H.3
41,-63,H.1
42,-63,D.5
43,-63,H.3
44,-63,D.3
45,-63,D.0
46,-63,H.3
60,-63,D.4
61,-63,H.3
62,-63,H.1
63,-63,D.5
64,-63,H.3
65,-63,D.3
66,-63,D.0
67,-63,H.3
68,-63,D.4
69,-63,H.3
70,-63,D.3
71,-63,D.0
72,-63,H.3
73,-63,D.4
74,-63,H.3
75,-63,H.1
76,-63,D.5
77,-63,H.3
78,-63,D.3
79,-63,D.0
80,-63,H.3
-9,-62,H.0
-8,-62,D.1
-7,-62,H.0
-6,-62,D.2
-5,-62,H.4
-4,-62,H.2
-3,-62,H.5
-2,-62,H.4
-1,-62,H.0
0,-62,D.1
1,-62,H.2
2,-62,H.5
3,-62,H.4
4,-62,H.0
5,-62,D.1
6,-62,H.0
7,-62,D.2
8,-62,H.4
9,-62,H.2
10,-62,H.5
11,-62,H.4
12,-62,H.0
13,-62,D.1
14,-62,H.2
15,-62,H.5
16,-62,H.4
17,-62,H.0
18,-62,D.1
19,-62,H.0
20,-62,D.2
21,-62,H.4
22,-62,H.2
23,-62,H.5
24,-62,H.4
33,-62,H.0
34,-62,D.1
35,-62,H.2
36,-62,H.5
37,-62,H.4
38,-62,H.0
39,-62,D.1
40,-62,H.0
41,-62,D.2
42,-62,H.4
43,-62,H.2
44,-62,H.5
45,-62,H.4
59,-62,H.0
60,-62,D.1
61,-62,H.0
62,-62,D.2
63,-62,H.4
64,-62,H.2
65,-62,H.5
66,-62,H.4
67,-62,H.0
68,-62,D.1
69,-62,H.2
70,-62,H.5
71,-62,H.4
72,-62,H.0
73,-62,D.1
74,-62,H.0
75,-62,D.2
76,-62,H.4
77,-62,H.2
78,-62,H.5
79,-62,H.4
-11,-61,H.1
-10,-61,H.2
-9,-61,H.5
-8,-61,H.1
-7,-61,D.5
-6,-61,H.3
-5,-61,D.4
-4,-61,H.3
-3,-61,H.1
-2,-61,H.2
-1,-61,H.5
0,-61,D.4
1,-61,H.3
2,-61,H.1
3,-61,H.2
4,-61,H.5
5,-61,H.1
6,-61,D.5
7,-61,H.3
8,-61,D.4
9,-61,H.3
10,-61,H.1
11,-61,H.2
12,-61,H.5
13,-61,D.4
14,-61,H.3
15,-61,H.1
16,-61,H.2
17,-61,H.5
18,-61,H.1
19,-61,D.5
20,-61,H.3
21,-61,D.4
22,-61,H.3
31,-61,H.1
32,-61,H.2
33,-61,H.5
34,-61,D.4
35,-61,H.3
36,-61,H.1
37,-61,H.2
38,-61,H.5
39,-61,H.1
40,-61,D.5
41,-61,H.3
42,-61,D.4
43,-61,H.3
57,-61,H.1
58,-61,H.2
59,-61,H.5
60,-61,H.1
61,-61,D.5
62,-61,H.3
63,-61,D.4
64,-61,H.3
65,-61,H.1
66,-61,H.2
67,-61,H.5
68,-61,D.4
69,-61,H.3
70,-61,H.1
71,-61,H.2
72,-61,H.5
73,-61,H.1
74,-61,D.5
75,-61,H.3
76,-61,D.4
77,-61,H.3
-12,-60,H.0
-11,-60,D.3
-10,-60,D.0
-9,-60,H.0
-8,-60,D.2
-7,-60,H.4
-6,-60,H.0
-5,-60,D.1
-4,-60,H.0
-3,-60,D.3
-2,-60,D.0
-1,-60,H.0
0,-60,D.1
1,-60,H.0
2,-60,D.3
3,-60,D.0
4,-60,H.0
5,-60,D.2
6,-60,H.4
7,-60,H.0
8,-60,D.1
9,-60,H.0
10,-60,D.3
11,-60,D.0
12,-60,H.0
13,-60,D.1
14,-60,H.0
15,-60,D.3
16,-60,D.0
17,-60,H.0
18,-60,D.2
19,-60,H.4
20,-60,H.0
21,-60,D.1
30,-60,H.0
31,-60,D.3
32,-60,D.0
33,-60,H.0
34,-60,D.1
35,-60,H.0
36,-60,D.3
37,-60,D.0
38,-60,H.0
39,-60,D.2
40,-60,H.4
41,-60,H.0
42,-60,D.1
56,-60,H.0
57,-60,D.3
58,-60,D.0
59,-60,H.0
60,-60,D.2
61,-60,H.4
62,-60,H.0
63,-60,D.1
64,-60,H.0
65,-60,D.3
66,-60,D.0
67,-60,H.0
68,-60,D.1
69,-60,H.0
70,-60,D.3
71,-60,D.0
72,-60,H.0
73,-60,D.2
74,-60,H.4
75,-60,H.0
76,-60,D.1
-11,-59,H.5
-10,-59,H.4
-9,-59,H.5
-6,-59,H.5
-5,-59,H.4
-3,-59,H.5
-2,-59,H.4
-1,-59,H.5
0,-59,H.1
1,-59,H.2
2,-59,H.5
3,-59,H.4
4,-59,H.2
5,-59,H.1
6,-59,H.2
7,-59,H.5
8,-59,H.4
9,-59,H.2
10,-59,H.5
11,-59,H.4
12,-59,H.5
13,-59,H.1
14,-59,H.2
15,-59,H.5
16,-59,H.4
17,-59,H.2
18,-59,H.1
19,-59,H.2
20,-59,H.5
21,-59,H.4
22,-59,H.2
26,-59,H.1
27,-59,H.2
30,-59,H.2
31,-59,H.5
32,-59,H.4
33,-59,H.5
34,-59,H.1
35,-59,H.2
36,-59,H.5
37,-59,H.4
38,-59,H.2
39,-59,H.1
40,-59,H.2
41,-59,H.5
42,-59,H.4
43,-59,H.2
47,-59,H.1
48,-59,H.2
51,-59,H.2
57,-59,H.5
58,-59,H.4
59,-59,H.2
60,-59,H.1
61,-59,H.2
62,-59,H.5
63,-59,H.4
64,-59,H.2
65,-59,H.5
66,-59,H.4
67,-59,H.5
68,-59,H.1
69,-59,H.2
70,-59,H.5
71,-59,H.4
72,-59,H.2
73,-59,H.1
74,-59,H.2
75,-59,H.5
76,-59,H.4
77,-59,H.2
81,-59,H.1
82,-59,H.2
85,-59,H.2
-11,-58,H.1
-10,-58,D.5
-9,-58,H.3
-3,-58,H.1
-2,-58,D.5
-1,-58,H.3
0,-58,D.4
1,-58,H.3
2,-58,H.1
3,-58,D.5
4,-58,H.3
5,-58,D.4
6,-58,H.3
7,-58,H.1
8,-58,D.5
9,-58,H.3
10,-58,H.1
11,-58,D.5
12,-58,H.3
13,-58,D.4
14,-58,H.3
15,-58,H.1
16,-58,D.5
17,-58,H.3
18,-58,D.4
19,-58,H.3
20,-58,H.1
21,-58,D.5
22,-58,H.3
26,-58,D.4
27,-58,H.3
28,-58,H.1
29,-58,D.5
30,-58,H.3
31,-58,H.1
32,-58,D.5
33,-58,H.3
34,-58,D.4
35,-58,H.3
36,-58,H.1
37,-58,D.5
38,-58,H.3
39,-58,D.4
40,-58,H.3
41,-58,H.1
42,-58,D.5
43,-58,H.3
47,-58,D.4
48,-58,H.3
49,-58,H.1
50,-58,D.5
51,-58,H.3
57,-58,H.1
58,-58,D.5
59,-58,H.3
60,-58,D.4
61,-58,H.3
62,-58,H.1
63,-58,D.5
64,-58,H.3
65,-58,H.1
66,-58,D.5
67,-58,H.3
68,-58,D.4
69,-58,H.3
70,-58,H.1
71,-58,D.5
72,-58,H.3
73,-58,D.4
74,-58,H.3
75,-58,H.1
76,-58,D.5
77,-58,H.3
81,-58,D.4
82,-58,H.3
83,-58,H.1
84,-58,D.5
85,-58,H.3
-12,-57,H.0
-11,-57,D.2
-10,-57,H.4
-4,-57,H.0
-3,-57,D.2
-2,-57,H.4
-1,-57,H.0
0,-57,D.1
1,-57,H.0
2,-57,D.2
3,-57,H.4
4,-57,H.0
5,-57,D.1
6,-57,H.0
7,-57,D.2
8,-57,H.4
9,-57,H.0
10,-57,D.2
11,-57,H.4
12,-57,H.0
13,-57,D.1
14,-57,H.0
15,-57,D.2
16,-57,H.4
17,-57,H.0
18,-57,D.1
19,-57,H.0
20,-57,D.2
21,-57,H.4
25,-57,H.0
26,-57,D.1
27,-57,H.0
28,-57,D.2
29,-57,H.4
30,-57,H.0
31,-57,D.2
