case,digit_index,digit,channel_map,source
N3_class_31,0,0,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,1,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,2,0,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,3,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,4,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,5,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,6,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,7,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,8,0,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,9,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,10,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,11,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,12,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,13,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,14,0,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,15,0,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,16,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,17,0,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,18,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,19,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,20,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,21,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,22,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,23,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,24,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,25,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,26,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,27,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,28,1,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,29,0,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,30,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,31,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,32,0,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
N3_class_31,33,2,P0/P1->2;P0/P2->1;P1/P2->0,four_site_watch2048.json
