n,typogeometry_count,raw_labeled_instances,global_symmetry_classes,first_resolution_value_fraction,maximum_taxicab_length,runtime_seconds
2,6,6,2,2,4,0.0051462650299072266
3,76,76,11,2,8,0.08339333534240723
