0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	72	-1	0	0	0	0	0	0	0
-36	1	0	0	0	0	0	0	0	252	72	-1	0	0	0	0	0	0
-84	-36	1	0	0	0	0	0	0	504	252	72	-1	0	0	0	0	0
-126	-84	-36	1	0	0	0	0	0	630	504	252	72	-1	0	0	0	0
-126	-126	-84	-36	1	0	0	0	0	504	630	504	252	72	-1	0	0	0
-84	-126	-126	-84	-36	1	0	0	0	252	504	630	504	252	72	-1	0	0
-36	-84	-126	-126	-84	-36	1	0	0	72	252	504	630	504	252	72	-1	0
-9	-36	-84	-126	-126	-84	-36	1	0	9	72	252	504	630	504	252	72	-1
-1	-9	-36	-84	-126	-126	-84	-36	1	0	9	72	252	504	630	504	252	72
0	-1	-9	-36	-84	-126	-126	-84	-36	0	0	9	72	252	504	630	504	252
0	0	-1	-9	-36	-84	-126	-126	-84	0	0	0	9	72	252	504	630	504
0	0	0	-1	-9	-36	-84	-126	-126	0	0	0	0	9	72	252	504	630
0	0	0	0	-1	-9	-36	-84	-126	0	0	0	0	0	9	72	252	504
0	0	0	0	0	-1	-9	-36	-84	0	0	0	0	0	0	9	72	252
0	0	0	0	0	0	-1	-9	-36	0	0	0	0	0	0	0	9	72
0	0	0	0	0	0	0	-1	-9	0	0	0	0	0	0	0	0	9
0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
