n	a_q(n)
0	1
1	1
2	36
3	2676
4	248526
5	25849278
6	2880574788
7	336286283508
8	40597159714173
9	5026621655200573
10	634827972030502536
11	81460545742156015656
12	10590471291183949524996
13	1391968420502857613101476
14	184659106693721061102971976
15	24692918662836495582055410600
16	3324906871199951760565698191625
17	450423648820632215956419686140425
18	61346734386905563696803630674342700
19	8395269513928236864254057036635676700
20	1153812008259001678605979033835227667250
21	159187511421863936917934120571721649155650
22	22039348264017805561578594568056042227959500
23	3061032240667001278522365183075737144848782300
24	426380835788535623991923097247161528148000961925

recurrence_start_n	residual
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
0	0	(separate check)
