bit_index,row_id,keep_mask,output
315,4,59,D.4
316,4,60,D.0
317,4,61,D.5
318,4,62,D.0
319,4,63,D.1
323,5,3,D.4
325,5,5,D.3
326,5,6,D.3
327,5,7,D.3
328,5,8,D.2
329,5,9,D.5
330,5,10,D.2
331,5,11,D.2
332,5,12,D.2
333,5,13,D.2
334,5,14,D.2
335,5,15,D.2
338,5,18,D.4
339,5,19,D.4
340,5,20,D.1
341,5,21,D.1
342,5,22,D.1
343,5,23,D.1
344,5,24,D.1
345,5,25,D.5
346,5,26,D.1
347,5,27,D.4
348,5,28,D.1
349,5,29,D.1
350,5,30,D.1
351,5,31,D.1
353,5,33,D.5
355,5,35,D.4
357,5,37,D.3
358,5,38,D.3
359,5,39,D.3
360,5,40,D.0
361,5,41,D.5
362,5,42,D.4
363,5,43,D.4
364,5,44,D.0
365,5,45,D.2
366,5,46,D.2
367,5,47,D.2
368,5,48,D.0
369,5,49,D.5
370,5,50,D.4
371,5,51,D.4
372,5,52,D.0
373,5,53,D.5
374,5,54,D.0
375,5,55,D.3
376,5,56,D.0
377,5,57,D.5
378,5,58,D.4
379,5,59,D.4
380,5,60,D.0
381,5,61,D.5
382,5,62,D.0
383,5,63,D.3
386,6,2,D.4
387,6,3,D.4
389,6,5,D.3
390,6,6,D.3
391,6,7,D.3
393,6,9,D.5
394,6,10,D.2
395,6,11,D.2
396,6,12,D.2
397,6,13,D.2
398,6,14,D.2
399,6,15,D.2
401,6,17,D.5
402,6,18,D.4
403,6,19,D.4
404,6,20,D.1
405,6,21,D.3
406,6,22,D.1
407,6,23,D.3
409,6,25,D.5
410,6,26,D.1
411,6,27,D.1
412,6,28,D.1
413,6,29,D.1
414,6,30,D.1
415,6,31,D.1
417,6,33,D.5
418,6,34,D.4
419,6,35,D.4
420,6,36,D.3
421,6,37,D.3
422,6,38,D.3
423,6,39,D.3
424,6,40,D.0
425,6,41,D.5
426,6,42,D.0
427,6,43,D.2
428,6,44,D.0
429,6,45,D.2
430,6,46,D.0
431,6,47,D.2
432,6,48,D.0
433,6,49,D.5
434,6,50,D.4
435,6,51,D.4
436,6,52,D.0
437,6,53,D.3
438,6,54,D.3
439,6,55,D.3
440,6,56,D.0
441,6,57,D.5
442,6,58,D.0
443,6,59,D.4
444,6,60,D.0
445,6,61,D.5
446,6,62,D.0
447,6,63,D.5
450,7,2,D.4
451,7,3,D.4
453,7,5,D.3
454,7,6,D.3
455,7,7,D.3
458,7,10,D.2
459,7,11,D.2
460,7,12,D.2
461,7,13,D.2
462,7,14,D.2
463,7,15,D.2
464,7,16,D.1
465,7,17,D.5
466,7,18,D.1
467,7,19,D.4
468,7,20,D.1
469,7,21,D.1
470,7,22,D.1
471,7,23,D.1
472,7,24,D.1
473,7,25,D.5
474,7,26,D.1
475,7,27,D.1
476,7,28,D.1
477,7,29,D.1
478,7,30,D.1
479,7,31,D.1
481,7,33,D.5
482,7,34,D.4
483,7,35,D.4
484,7,36,D.3
485,7,37,D.3
486,7,38,D.3
487,7,39,D.3
489,7,41,D.5
490,7,42,D.0
491,7,43,D.2
492,7,44,D.0
493,7,45,D.2
494,7,46,D.0
495,7,47,D.2
496,7,48,D.0
497,7,49,D.5
